post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,repost_dates,available,housing_type,bedrooms,bathrooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url,typology,GEOID,poverty,race,white,black,asian,latinx,below25k,median_income,college,foreignborn,renteroccupied,last10yrs,vacancy,white_old,black_old,asian_old,latinx_old,below25k_old,median_income_old,college_old,foreignborn_old,renteroccupied_old,last10yrs_old,vacancy_old,professional,travel_time,new_residents,non_english,avg_rent,professional_old,travel_time_old,new_residents_old,non_english_old,avg_rent_old
7505805363,"Incredible Amenities, Bus Stop on Site, Off Street Parking",1275,Cheektowaga,101 Slate Creek Dr,101 Slate Creek Dr,42.875565,-78.739996,10,2022-07-07 10:43,NA,[],2022-07-07,apartment,2,1.0,laundry in bldg,off-street parking,735,NA,monthly,NA,NA,True,NA,NA,NA,NA,True,NA,"['VIEW OUR WEBSITE:', '<URL>', 'Idylwood Resorts Apartment Homes, managed by Morgan Properties', '101 Slate Creek Drive', 'Cheektowaga, NY 14227', 'show contact info', 'Idylwood Resorts Apartment Homes offer grounds that are made up of 72 acres of pristine greenery, surrounded by towering pine trees and rolling hills.', 'Call now for leasing details!', 'This two bedroom one bathroom apartment features a fully equipped kitchen, coat closet, spacious bedroom closets, and plank flooring!']","['https://images.craigslist.org/00606_am49N1ta9T7z_0g80aL_600x450.jpg', 'https://images.craigslist.org/00404_6SHcCsozyzCz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00c0c_ijN5qdFgJeQz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00p0p_inM1AjGLOGvz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00D0D_mD3WS3otYQz_0ew0ew_600x450.jpg', 'https://images.craigslist.org/00909_8KhooS1qDHmz_0iX0eE_600x450.jpg', 'https://images.craigslist.org/00B0B_1jKRnNaURLWz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00B0B_4Iq5rK8zCMaz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00k0k_jCRAwo1Ue6Qz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00K0K_eH56ay3nyTtz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00Y0Y_8jbMtNycTrpz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00m0m_lr3dfzJ9LCJz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00M0M_2F37fueEHxCz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00r0r_5roC6lTHvnZz_0g80aL_600x450.jpg', 'https://images.craigslist.org/01010_aPpf9Q9fYU1z_0g60aJ_600x450.jpg', 'https://images.craigslist.org/00h0h_9DONdkrw7JHz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00y0y_fZadAuZtIlkz_0g80aL_600x450.jpg', 'https://images.craigslist.org/00A0A_4q1UHCYWwd7z_0i90ew_600x450.jpg', 'https://images.craigslist.org/00L0L_91kJxS95Nblz_0g80aL_600x450.jpg']",https://buffalo.craigslist.org/apa/d/buffalo-incredible-amenities-bus-stop/7505805363.html,NA,36029010808,nonpoor,white,77.7,13.0,9.1,5.7,8.1,56803.0,31.3,12.6,61.2,0.0,2.2,87.1,8.6,0.4,3.8,5.6,55307.63,24.6,4.9,40.5,5.2,4.4,69.8,22.7,44.900000000000006,18.7,991.0,59.5,20.1,37.7,7.7,972.2299999999999
7516944300,2 Bedroom Available Now/Williamstowne Village 55+ Community,975,Cheektowaga,51 Williamstowne Ct. near William,51 Williamstowne Ct. ,42.884792,-78.760766,10,2022-08-03 15:59,NA,[],NA,apartment,2,1.0,laundry in bldg,off-street parking,NA,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['The Famous Williamstowne Village Apartments', 'Beautiful Resort Senior Living 55+ Community', 'show contact info', 'Our spacious 1 or 2 bedrooms', 'Apartments include:', '- Heat, water, trash, A/C', '- Storage room', '- Laundry facilities in every building.', '- Fridge, stove, and dishwasher', 'AMENITIES:', 'Pool, Mini Golf Course, On-Site Beauty Salon, Community Center', 'Picnic Grove, Community activities and outings', ""As an equal opportunity housing provider, we provide housing opportunities regardless of a person's race, familial status, color, national origin, religion, disability (physical or mental), sex, creed, sexual orientation, marital status, military status, or source of income"", 'Please let us know if you would like to take a TOUR and look at an apartment, we will gladly schedule an appointment with you!', 'You can apply online <URL>', '*Note-Unit Availability Changes Daily**']","['https://images.craigslist.org/00404_5FgZuK7YtGHz_0rK0iv_600x450.jpg', 'https://images.craigslist.org/00O0O_gE9X2V1wbBgz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00l0l_affbt0wXkXYz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00707_auEAe2bn5nXz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00101_9jVyjHMraTQz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00l0l_18g5vCKnwAjz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00M0M_Ls0JqSl05Tz_0ak07K_600x450.jpg']",https://buffalo.craigslist.org/apa/d/buffalo-bedroom-available-now/7516944300.html,NA,36029010902,nonpoor,white,89.4,9.6,0.3,1.1,0.5,43929.0,17.0,11.7,49.5,0.5,8.1,90.1,7.1,2.9,1.0,12.4,42943.53,14.5,6.2,47.4,5.3999999999999995,5.5,60.3,18.8,28.6,9.1,893.0,48.3,17.6,36.4,7.5,947.24
7517729486,2 Bedroom Rental near UB South,1200,Buffalo,NA,NA,42.9414,-78.8374,22,2022-08-05 14:28,2022-08-05 14:29,[],2022-09-01,apartment,2,1.0,w/d hookups,off-street parking,NA,NA,monthly,NA,NA,NA,NA,True,NA,NA,NA,NA,"['FOR RENT: two-bedroom apartment Main and Minnesota St. Buffalo, NY.', 'Large kitchen, living room.', ' Less than one mile from UB South Campus.', '$1,200 per month includes gas and water.', 'Tenant pays electric.', 'Hook ups for washer and dryer.', 'Off street parking for one vehicle.', 'First month rent and security deposit required.', 'Available Sept. 1, 2022 (with new paint)']","['https://images.craigslist.org/00y0y_8FH5JJLRctRz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00E0E_imPGY4Vx37nz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00K0K_6bcjr9onaUUz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00404_i1aJ3HXzQktz_0CI0t2_600x450.jpg']",https://buffalo.craigslist.org/apa/d/buffalo-bedroom-rental-near-ub-south/7517729486.html,NA,36029004500,nonpoor,white,70.1,28.2,1.2,2.9,4.8,85959.0,53.5,8.5,37.6,5.3,8.4,65.6,29.4,4.3,4.1,6.2,71922.41,46.5,6.0,42.9,0.0,6.3,63.5,18.6,36.4,9.6,856.0,75.4,19.4,36.9,7.8,869.89
7516781519,All Utilities Included,987,Amherst,113 Travers Blvd,113 Travers Blvd,43.039018,-78.811355,10,2022-08-03 10:39,NA,[],2023-01-30,apartment,1,1.0,laundry on site,off-street parking,700,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['WAITLIST', 'Sutton Place Apartments, managed by Winn Residential', '113 Travers Blvd', 'Amherst, NY 14228', 'show contact info', 'You will love living at Sutton Place.', 'Our residents enjoy our quiet, serene community located in the Sweet Home School District.', 'We cannot wait to have you as a resident!', 'This one bedroom one bathroom apartment features a fully equipped kitchen, entry closet, linen closet, extra storage, and a patio!', 'VIEW OUR WEBSITE:', '<URL>', '[#9344888]']","['https://images.craigslist.org/01717_bttleal8S9Pz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00c0c_5fK9B3gjMFNz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00O0O_croYdiTiJMEz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00f0f_dGPBTXy6Umyz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00U0U_fPlfYQ6Fs0Lz_0bf0bf_600x450.jpg', 'https://images.craigslist.org/00k0k_d66H0z0ufjpz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00909_iC77T4V05fDz_0bf0bf_600x450.jpg', 'https://images.craigslist.org/00k0k_8kKcifKOInbz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00N0N_7GJgneeBJ01z_0cm08f_600x450.jpg', 'https://images.craigslist.org/00f0f_8onrT8rnVuYz_0cm07J_600x450.jpg', 'https://images.craigslist.org/00n0n_bqvzJk6TmRzz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00U0U_4ZfQl5a5mftz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00g0g_KNt1sidmvUz_0cm08C_600x450.jpg', 'https://images.craigslist.org/00J0J_fIN16bmFwxz_0cm08f_600x450.jpg', 'https://images.craigslist.org/01616_eumrODOYeCz_0cm08f_600x450.jpg']",https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-included/7516781519.html,NA,36029009107,nonpoor,white,71.6,22.1,9.2,9.5,19.9,58996.0,39.0,16.4,48.8,6.5,6.8,82.7,11.4,4.9,9.4,13.6,52827.67,37.2,15.5,59.0,6.300000000000001,8.4,62.5,24.0,39.900000000000006,19.7,1197.0,66.1,22.8,42.3,19.7,1003.17
7501827105,"Playground, Incredible Amenities, Stylish Features",1185,Amherst,113 Travers Blvd,113 Travers Blvd,43.039018,-78.811355,10,2022-06-27 12:24,NA,[],2022-12-24,townhouse,2,1.5,laundry on site,off-street parking,950,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['WAITLIST', 'Sutton Place Apartments, managed by Winn Residential', '113 Travers Blvd', 'Amherst, NY 14228', 'show contact info', 'VIEW OUR WEBSITE:', '<URL>', 'You will love living at Sutton Place.', 'Our residents enjoy our quiet, serene community located in the Sweet Home School District.', 'We cannot wait to have you as a resident!', 'This two bedroom one and a half bathroom townhome features a fully equipped kitchen, half bath, coat and linen closets, living and dining areas, and a patio on the main level.', 'Both bedrooms and the full bathroom are located upstairs.', 'Monday 10:00am - 4:30pm', 'Tuesday 10:00am - 4:30pm', 'Wednesday 10:00am - 4:30pm', 'Thursday 10:00am - 4:30pm', 'Friday 10:00am - 4:30pm', '[#9288455]']","['https://images.craigslist.org/00n0n_16NIJNzwV65z_0bf0bf_600x450.jpg', 'https://images.craigslist.org/00F0F_1D1JgUj2kFzz_0bf0bf_600x450.jpg', 'https://images.craigslist.org/00o0o_70BV49nxYgJz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00c0c_5fK9B3gjMFNz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00K0K_ffQOo6psomMz_0cm06M_600x450.jpg', 'https://images.craigslist.org/00303_amiJCDiKIecz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00k0k_d66H0z0ufjpz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00O0O_croYdiTiJMEz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00f0f_dGPBTXy6Umyz_0cm08f_600x450.jpg', 'https://images.craigslist.org/01717_bttleal8S9Pz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00k0k_8kKcifKOInbz_0cm08f_600x450.jpg', 'https://images.craigslist.org/01616_eumrODOYeCz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00n0n_bqvzJk6TmRzz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00f0f_8onrT8rnVuYz_0cm07J_600x450.jpg', 'https://images.craigslist.org/00N0N_7GJgneeBJ01z_0cm08f_600x450.jpg', 'https://images.craigslist.org/00J0J_fIN16bmFwxz_0cm08f_600x450.jpg', 'https://images.craigslist.org/00g0g_KNt1sidmvUz_0cm08C_600x450.jpg', 'https://images.craigslist.org/00U0U_4ZfQl5a5mftz_0cm08f_600x450.jpg']",https://buffalo.craigslist.org/apa/d/buffalo-playground-incredible-amenities/7501827105.html,NA,36029009107,nonpoor,white,71.6,22.1,9.2,9.5,19.9,58996.0,39.0,16.4,48.8,6.5,6.8,82.7,11.4,4.9,9.4,13.6,52827.67,37.2,15.5,59.0,6.300000000000001,8.4,62.5,24.0,39.900000000000006,19.7,1197.0,66.1,22.8,42.3,19.7,1003.17
6554701565,2bed/1Bath on Elmwood **ALL UTILITIES INCLUDED** Coin Op Lndry on site,1200,400 Elmwood Ave,Elmwood Ave,Elmwood Ave,42.915465,-78.877047,20,2022-07-19 14:19,2022-08-04 12:47,"['2022-07-19 14:19', '2022-07-19 14:18']",NA,apartment,2,1.0,laundry in bldg,off-street parking,NA,NA,monthly,NA,NA,True,True,True,NA,NA,NA,NA,"['400 Elmwood is located in the heart of the Elmwood Village.', 'Walking distance to many shops and restaurants!', '400-218', 'Description:', '- 2 Bedrooms with closet space', '- 1 Bathroom with full bath, vanity and toilet', '- Kitchen opens up to L/R comes equipped with stove, refrigerator & microwave', '- Good size living room with great windows that bring in nice natural lighting', 'Amenities:', '- ALL UTILITES INCLDED-', 'Heat, Electric, Water, Garbage', '- Coin-Op Laundry in the building', '- Dog friendly (we do have breed/weight restrictions) & Cat friendly with a ONE TIME $250 non refundable pet fee, additional pet rent of $35/mon', 'all tenants are responsible for a $10 trash fee', 'ALL of our apartments are Non-Smoking.', '12-month lease required.', 'Completed application with $20 application fee for all potential tenants who are interested in renting.', 'We do run a credit, criminal background check and monthly income check.', 'If you are interested in moving in the next 30 days, please contact me now!', ""As an equal opportunity housing provider, we provide housing opportunities regardless of a person's race, familial status (presence of children under age 18), color, national origin, religion, disability (physical or mental), sex, creed, age, sexual orientation, marital status, or military status""]","['https://images.craigslist.org/00t0t_1xHyUiKdF3Rz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00q0q_jHVNTSkXwybz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00H0H_kxE8VvumQpZz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00T0T_iIBHnkErZLuz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00j0j_4GYIJNobAesz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00k0k_iJRfNJpyVc9z_0t20CI_600x450.jpg', 'https://images.craigslist.org/00d0d_kH1N18lv4h7z_0t20CI_600x450.jpg']",https://buffalo.craigslist.org/apa/d/buffalo-2bed-1bath-on-elmwood-all/7510802837.html,NA,36029006601,nonpoor,white,81.5,7.8,6.5,14.5,4.3,76318.0,40.8,10.4,61.1,2.9,22.2,65.7,7.6,13.7,19.3,24.3,35941.57,33.7,20.6,66.8,2.8,10.5,65.4,20.2,59.5,22.6,1092.0,55.6,22.1,54.6,30.6,706.86
7518923002,"Incredible Amenities, Move In Now, Lease Today",1510,Hamburg,4591 Southwestern Blvd,4591 Southwestern Blvd,42.759854,-78.829323,10,2022-08-08 15:14,NA,[],2022-08-13,apartment,2,1.0,laundry in bldg,off-street parking,934,NA,monthly,$11.50 per person for credit and criminal background check,NA,True,True,NA,NA,NA,True,NA,"['Maplewood Estates, managed by Morgan Properties', '4591 Southwestern Blvd', 'Hamburg, NY 14075', 'show contact info', 'Maplewood Estates is excited to offer you quality apartment homes in a great location, managed by professionals who care.', 'Contact us today for leasing details!', 'This two bedroom one bathroom apartment features a fully equipped kitchen, entry closet, hall closet, and a patio/balcony!', 'VIEW OUR WEBSITE:', '<URL>', 'Monday 9:00am - 6:00pm', 'Tuesday 9:00am - 6:00pm', 'Wednesday 9:00am - 6:00pm', 'Thursday 9:00am - 6:00pm', 'Friday 9:00am - 6:00pm', 'Saturday 10:00am - 4:00pm', 'Sunday 11:00am - 5:00pm']","['https://images.craigslist.org/00P0P_anQJCOJxY6qz_09G06s_600x450.jpg', 'https://images.craigslist.org/00g0g_3yWkFptnyrZz_0ew0ew_600x450.jpg', 'https://images.craigslist.org/00G0G_6m8tBuLcCTMz_09G06s_600x450.jpg', 'https://images.craigslist.org/00u0u_boAullDRQJez_0g809A_600x450.jpg', 'https://images.craigslist.org/00N0N_9PeL6I1N1G6z_0g809A_600x450.jpg', 'https://images.craigslist.org/00y0y_9aXoMX6txjoz_0g809A_600x450.jpg', 'https://images.craigslist.org/01010_bv3z9z03bFpz_0g809A_600x450.jpg', 'https://images.craigslist.org/00707_5MI9OQKckWoz_09G06s_600x450.jpg', 'https://images.craigslist.org/00404_btwtnPYK3RPz_09G05K_600x450.jpg', 'https://images.craigslist.org/01313_3b6z5geX2KCz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00V0V_5n2buo94YKDz_0g809G_600x450.jpg', 'https://images.craigslist.org/01414_dzz62h1PTnRz_0g809G_600x450.jpg', 'https://images.craigslist.org/00h0h_jmhfEpf1MSHz_0g809A_600x450.jpg', 'https://images.craigslist.org/01010_7xACIof1Tvuz_0bC082_600x450.jpg', 'https://images.craigslist.org/00O0O_3PgvxfFG0zmz_0g809A_600x450.jpg', 'https://images.craigslist.org/00r0r_bmsC1i9BWMfz_0g809A_600x450.jpg', 'https://images.craigslist.org/00S0S_9RjhFjKvsGcz_0g609y_600x450.jpg', 'https://images.craigslist.org/00202_IPY35dsD9Wz_0g809A_600x450.jpg', 'https://images.craigslist.org/00y0y_1xiwFs3SKJLz_0g809A_600x450.jpg', 'https://images.craigslist.org/00T0T_4uLE3n79H1mz_0g809A_600x450.jpg', 'https://images.craigslist.org/01616_ieCUlMLECS8z_0i90ew_600x450.jpg', 'https://images.craigslist.org/00j0j_jjDSMljPkPRz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00L0L_8jlocW9DMyXz_0jm0ca_600x450.jpg', 'https://images.craigslist.org/00Z0Z_bmBEix3t04Bz_0jm0cV_600x450.jpg']",https://buffalo.craigslist.org/apa/d/athol-springs-incredible-amenities-move/7518923002.html,NA,36029012902,nonpoor,white,96.9,2.6,0.2,0.9,4.1,65121.0,31.4,1.0,44.3,18.6,5.7,96.6,1.3,0.9,2.1,2.7,56277.479999999996,25.7,4.7,39.3,17.9,1.7,55.900000000000006,21.1,32.4,0.4,1014.0,61.0,18.3,33.8,6.3,545.02
7519419509,We will have TOW- 2#BED# 1#BATH(Util Included) APT*Avail SOON.,710,"Hamburg, NY",NA,NA,42.7334,-78.8389,22,2022-08-09 17:49,NA,[],NA,apartment,2,1.0,w/d in unit,off-street parking,NA,NA,monthly,NA,NA,True,True,True,True,NA,NA,NA,"['We will have two- 2 bedroom 1 bathroom (utilities included) apartments coming available soon.', 'We are hoping renovations will be done and ready for a tentative Sept 1 move in.', 'We will begin to show these apartments starting Sept 19th and after.', 'Apartments will still be in the renovation stage at that time.', 'No appointment necessary.', 'Stop in at Storage Sense, 301 Glendale Drive Endicott anytime after sept 19th to the main office between the hours of 10:00am-5:00pm Monday - Friday and 10:00am-1:00pm Saturday .', 'There will be an online application to fill out and there is a $29.95 fee for that.', 'Pictures are reference photos from the first apartment that was renovated.', '2 pets max']","['https://images.craigslist.org/00k0k_1BzDCrvFZHrz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00z0z_gruwZJZIhvJz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00505_h9GejDm3EK3z_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00606_l3eZ1YilMoz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00j0j_11aTZzxB9cvz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00N0N_7XdmurD53dnz_0aT0ew_600x450.jpg']",https://buffalo.craigslist.org/apa/d/hamburg-we-will-have-tow-2bed-1bathutil/7519419509.html,NA,36029013400,nonpoor,white,98.2,0.7,1.7,0.4,2.3,96042.0,53.0,3.0,24.3,5.3,4.0,99.8,0.0,0.0,0.6,4.9,89678.4,44.7,3.0,25.1,1.7,4.5,66.8,22.1,35.2,3.0,899.0,72.80000000000001,24.9,30.3,3.6,822.29
7501984684,"FLORIDA SUN, HERE YOU COME!!!",260,NA,NA,NA,40.7808,-73.9772,22,2022-06-27 17:16,2022-07-05 15:52,[],2022-06-27,apartment,1,1.0,laundry on site,off-street parking,NA,NA,weekly,NA,NA,True,True,NA,NA,NA,NA,NA,"['BEAUTIFUL MOBILE HOMES FOR RENT!!', 'MINUTES AWAY FROM APPOLO BEACH, FL!!', 'PETS WELCOME **BREED RESTRICTION DOES APPLY**', 'ALL AGE COMMUNITY!!', 'CALL AND GET MOVED INTO YOUR MOBILE HOME TODAY!']","['https://images.craigslist.org/00w0w_uDWQgcGhSOz_084063_600x450.jpg', 'https://images.craigslist.org/00808_5lmTUdtU37uz_07X095_600x450.jpg', 'https://images.craigslist.org/00101_5TKEnoXIDKJz_09J07f_600x450.jpg']",https://buffalo.craigslist.org/apa/d/new-york-florida-sun-here-you-come/7501984684.html,NA,36061016100,nonpoor,white,89.0,4.3,10.0,11.5,3.1,126350.0,83.6,23.5,69.1,0.0,15.7,89.9,1.0,9.8,4.6,5.0,140618.72999999998,82.0,18.8,76.4,0.0,12.9,88.2,30.4,44.5,23.6,2593.0,91.0,27.6,38.3,17.5,2172.94
7491888439,"*Newly Painted. 1,230+ Sq. Ft. (67 Stevens Ave)- 4 Plex Apt. 2BR/1Bath",1085,"67 Stevens Ave, Buffalo, NY","67 Stevens Ave, Buffalo, NY","67 Stevens Ave, Buffalo, NY",42.9335,-78.8115,22,2022-06-03 15:04,2022-06-21 13:15,[],NA,apartment,2,1.0,w/d hookups,off-street parking,1230,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['2BR/1BA.', 'New Flooring throughout - Newly Painted.', '1,230+ Sq.', 'Ft.', 'Off Street Parking.', 'Upper Unit.', 'W/D Hookups.', 'Owner pays water/sewer, lawn care, and snow removal from parking area.', 'Tenant pays gas and electricity and garbage removal.', 'No subletting.', 'No smoking inside/No pets .', 'Security Deposit equal to one month rent.', 'Rental insurance required.', 'No email messaging.', 'Calls will be returned as soon as possible.', 'A showing will be scheduled if interested.']","['https://images.craigslist.org/00W0W_7gJ57zn24LFz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00a0a_1YDGKcbzosmz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00g0g_dIjfBlcMntEz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00l0l_72GkjfQg6qKz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00E0E_3xLrxNqnsWfz_0jm0ew_600x450.jpg', 'https://images.craigslist.org/00D0D_3ezr7xDhnTMz_0jm0ew_600x450.jpg']",https://buffalo.craigslist.org/apa/d/buffalo-newly-painted-1230-sq-ft-67/7491888439.html,NA,36029004401,nonpoor,black,7.9,92.5,2.5,1.4,26.8,40777.0,16.4,2.8,54.6,0.6,4.0,8.3,87.6,3.5,4.1,11.2,44727.34,14.4,2.2,53.3,0.0,21.5,50.599999999999994,21.2,33.7,3.8,872.0,50.4,18.4,34.0,8.2,800.87
