post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,repost_dates,available,housing_type,bedrooms,bathrooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url,typology,GEOID,poverty,race,white,black,asian,latinx,below25k,median_income,college,foreignborn,renteroccupied,last10yrs,vacancy,white_old,black_old,asian_old,latinx_old,below25k_old,median_income_old,college_old,foreignborn_old,renteroccupied_old,last10yrs_old,vacancy_old,professional,travel_time,new_residents,non_english,avg_rent,professional_old,travel_time_old,new_residents_old,non_english_old,avg_rent_old
7518200411,778 2Bed 2Bath Upper End Unit,1814,"500 E Centennial Dr Oak Creek, WI",500 E Centennial Dr,500 E Centennial Dr,42.884971,-87.918373,20,2022-08-06 15:29,NA,[],NA,apartment,2,2.0,w/d in unit,attached garage,1324,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['To schedule a tour', 'We now book our tour appointments online!', 'Please call or text us at', 'show contact info', 'to self-schedule from your phone!', 'Book your appointment online today or anytime 24/7!', 'Property Description', 'Details', 'Availability date:', 'September 2, 2022', 'Pets:', 'Cats, Small Dogs (< 25lb), Large Dogs (> 25lb)', 'Pet notes:', 'Dogs & Cats welcome.', 'Our restricted breeds are as follows:American Staffordshire Terrier, Alaskan Malamute, Akita, Cane Corso, Chow Chow, Doberman Pinscher, German Shepherd, Great Dane, Mastiffs, Presa Canario, Rottweiler, Pit Bull, Siberian Husky, no mix of Wolf, no mix of any restricted breed.', 'These restrictions do not apply to service animals.*2 Pets Allowed Per Apartment', 'Deposit:', '750', 'Leasing options:', 'Leasing notes:', 'None', 'Application fee:', '$20 per person online / $35 per person if paper app', 'Amenities', 'Included in Utilities Cost:', 'Garbage', 'Utilities Cost:', 'Laundry:', 'In Unit', 'Parking type:', 'Garage, On-Street', 'Parking notes:', 'Attached One-Car Garage + Private Driveway.', '2 Vehicles Maximum Per Apartment.', 'Appliances:', 'Dishwasher, Refrigerator, Garbage disposal, Range/Oven, Microwave in Arbors & Arbors Addition', 'Exterior:', 'Balcony/patio, Pond', 'Heating/cooling:', 'Heat: forced air, Central AC', 'Wiring:', 'Cable-ready, High-speed internet', 'Facilities and Recreation:', 'Shared pool, Fitness center, Clubhouse, Playground, Business center', 'Security and Access:', 'Private Entries', 'Views:', 'Wooded, Pond', 'Additional features:', 'Fireplaces in Arbors & Arbors Addition, Walk-in Closets in Oakshire & Village Green Units', 'Offered by:', 'Centennial Park', 'Equal Housing Opportunity']",NA,https://milwaukee.craigslist.org/apa/d/oak-creek-778-2bed-2bath-upper-end-unit/7518200411.html,NA,55079160204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7517706872,2 Bedroom 1 Bath,860,West Bend,Stonebridge Road near Maplewynde Road,Stonebridge Road ,43.400402,-88.170497,5,2022-08-05 12:46,NA,[],2022-08-05,apartment,2,1.0,w/d in unit,off-street parking,NA,NA,monthly,NA,NA,True,NA,NA,NA,True,True,NA,"['This unit is located next to the Eisenbahn State Trail on a quiet cul-de-sac.', 'This unit includes a private entry, heat, water, sewer, washer, dryer, stove, refrigerator, dishwasher, disposal, an air conditioner and off-street parking.', 'Cats are accepted with a separate deposit and monthly fee.']",NA,https://milwaukee.craigslist.org/apa/d/west-bend-bedroom-bath/7517706872.html,NA,55131420300,nonpoor,white,95.7,4.2,1.5,2.9,3.3,54706.0,29.9,3.8,35.4,0.0,1.7,98.6,0.0,1.4,4.9,9.0,59003.77,22.3,2.7,33.4,8.3,4.2,70.3,21.9,26.8,4.3,745.0,61.599999999999994,19.8,35.4,4.6,862.75
7510674826,Studio Available,1297,Brown Deer,"4475 W. Dean Road, Ste 118","4475 W. Dean Road, Ste 118",43.16923,-87.96652,10,2022-07-19 09:14,NA,[],2022-07-19,apartment,2,2.0,laundry on site,no parking,1070,NA,monthly,NA,NA,True,True,True,NA,NA,NA,NA,"['Brook Lane Apartments, managed by HRG', '4475 W. Dean Road, Ste 118', 'Brown Deer, WI 53223', 'show contact info', 'VIEW OUR WEBSITE:', '<URL>', 'Heat included!!!Pet friendly!!!', 'Heat paid!', 'Ask about our 2D floor plan!', 'It is a huge two bedroom two full bath layout.', 'With 1070 sq. feet of space, this apartment has ample room!', 'The foyer entryway has a wall of closets, perfect for storage.', 'Large windows in the living room and bedrooms let in lots of sunlight through the vertical blinds.', 'The den area is perfect for a variety of uses - turn it into an office area, a movie room or anything you can imagine!', 'The bedroom has queen size accommodations and double closets.', 'A full master bath is attached.', 'The 2nd bedroom can also accomodate a queen bed and has nice closet space.', 'The 2nd bathroom is very large with another closet space right outside the door.', 'The kitchen comes furnished with a refrigerator, dishwasher, and gas range stove.', 'A dining area has ample space for a six seater dining room table.', 'Call today!', 'We are pet friendly!', 'Call for details!']","['https://images.craigslist.org/01414_2jAPoSWEePZz_07Z05F_600x450.jpg', 'https://images.craigslist.org/00e0e_lFsTDM87ZPaz_07M05z_600x450.jpg', 'https://images.craigslist.org/00I0I_j2AUwTMsIhJz_09N07s_600x450.jpg', 'https://images.craigslist.org/01111_1ElWNTFWyU7z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00404_eWuDFdsLZVKz_01d01i_600x450.jpg', 'https://images.craigslist.org/00X0X_iKXO3OjDRoDz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00707_4KMx6mBHAWWz_0i40dL_600x450.jpg', 'https://images.craigslist.org/00a0a_f4ho9Sz0Bl6z_07K0ak_600x450.jpg', 'https://images.craigslist.org/00h0h_htCcxoG7gbYz_04t05D_600x450.jpg']",https://milwaukee.craigslist.org/apa/d/milwaukee-studio-available/7510674826.html,NA,55079050102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7516968352,Downtown 1BD w/ Great Views and Air Conditioning!,795,Milwaukee,1029 Knapp near Astor,1029 Knapp ,43.046827,-87.899488,10,2022-08-03 15:51,2022-08-06 12:08,[],2022-12-01,apartment,1,1.0,laundry in bldg,street parking,NA,NA,monthly,NA,NA,True,NA,True,NA,NA,True,NA,"['Downtown - 1 BR w/ vinyl and carpet - Air conditioning', 'Property Address', '1029 E Knapp St #602 | Milwaukee, WI 53202', 'Available: 12/01/2022', 'Offered By', 'Enigma Properties |', 'show contact info', 'Description', 'One bedroom apartment in an ideal downtown location!', 'Great views!', 'Located blocks from the lakefront, this apartment home offers easy access to the lakefront, downtown Milwaukee and the lower East Side.', 'We are near the festival grounds, weekly farmers market and downtown dining and nightlife.', 'The building is well maintained and has on-site laundry and storage facilities for your convenience.', 'Elevator and laundry room in building!', 'Building features a gorgeous secured lobby.', 'Amenities:', '-Garage & surface level parking options', '-Internet options', '-Ample closet storage space', '-Air conditioned', '-Secured Lobby', 'Rental Terms:', '-Rent: $795', '-Term: 6 months', '-Available: 12/01/2022', '-Security Deposit: $1192.50', 'Pet Policy:', '-Cats allowed for $25 a month, No dogs allowed.', 'If you have any additional questions or would like to schedule a private showing, please contact Hannah @', 'show contact info', 'Details', 'Beds/Baths: 1BD/1.0BA', 'Square Feet: 480', 'Rental Terms', 'Rent: $795.00', 'Available: 12/01/2022', 'Application Fee: $25.00', 'Security Deposit: $1,192.50', 'Pet Policy', 'Cats allowed', 'Dogs not allowed']","['https://images.craigslist.org/00K0K_6IEi9eYG0BKz_09G07g_600x450.jpg', 'https://images.craigslist.org/01313_jMM3VyjHh2gz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00p0p_8IeDvsE4125z_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00b0b_hkrmKsoSducz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00j0j_kB9apekU3Ymz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00909_klwS5VaoOTXz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00E0E_diCLdn6PXlWz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00q0q_5JuCf7jMZDZz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00B0B_6f1zVkiIqARz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00404_k75ubc22yxWz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00x0x_2fk3vlCyXvTz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00e0e_6C1J7NlMw01z_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00g0g_aWrpIYiZhMLz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00u0u_33FM7nHZYe3z_0lM0t2_600x450.jpg']",https://milwaukee.craigslist.org/apa/d/milwaukee-downtown-1bd-great-views-and/7516968352.html,NA,55079011000,nonpoor,white,73.9,21.1,11.0,4.1,0.0,25169.0,43.4,7.1,85.8,0.0,17.0,79.6,11.0,3.4,5.4,0.0,39981.619999999995,57.1,6.6,86.7,11.399999999999999,9.6,70.6,18.4,54.3,9.5,816.0,70.30000000000001,19.8,63.8,13.4,706.86
7518568768,Bay View / Fernwood 2BR 1BA Upper Unit,1100,"Bay View / Fernwood, Milwaukee",3374 S Indiana Ave,3374 S Indiana Ave,42.982956,-87.876058,10,2022-08-07 16:26,2022-08-07 17:10,[],2022-09-01,apartment,2,1.0,laundry in bldg,street parking,NA,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['Great opportunity to rent an apartment in the fantastic Fernwood neighborhood of Bay View!', 'Steps to Thomas Moore High School, the Seminary Woods, a 10-minute walk to South Shore Park, and all that Bay View living has to offer!', 'The upper unit (2BR/1BA) of this home is available September 1st, 2022 for $1,100 per month.', 'Prior to move-in, the landlords will be updating flooring, paint, installing a block window in the bathroom, and having the bathtub refinished.', 'Landlord covers trash, water, and provides a large AC unit (no central air).', 'Additional amenities include a fenced in backyard and private storage in the attic above the upper unit.', 'A garage stall is optionally available for an additional $100.00 per month.', 'Pets are allowed for an additional $50.00 per month.', 'If interested, the application will require three years of verifiable work and rental history.', 'Current photos are of the recently refinished lower unit flooring for reference.', 'Photos of the upper unit in current condition coming soon.']","['https://images.craigslist.org/00E0E_f9GfVQh2gcLz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00t0t_hbn6cRWDJKZz_08k07K_600x450.jpg', 'https://images.craigslist.org/00404_15AvMbEkQRvz_0ak07K_600x450.jpg']",https://milwaukee.craigslist.org/apa/d/saint-francis-bay-view-fernwood-2br-1ba/7518568768.html,NA,55079020800,nonpoor,white,98.5,1.2,1.0,7.1,1.1,73694.0,52.8,2.7,34.1,0.0,1.6,94.2,2.2,2.5,9.0,4.8,76094.55,46.3,5.6,27.3,0.5,11.4,74.7,22.7,40.7,5.9,1043.0,72.8,22.9,37.5,9.0,950.81
6976282237,"1bedroom Heat, Appliances, off street parking",675,"ON west ave,on bus line 1831 west in waukesha",NA,NA,42.9516,-88.2963,22,2022-07-25 13:14,NA,['2022-07-25 13:14'],NA,apartment,1,1.0,laundry on site,off-street parking,650,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['parking nice and QuietArea Open Now!mo.', 'to mo.', 'RENT agreement', 'show contact info', 'available immediately.sorry', 'no pets']",NA,https://milwaukee.craigslist.org/apa/d/waukesha-1bedroom-heat-appliances-off/7513233378.html,NA,55133202101,nonpoor,white,97.4,0.7,2.3,2.7,1.5,119732.0,52.6,2.3,5.3,10.5,3.4,93.8,0.0,6.1,1.8,0.0,115689.42,50.6,4.8,1.6,43.0,0.0,78.9,26.5,22.7,2.4,1240.0,73.5,26.0,24.7,9.4,-793333332.54
7513622463,Lake house - Okauchee,2700,Oconomowac,NA,NA,43.1095,-88.4862,22,2022-07-26 12:02,NA,[],2022-08-01,apartment,3,1.0,w/d in unit,carport,1300,NA,monthly,NA,NA,True,True,NA,NA,NA,True,NA,"['3 Bedroom 1 bath full lake home with deck.', 'in home washer and dryer.', 'Pets welcomed.', 'Call for showing today:', 'show contact info']","['https://images.craigslist.org/00t0t_ifQbaGtVfgBz_0fu0kE_600x450.jpg', 'https://images.craigslist.org/00707_7BphSVXUzo5z_0jm0pO_600x450.jpg', 'https://images.craigslist.org/01717_bfs9ta5oHGxz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00b0b_kDAUge4VPDjz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00a0a_iUJBkUatUqaz_0pO0jm_600x450.jpg']",https://milwaukee.craigslist.org/apa/d/oconomowoc-lake-house-okauchee/7513622463.html,NA,55133204301,nonpoor,white,90.2,0.9,0.0,3.1,2.7,96184.0,54.2,2.8,24.4,18.5,3.7,98.9,0.0,1.1,0.4,0.0,87937.43,36.5,1.9,10.9,22.3,6.7,69.4,27.1,39.0,3.6,1038.0,74.6,22.2,29.4,2.4,865.13
7502780091,"Appliances Included, Landscaped Courtyard, Now Available",730,Brown Deer,"4475 W. Dean Road, Ste 118","4475 W. Dean Road, Ste 118",43.16923,-87.96652,10,2022-06-29 14:03,NA,[],2022-06-29,apartment,1,1.0,laundry on site,off-street parking,700,NA,monthly,NA,NA,True,True,True,NA,NA,NA,NA,"['VIEW OUR WEBSITE:', '<URL>', 'Brook Lane Apartments, managed by HRG', '4475 W. Dean Road, Ste 118', 'Brown Deer, WI 53223', 'show contact info', 'Welcome Home To Brook Lane!', 'We are pet friendly!', 'Call for details!', 'Heat paid!', 'Ask about our 1A floor plan!', 'It is a beautifully spacious apartment with 700 sq.', 'feet of space.', 'The entryway has a walk in closet, perfect for storage.', 'Large windows in the living room and bedroom let in lots of sunlight through the vertical blinds.', 'The bedroom has queen size accommodations, double closets, and a wall A/C. A linen closet with floor-to-ceiling shelving is right outside the bathroom.', 'The kitchen comes furnished with a refrigerator, dishwasher, and gas range stove.', 'Access to basement laundry, a brief walk to the pool and fitness studio, and much more!', ' Stop by today!', 'Security deposit, one time conditional fees, and monthly conditional fees, if applicable, subject to credit.', 'We complete a criminal and rental check on all adults moving into the apartment as part of the screening process.', 'Minimum and maximum income restrictions apply.', 'Limited availability.', 'Pricing subject to change without notice.', 'Please call for details.', 'Community Features', '* Laundry Care Center', '* Long Term Lease Available', '* Fitness Studio', '* Landscaped Courtyards', '* Professionally Managed', '* Volleyball Court', '* Smoke Free Community', '* Easy Access to Public Transportation', '* Non Smoking Community', '* Affordable Housing', '* Outdoor Grill Area', '* Minutes from Restaurants, Shopping, and Much More', '* Garage Parking', '* After-Hours Emergency Maintenance', '* Controlled Access', '* Credit Cards Accepted', '* We are a social community!', 'Find our Yelp, Facebook or Twitter page online.', '* se habla espanol', '* Community Kitchen', '* Swimming Pool']","['https://images.craigslist.org/00y0y_ccf29hNPn0Rz_0bi0ei_600x450.jpg', 'https://images.craigslist.org/00e0e_lFsTDM87ZPaz_07M05z_600x450.jpg', 'https://images.craigslist.org/00707_4KMx6mBHAWWz_0i40dL_600x450.jpg', 'https://images.craigslist.org/00404_eWuDFdsLZVKz_01d01i_600x450.jpg', 'https://images.craigslist.org/01111_1ElWNTFWyU7z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00a0a_f4ho9Sz0Bl6z_07K0ak_600x450.jpg', 'https://images.craigslist.org/00I0I_j2AUwTMsIhJz_09N07s_600x450.jpg', 'https://images.craigslist.org/00X0X_iKXO3OjDRoDz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00h0h_htCcxoG7gbYz_04t05D_600x450.jpg']",https://milwaukee.craigslist.org/apa/d/milwaukee-appliances-included/7502780091.html,NA,55079050102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7508427318,Gorgeous 2bd conveniently located in Germantown! Parking Included!,1095,Germantown,N114W15846 Sylvan Circle #202,N114W15846 Sylvan Circle #202,43.2189,-88.1165,22,2022-07-13 16:15,2022-08-02 13:28,[],2022-09-01,apartment,2,1.0,laundry in bldg,off-street parking,NA,NA,monthly,Background and Credit Check,NA,True,NA,NA,NA,NA,NA,NA,"['Beautiful 2 bedroom in Germantown...convenient location!', 'Parking Included!', 'Property Address', 'N114W15846 Sylvan Circle #202', '| Germantown, WI 53022', 'Available:', '09/01/2022', 'Offered By', 'Enigma Properties |', 'show contact info', 'Description', 'Beautiful 2 bedroom in Germantown...convenient location!', '- Beautiful unit featuring 2 bedrooms and one surface parking space included.', 'Very clean building.', 'Coin operated laundry facilities in basement as well as space for storage.', 'Includes stove, refrigerator, 24 hour emergency maintenance, laundry facilities in the building for your use and storage space.', 'Cats accepted with additional monthly fee.', 'Conveniently located near all Germantown retail establishments.', 'To apply, or to schedule your showing, go to <URL> and select the next available showing times.', 'Valid photo ID and proof of income are require.*', 'Note: Unit materials may vary.', 'Photos are of a model unit.', 'Amenities:', '-Separate Utilities', '-Remodeled Kitchen', '-Updated Bathroom', '-Lots of natural light', '-Onsite Laundry', '-Surface Parking Spot Included', 'Rental Terms:', '-Rent: $1,095.00', '-Term: 12 months', '-Available:', '09/01/2022', '-Security Deposit: $1,500.00', 'Pet Policy:', '-Cats ok, $25/month per cat.', '-No Dogs', 'Text David at', 'show contact info', 'with questions or to schedule a showing.', 'Note: Unit materials may vary from photos', 'Amenities', 'On-Site Laundry', 'Surface Parking', 'Garage Parking', 'Details', 'Beds/Baths: 2BD/1.0BA', 'Rental Terms', 'Rent: $1,095.00', 'Available:', '09/01/2022', 'Application Fee: $25.00', 'Security Deposit: $1,500.00', 'Pet Policy', 'Cats allowed', 'Dogs not allowed']","['https://images.craigslist.org/00x0x_dODEuGNesYVz_09G07g_600x450.jpg', 'https://images.craigslist.org/00k0k_itZmrrTdJFGz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00q0q_cpZKkxBryZpz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00909_2AxuZTzEvrVz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00M0M_36Saf7kANj1z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00I0I_6jybA6vpiuJz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00w0w_fqLQNEemaBjz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00d0d_g9yZ4oVYIiqz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01212_b2QFrajfg4Az_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01313_7CrnTJSoIjWz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00q0q_dmeuOMAWz95z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00L0L_1eFXm3mgNU8z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00R0R_4ZK9yLPPSX8z_0CI0t2_600x450.jpg']",https://milwaukee.craigslist.org/apa/d/germantown-gorgeous-2bd-conveniently/7508427318.html,NA,55131470202,nonpoor,white,94.2,3.0,5.1,2.3,1.6,91250.0,48.2,4.7,18.2,2.9,3.5,99.1,1.4,0.0,1.2,1.3,91728.76999999999,31.4,3.0,14.5,7.8,2.2,67.5,19.5,26.099999999999998,5.9,1203.0,61.8,20.2,22.3,3.3,1036.49
7508736648,Brewers Hill 1-Bd Condo On The River Available Now! Rent Special!,1550,Milwaukee,NA,NA,43.057915,-87.898997,5,2022-07-14 12:31,NA,[],2022-07-14,apartment,1,1.0,w/d in unit,attached garage,NA,NA,monthly,NA,NA,NA,NA,True,NA,True,True,NA,"['1 Bedroom Condo', 'Property Address', '2080 N Commerce St. | Milwaukee, WI 53212', 'Available: Now', 'Offered By', 'Smart Asset Management LLC', 'Description', 'Leasing Agent Dylan:', 'show contact info', 'TEXT ONLY', ""- $250 OFF FIRST MONTH'S RENT!"", '- 1 Bed', '- 1 Bath', '- We pay for water/sewer/trash', '- Stove and fridge included', '- Sorry no pets', '- In unit laundry', '- Dishwasher', '- Exercise room', '- Clubhouse', '- Central Air', '- 1 underground parking spot', '- Storage Locker', 'Amenities', 'In Unit Laundry', 'Dishwasher', 'Exercise Gym in Building', 'Clubhouse', 'Central Air', 'Underground parking 1 space', 'Storage Locker', 'Details', 'Beds/Baths: 1BD/1.0BA', 'Square Feet: 728', 'Rental Terms', 'Rent: $1,550.00', 'Available: Now', 'Application Fee: $35.00', 'Security Deposit: $1,550.00', 'Pet Policy', 'Cats not allowed', 'Dogs not allowed']","['https://images.craigslist.org/01717_1V0dqZZMBxrz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00F0F_4DghGezuGDez_0t20CI_600x450.jpg', 'https://images.craigslist.org/00P0P_5quCV4pKo0sz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00b0b_1rtXcchG7wNz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00C0C_2Vn7G0Ljlqyz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00B0B_8LYnSEs4O6qz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00606_tbDI4s35toz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01010_igTTJEGs5Jqz_0t20CI_600x450.jpg']",https://milwaukee.craigslist.org/apa/d/milwaukee-brewers-hill-bd-condo-on-the/7508736648.html,NA,55079010700,nonpoor,white,76.8,12.5,5.6,19.3,4.5,58583.0,48.4,6.2,58.5,15.399999999999999,19.8,60.9,24.1,1.6,18.9,37.4,54851.86,42.5,4.9,58.4,18.5,13.2,66.6,19.9,52.9,16.8,938.0,62.6,20.7,50.4,23.3,863.9399999999999
