post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,repost_dates,available,housing_type,bedrooms,bathrooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url,typology,GEOID,poverty,race,white,black,asian,latinx,below25k,median_income,college,foreignborn,renteroccupied,last10yrs,vacancy,white_old,black_old,asian_old,latinx_old,below25k_old,median_income_old,college_old,foreignborn_old,renteroccupied_old,last10yrs_old,vacancy_old,professional,travel_time,new_residents,non_english,avg_rent,professional_old,travel_time_old,new_residents_old,non_english_old,avg_rent_old
7514609223,You Can Afford To Dwell Well. NEXT MONTH FREE,916,Anderson,3833 Hoosier Woods Ct,3833 Hoosier Woods Ct,40.076582,-85.637392,10,2022-07-28 18:40,2022-07-28 18:45,[],2022-09-01,apartment,2,2.0,w/d hookups,off-street parking,940,NA,monthly,$18/ App Fee,NA,True,True,NA,NA,True,True,NA,"['Hoosier Woods Apartments', 'Floor Plan: 2 Bedroom/2 Bath', 'Sq Feet:', '940', 'Rent:', '$913', 'Deposit:', '$350.00 OAC', 'Bed/Bath:', '2/2', 'Apartment Features', 'Washer and dryer hookups and private storage off balcony', 'Dishwasher, garbage disposal, all electric appliances including stove and refrigerator', 'Rent and electric costs only; we cover water trash and sewer', 'Community Amenities', 'Swimming Pool', 'Business Center', '24 Hour Fitness Gym', 'Laundry Facilities', 'On-site Maintenance', 'Club House', 'Contact Us', 'Hoosier Woods Apartments', 'Address:', '3833 Hoosier Woods., Anderson, IN  46013', 'Phone:', 'show contact info', 'Online:', '<URL>', 'Office Hours:', 'Mon:', '9:00am - 6:00pm', 'Tue:', '9:00am - 6:00pm', 'Wed:', '9:00am - 6:00pm', 'Thu:', '9:00am - 6:00pm', 'Fri:', '9:00am - 6:00pm', 'Sat:', '10:00am - 5:00pm', 'Sun:', 'CLOSED', 'ADA ACCESSIBLE', 'EQUAL HOUSING OPPORTUNITY', 'Cat, Dog, 24 Hour Fitness Gym, Club House, Apartments to rent, Laundry Facilities, Business Center, Swimming Pool, Anderson, IN, Hoosier Woods Apartments, On-site Maintenance']","['https://images.craigslist.org/00z0z_6fbEm9LVjN0z_09G07e_600x450.jpg', 'https://images.craigslist.org/01616_bbnUs3NxExGz_09G07e_600x450.jpg', 'https://images.craigslist.org/00I0I_ae5Plf5D9zuz_09G07e_600x450.jpg', 'https://images.craigslist.org/00C0C_6PyqWEA7Dclz_09G06p_600x450.jpg', 'https://images.craigslist.org/00i0i_5HzwehU2pNkz_09G07e_600x450.jpg', 'https://images.craigslist.org/00F0F_8HOfNmavTzkz_08J05O_600x450.jpg', 'https://images.craigslist.org/00404_dEDvnC3qa0rz_09G07e_600x450.jpg', 'https://images.craigslist.org/01313_c04nWjUgOf6z_09G07e_600x450.jpg', 'https://images.craigslist.org/00I0I_59VVfBQlOz4z_09G07e_600x450.jpg', 'https://images.craigslist.org/00O0O_1syYTpCz8Wlz_09G070_600x450.jpg', 'https://images.craigslist.org/01212_12urSHoaJG3z_09G07g_600x450.jpg', 'https://images.craigslist.org/00000_925LmsCY3tHz_05r07g_600x450.jpg', 'https://images.craigslist.org/00808_gR76LU9BnHhz_05r07g_600x450.jpg', 'https://images.craigslist.org/00c0c_3w5QDpaaalEz_09G07g_600x450.jpg', 'https://images.craigslist.org/00s0s_il5Te04m8PQz_08r05E_600x450.jpg', 'https://images.craigslist.org/00c0c_4zgbnbSTwHFz_09G063_600x450.jpg', 'https://images.craigslist.org/00S0S_7UtzU0aRFpiz_09K07j_600x450.jpg', 'https://images.craigslist.org/01313_czuaDsHD8coz_0ls09Y_600x450.jpg']",https://muncie.craigslist.org/apa/d/anderson-you-can-afford-to-dwell-well/7514609223.html,NA,18095002000,nonpoor,white,92.7,12.7,4.5,5.2,11.3,45893.0,11.9,1.6,32.4,0.0,21.4,87.3,8.6,4.8,0.0,9.9,47526.22,15.8,4.2,27.0,12.1,11.0,48.3,29.8,24.2,4.4,860.0,54.400000000000006,19.4,33.6,2.8,818.7199999999999
7519422327,1 bedroom ready today at Beckford!,850,"New Castle, IN.",S. Memorial Dr.,S. Memorial Dr.,39.914024,-85.38463,20,2022-08-09 17:56,2022-08-09 17:56,[],2022-08-09,apartment,1,1.0,w/d hookups,off-street parking,576,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['At Beckford Place Apartments, $923 includes water, sewer, and trash.', ""You'll enjoy a laundry room with attached attic storage, a spacious bedroom with a private patio, and a large living space."", 'The kitchens are fully equipped with appliances and garbage disposal.', 'Apartment amenities include air conditioning, mounted bookshelves or breakfast bars, and ceiling fans to help keep your home at an optimal temperature for your comfort.', 'The location of Beckford Place Apartments is ideal as we have grocery stores and shopping within three minutes of the community.', 'The apartments are single story, so you don’t have to worry about lugging groceries up stairs or noisy upstairs neighbors.', 'The community is also pet friendly and welcomes furry companions of all sizes.', 'Call us today for more information!', '$75 application fee per adult resident covers credit review, income verification and fraudulent document alert services, landlord references, identity confirmation process, and national criminal and sex offender registry checks', 'Floor Plan Amenities:', '* Storm Doors', '* Private Patios', '* Storage Space', '* Air Conditioning', '* Disposal', 'Property Amenities:', '* Ranch Style/Single Story Living', '* On-site Management', '* Close to restaurants and shopping', '* Laundry', '* 24/7 Emergency Maintenance', 'To do our part and mitigate the risk of spread of COVID-19, our offices will be available by phone, email, and appointment only.', 'You can apply online at www .', 'beckfordPlaceByElon .', 'com today.', 'Browse the virtual tours and new videos are being added as quickly as we can!', 'CALL TODAY!', '7 6 5 - 3 8 8 - 9 0 3 6', 'Beckford Place Apartments', '2900 S. Memorial Dr.', 'New Castle, IN. 47362', 'EQUAL HOUSING OPPORTUNITY', 'do NOT contact me with unsolicited service']","['https://images.craigslist.org/00I0I_g5yGWyj03bqz_0oS0g1_600x450.jpg', 'https://images.craigslist.org/00g0g_j5hQQKpXJ1wz_0ak05O_600x450.jpg', 'https://images.craigslist.org/00B0B_eowv0RGws2kz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00A0A_3UNi5CWSHIzz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00e0e_d6EJXLixa3Vz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00L0L_epESGJubggxz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00v0v_dDYMSiDY4Bgz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00j0j_lgnzj0COwwRz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00404_4Bmb79cfgZuz_09G06s_600x450.jpg', 'https://images.craigslist.org/00v0v_7ngZQCUEtlVz_09k06U_600x450.jpg', 'https://images.craigslist.org/00M0M_hkqmBFUagvFz_0iH0oc_600x450.jpg', 'https://images.craigslist.org/00i0i_itnRGUii0mjz_04K07g_600x450.jpg', 'https://images.craigslist.org/00O0O_hXJgiv68Xutz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00N0N_735M7aGrTNNz_0z70t2_600x450.jpg', 'https://images.craigslist.org/00x0x_39OvkwBWnxjz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00x0x_bWDmAeKhIc7z_09G053_600x450.jpg', 'https://images.craigslist.org/01212_yMpCQISogCz_08406B_600x450.jpg', 'https://images.craigslist.org/00q0q_ieaYRuRtX7Qz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00D0D_4EbNhRrcXpSz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/01616_cezL18ONPO1z_0kE0bC_600x450.jpg', 'https://images.craigslist.org/01616_aEid8W4Ylqpz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00w0w_nqlvNUQHwqz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00H0H_2vzBy3ZQNRpz_06L07g_600x450.jpg', 'https://images.craigslist.org/00a0a_JpDbYjXSWtz_0fu0bC_600x450.jpg']",https://muncie.craigslist.org/apa/d/new-castle-bedroom-ready-today-at/7519422327.html,,18065976400,nonpoor,white,93.5,5.3,0.0,1.2,9.4,51889.0,23.7,0.5,22.6,1.3,9.1,99.6,0.4,0.0,1.1,10.4,42924.49,16.4,0.1,30.5,3.4,9.5,62.3,21.1,32.9,1.9,737.0,62.7,23.0,33.2,1.2,800.87
7516043801,Large 3-bedroom home,800,"Muncie, IN  Main Street near Jackson",1005 W Main St near Jackson,1005 W Main St ,40.193383,-85.396917,10,2022-08-01 14:05,2022-08-02 08:46,[],2022-08-15,house,3,1.0,w/d hookups,off-street parking,NA,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Large 3 bedroom, 1 bath home with a full basement with washer/dryer hook-up.', 'Off-street parking.', 'Central air conditioning and gas heating.', 'Tenant pays electric and gas.', 'The landlord pays water and sewage.', 'Rent is only $800 per month.', 'Contact Jarod at', 'show contact info', 'for more information or to arrange a visit.']",NA,https://muncie.craigslist.org/apa/d/muncie-large-bedroom-home/7516043801.html,NA,18035000600,nonpoor,white,82.6,15.2,0.7,0.0,21.4,27016.0,15.2,4.1,79.3,2.9,30.9,81.0,20.0,0.7,1.5,37.3,20252.61,14.9,1.2,83.4,0.0,29.4,43.7,20.4,47.7,3.8,569.0,44.6,16.4,63.7,2.4,552.16
7514363903,"SHORT TERM LEASES? YES, WE DO! RANCH STYLE HOMES.NO DEPOSIT",819,Muncie,4049 N Everett Road Apt A near West Perdue,4049 N Everett Road Apt A ,40.225548,-85.425782,5,2022-07-28 09:47,2022-08-01 13:30,[],2022-08-01,apartment,1,1.0,w/d hookups,off-street parking,600,NA,monthly,$75 per applicant,NA,True,True,NA,NA,NA,True,NA,"['New to Muncie but do not need to be in a year lease?', 'Just sold your house but have not found the perfect new home?', 'Enrolled at BSU for just one semester?', 'We offer flexible short-term leases starting at just three months.', 'Welcome to Elon Property Management and Applegate Apartments!', 'NO DEPOSIT!', 'LOW MOVE IN FEE.', 'ASK ABOUT OUR FURNISHED APARTMENT OPTIONS!!', '((Credit, criminal, eviction, income verification apply))', 'CLOSE TO BALL STATE UNIVERSITY!', '~Private Entrances!', '~Ranch-Style=NO upstairs neighbors', '~Double wall construction', '~Large Pet Friendly', '~HUGE laundry rooms in one- and two-bedroom models (onsite laundry available as well)', '~ALL electric (no separate gas bill!)', '~Apply Online!', '~Upgrades available!', 'Applegate Apartments', '4049 N Everett #A', 'Muncie, IN 47304', 'Call and make an appointment:', 'show contact info', 'Send a text:', 'show contact info', 'For additional information after hours:', 'You can also apply online: <URL>', 'Monday - Thursday 9:00 am – 6:00 pm', 'Friday 9:00 am – 4:30 pm We will be closed Friday 12/31/21', 'First Sunday 12:00 pm-', '4:00 pm', 'Check us on Facebook- Applegate Apartments Muncie']","['https://images.craigslist.org/00I0I_a0B6OcfP25Zz_0tU0kb_600x450.jpg', 'https://images.craigslist.org/00Z0Z_is01fdpSlZwz_0vs0oc_600x450.jpg', 'https://images.craigslist.org/00a0a_cEUNWERBNbhz_09G05r_600x450.jpg', 'https://images.craigslist.org/00H0H_douQwkLvmyqz_09G07g_600x450.jpg', 'https://images.craigslist.org/00x0x_39OvkwBWnxjz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00N0N_735M7aGrTNNz_0z70t2_600x450.jpg', 'https://images.craigslist.org/00L0L_l2N4Z1QHA54z_09G07g_600x450.jpg', 'https://images.craigslist.org/00Z0Z_9hNmq9TBxl6z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00202_dzfBkegyHjsz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00e0e_i0LgP3F4iGiz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00M0M_hkqmBFUagvFz_0iH0oc_600x450.jpg', 'https://images.craigslist.org/00N0N_elb9iVMPy3sz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00q0q_ieaYRuRtX7Qz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00Y0Y_963hZxSEeDrz_0CI0t2_600x450.jpg']",https://muncie.craigslist.org/apa/d/muncie-short-term-leases-yes-we-do/7514363903.html,NA,18035000903,nonpoor,white,84.2,12.8,5.8,2.2,22.5,28272.0,52.3,5.1,83.8,8.2,14.0,90.3,11.9,1.2,1.6,16.2,31540.949999999997,56.4,10.8,83.2,24.700000000000003,11.1,66.0,22.5,70.2,6.4,838.0,66.6,15.3,76.0,4.3,802.06
7440905696,"Head-turning Style, Extraordinary Location.- NEXT MONTH FREE",1053,Anderson,3833 Hoosier Woods Ct,3833 Hoosier Woods Ct,40.076582,-85.637392,10,2022-06-22 16:42,NA,['2022-06-22 16:42'],NA,apartment,3,2.0,w/d hookups,off-street parking,1175,NA,monthly,$18/ App Fee,NA,True,True,NA,NA,True,True,NA,"['Hoosier Woods Apartments', 'Floor Plan: 3 Bedroom/2 Bath', 'Sq Feet:', '1175', 'Rent:', '$1,050', 'Deposit:', '$350.00 OAC', 'Bed/Bath:', '3/2', 'Apartment Features', 'Washer and dryer hookups and private storage off balcony', 'Dishwasher, garbage disposal, all electric appliances including stove and refrigerator', 'Rent and electric costs only we cover water trash and sewer', 'Community Amenities', 'Swimming Pool', 'Business Center', '24 Hour Fitness Gym', 'Laundry Facilities', 'On-site Maintenance', 'Club House', 'Contact Us', 'Hoosier Woods Apartments', 'Address:', '3833 Hoosier Woods., Anderson, IN  46013', 'Phone:', 'show contact info', 'Online:', '<URL>', 'Office Hours:', 'Mon:', '9:00am - 6:00pm', 'Tue:', '9:00am - 6:00pm', 'Wed:', '9:00am - 6:00pm', 'Thu:', '9:00am - 6:00pm', 'Fri:', '9:00am - 6:00pm', 'Sat:', '10:00am - 5:00pm', 'Sun:', 'CLOSED', 'ADA ACCESSIBLE', 'EQUAL HOUSING OPPORTUNITY', 'Cat, Dog, 24 Hour Fitness Gym, Club House, Apartments to rent, Laundry Facilities, Business Center, Swimming Pool, Anderson, IN, Hoosier Woods Apartments, On-site Maintenance']","['https://images.craigslist.org/00z0z_6fbEm9LVjN0z_09G07e_600x450.jpg', 'https://images.craigslist.org/01616_bbnUs3NxExGz_09G07e_600x450.jpg', 'https://images.craigslist.org/00o0o_cjI2JhmXb2Zz_0k00dl_600x450.jpg', 'https://images.craigslist.org/00C0C_6PyqWEA7Dclz_09G06p_600x450.jpg', 'https://images.craigslist.org/00i0i_5HzwehU2pNkz_09G07e_600x450.jpg', 'https://images.craigslist.org/00F0F_8HOfNmavTzkz_08J05O_600x450.jpg', 'https://images.craigslist.org/00404_dEDvnC3qa0rz_09G07e_600x450.jpg', 'https://images.craigslist.org/01313_c04nWjUgOf6z_09G07e_600x450.jpg', 'https://images.craigslist.org/00I0I_59VVfBQlOz4z_09G07e_600x450.jpg', 'https://images.craigslist.org/00W0W_iWjXG01LZdDz_08407g_600x450.jpg', 'https://images.craigslist.org/01212_12urSHoaJG3z_09G07g_600x450.jpg', 'https://images.craigslist.org/00000_925LmsCY3tHz_05r07g_600x450.jpg', 'https://images.craigslist.org/00808_gR76LU9BnHhz_05r07g_600x450.jpg', 'https://images.craigslist.org/00c0c_3w5QDpaaalEz_09G07g_600x450.jpg', 'https://images.craigslist.org/00s0s_il5Te04m8PQz_08r05E_600x450.jpg', 'https://images.craigslist.org/00c0c_4zgbnbSTwHFz_09G063_600x450.jpg', 'https://images.craigslist.org/00S0S_7UtzU0aRFpiz_09K07j_600x450.jpg', 'https://images.craigslist.org/01313_czuaDsHD8coz_0ls09Y_600x450.jpg']",https://muncie.craigslist.org/apa/d/anderson-head-turning-style/7499905420.html,NA,18095002000,nonpoor,white,92.7,12.7,4.5,5.2,11.3,45893.0,11.9,1.6,32.4,0.0,21.4,87.3,8.6,4.8,0.0,9.9,47526.22,15.8,4.2,27.0,12.1,11.0,48.3,29.8,24.2,4.4,860.0,54.400000000000006,19.4,33.6,2.8,818.7199999999999
4219077637,1508 Granville,1295,1508 Granville Muncie,1508 Granville Muncie,1508 Granville Muncie,40.207866,-85.383093,20,2022-06-29 19:23,2022-07-28 17:09,['2022-06-29 19:23'],2022-08-01,house,5,2.0,w/d in unit,off-street parking,NA,NA,monthly,NA,NA,True,True,True,NA,NA,NA,NA,"['AVAILABLE August 1st 2022', 'Students or Family', '5 BR 2 BA', 'Stove, refrigerator', 'C/A W/D', 'Close to the mall', 'all new energy efficient windows', 'new front door', 'Large dry basement', 'Off street parking', 'Garage NO  SMOKING', 'Pet friendly with fees breed restrictions', 'Deposit $1295', 'Rent $1295', 'Tenant pays utilities', 'We have an application process and require a full credit report before I can give you a showing I need to know current rental and work history', 'Call Joe 765-74four-107nine']","['https://images.craigslist.org/00q0q_3dAVm7PePgkz_05a03S_600x450.jpg', 'https://images.craigslist.org/00x0x_xjjUYBIExAz_03e02q_600x450.jpg', 'https://images.craigslist.org/00r0r_JGOHRyo2vYz_03e02q_600x450.jpg', 'https://images.craigslist.org/00707_fbWbLrjLYtpz_02q03e_600x450.jpg', 'https://images.craigslist.org/00M0M_gAXdJMMk08iz_03e02q_600x450.jpg', 'https://images.craigslist.org/00v0v_gKVog5hykRz_02q03e_600x450.jpg']",https://muncie.craigslist.org/apa/d/muncie-1508-granville/7502893080.html,NA,18035001100,nonpoor,white,82.0,6.9,3.8,8.3,4.1,43026.0,35.8,7.4,48.5,1.3,16.6,95.0,3.1,0.0,3.2,17.8,38484.6,17.0,0.6,43.0,2.1,10.5,57.0,23.3,44.1,12.2,648.0,56.7,15.8,48.2,2.2,646.17
7503269250,"Classic 3br house, check this out!",800,Anderson,NA,NA,40.1309,-85.6536,22,2022-06-30 17:47,NA,[],2022-06-30,house,3,1.0,w/d hookups,detached garage,912,NA,monthly,NA,NA,True,True,NA,NA,True,True,True,"['This classic home has 912 square feet of space, with features that include a kitchen with stainless steel appliances, central air, ceiling fans, hardwood floors, washer/dryer hookups, is freshly painted and newly renovated.', 'CONTACT VIA (478)22O-8284']","['https://images.craigslist.org/00K0K_c3DS6k7JUKfz_0c607s_600x450.jpg', 'https://images.craigslist.org/00J0J_crdDui3G9V8z_0c607m_600x450.jpg', 'https://images.craigslist.org/00101_lzUxZ8TboXpz_0c608G_600x450.jpg', 'https://images.craigslist.org/01111_fd7qEXHSDVoz_0c608y_600x450.jpg', 'https://images.craigslist.org/00606_anwkl1kFWB1z_08t0bi_600x450.jpg']",https://muncie.craigslist.org/apa/d/anderson-classic-3br-house-check-this/7503269250.html,NA,18095001300,nonpoor,white,90.3,6.5,4.5,2.7,7.8,58204.0,28.9,4.0,31.1,4.0,10.7,91.0,8.6,0.6,1.6,4.2,57568.63,31.7,1.0,34.4,8.5,8.3,56.2,20.5,28.5,3.7,830.0,65.3,21.4,40.5,2.9,817.53
7519448788,One bedroom,595,New Castle,NA,NA,39.9208,-85.3663,22,2022-08-09 19:05,NA,[],2022-08-10,apartment,1,1.0,laundry on site,off-street parking,500,NA,monthly,$ 20.00,NA,NA,NA,NA,NA,NA,NA,NA,"['Great one bedroom unit (upstairs, easy stairs).', 'Appliances included, on-site laundry, off street parking.', 'White glove clean!', ' One year lease, must pass background, and furnish references.', 'MUST PASS BACKGROUND CHECK', 'All utilities included, gas heat, water, sewage, trash fee, lawn care.', 'ALL INCLUDED', '$ 595.00 per month plus security deposit DUE AT SIGNING.', 'NON SMOKING AND NO PETS', 'PHONE CALLS ONLY!', 'NO TEXT OR EMAIL WILL BE RETURNED', '765-Five-24….644-seven']","['https://images.craigslist.org/00i0i_6uUHZCVznnsz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00Q0Q_lIloyFJCoWz_0CI0t2_600x450.jpg']",https://muncie.craigslist.org/apa/d/new-castle-one-bedroom/7519448788.html,NA,18065976500,nonpoor,white,95.2,6.4,1.2,4.3,27.4,32019.0,6.8,0.0,53.6,0.0,35.4,93.8,3.7,0.0,0.7,37.5,24114.16,2.6,1.3,51.8,7.1,27.5,36.2,24.6,49.6,1.6,702.0,39.400000000000006,22.5,44.2,1.7,719.9499999999999
7501986927,1 bedroom ready today at Beckford!,875,"New Castle, IN.",S. Memorial Dr.,S. Memorial Dr.,39.914024,-85.38463,20,2022-06-27 17:21,NA,[],2022-06-27,apartment,1,1.0,w/d hookups,off-street parking,576,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['At Beckford Place Apartments, $948 includes water, sewer, and trash.', ""You'll enjoy a laundry room with attached attic storage, a spacious bedroom with a private patio, and a large living space."", 'The kitchens are fully equipped with appliances and garbage disposal.', 'Apartment amenities include air conditioning, mounted bookshelves or breakfast bars, and ceiling fans to help keep your home at an optimal temperature for your comfort.', 'The location of Beckford Place Apartments is ideal as we have grocery stores and shopping within three minutes of the community.', 'The apartments are single story, so you don’t have to worry about lugging groceries up stairs or noisy upstairs neighbors.', 'The community is also pet friendly and welcomes furry companions of all sizes.', 'Call us today for more information!', '$75 application fee per adult resident covers credit review, income verification and fraudulent document alert services, landlord references, identity confirmation process, and national criminal and sex offender registry checks', 'Floor Plan Amenities:', '* Storm Doors', '* Private Patios', '* Storage Space', '* Air Conditioning', '* Disposal', 'Property Amenities:', '* Ranch Style/Single Story Living', '* On-site Management', '* Close to restaurants and shopping', '* Laundry', '* 24/7 Emergency Maintenance', 'To do our part and mitigate the risk of spread of COVID-19, our offices will be available by phone, email, and appointment only.', 'You can apply online at www .', 'beckfordPlaceByElon .', 'com today.', 'Browse the virtual tours and new videos are being added as quickly as we can!', 'CALL TODAY!', '7 6 5 - 3 8 8 - 9 0 3 6', 'Beckford Place Apartments', '2900 S. Memorial Dr.', 'New Castle, IN. 47362', 'EQUAL HOUSING OPPORTUNITY']","['https://images.craigslist.org/00g0g_j5hQQKpXJ1wz_0ak05O_600x450.jpg', 'https://images.craigslist.org/00B0B_eowv0RGws2kz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00A0A_3UNi5CWSHIzz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00e0e_d6EJXLixa3Vz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00L0L_epESGJubggxz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00v0v_dDYMSiDY4Bgz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00j0j_lgnzj0COwwRz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00404_4Bmb79cfgZuz_09G06s_600x450.jpg', 'https://images.craigslist.org/00v0v_7ngZQCUEtlVz_09k06U_600x450.jpg', 'https://images.craigslist.org/00M0M_hkqmBFUagvFz_0iH0oc_600x450.jpg', 'https://images.craigslist.org/00i0i_itnRGUii0mjz_04K07g_600x450.jpg', 'https://images.craigslist.org/00O0O_hXJgiv68Xutz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00r0r_g6pIFn52itfz_05s07g_600x450.jpg', 'https://images.craigslist.org/00x0x_39OvkwBWnxjz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00x0x_bWDmAeKhIc7z_09G053_600x450.jpg', 'https://images.craigslist.org/01111_bLBIwL7fX31z_0re0t2_600x450.jpg', 'https://images.craigslist.org/01212_yMpCQISogCz_08406B_600x450.jpg', 'https://images.craigslist.org/00q0q_ieaYRuRtX7Qz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00D0D_4EbNhRrcXpSz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/01616_cezL18ONPO1z_0kE0bC_600x450.jpg', 'https://images.craigslist.org/01616_aEid8W4Ylqpz_0kE0bC_600x450.jpg', 'https://images.craigslist.org/00A0A_5YnwATpcXhiz_05102B_600x450.jpg', 'https://images.craigslist.org/00K0K_eSYCkaMVx5xz_03D03D_600x450.jpg']",https://muncie.craigslist.org/apa/d/new-castle-bedroom-ready-today-at/7501986927.html,,18065976400,nonpoor,white,93.5,5.3,0.0,1.2,9.4,51889.0,23.7,0.5,22.6,1.3,9.1,99.6,0.4,0.0,1.1,10.4,42924.49,16.4,0.1,30.5,3.4,9.5,62.3,21.1,32.9,1.9,737.0,62.7,23.0,33.2,1.2,800.87
7497189984,Immediate Section 8 Openings,NA,Muncie In,NA,NA,40.218,-85.379,22,2022-06-16 08:25,2022-07-15 08:16,[],NA,apartment,2,1.0,laundry on site,off-street parking,851,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Elgin Manor Apartments', '2573 N. Elgin St.', 'Muncie In 47303', 'show contact info', '- TTY 711 Fax', 'show contact info', 'Office Hours 10:00 am-5:00 pm', 'Elgin Manor Apartments will be accepting applications beginning 6/16/2022 for the Section 8  Two,   and Three Bedroom Waiting List.', 'All adult household members must apply in person during normal office hours, and provide a valid picture ID at time of application.', 'Applications will be accepted and processed in order of the date and time that they were received.', 'EHO']","['https://images.craigslist.org/00F0F_dK5tI19JtOXz_09G02B_600x450.jpg', 'https://images.craigslist.org/00s0s_5EPwohiE8cFz_09G02B_600x450.jpg', 'https://images.craigslist.org/00000_cP7uVMTQ89Nz_09G06s_600x450.jpg']",https://muncie.craigslist.org/apa/d/muncie-immediate-section-openings/7497189984.html,NA,18035001100,nonpoor,white,82.0,6.9,3.8,8.3,4.1,43026.0,35.8,7.4,48.5,1.3,16.6,95.0,3.1,0.0,3.2,17.8,38484.6,17.0,0.6,43.0,2.1,10.5,57.0,23.3,44.1,12.2,648.0,56.7,15.8,48.2,2.2,646.17
