post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,repost_dates,available,housing_type,bedrooms,bathrooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url,typology,GEOID,poverty,race,white,black,asian,latinx,below25k,median_income,college,foreignborn,renteroccupied,last10yrs,vacancy,white_old,black_old,asian_old,latinx_old,below25k_old,median_income_old,college_old,foreignborn_old,renteroccupied_old,last10yrs_old,vacancy_old,professional,travel_time,new_residents,non_english,avg_rent,professional_old,travel_time_old,new_residents_old,non_english_old,avg_rent_old
7507488493,Sunny and Spacious 2 Bedroom brand new apt with vineyard views!,2350,Niagara on the Lake,120 Garrison Village Drive near mississauga,120 Garrison Village Drive ,43.245275,-79.093725,5,2022-07-11 13:49,2022-07-12 12:06,[],2022-08-31,apartment,2,2.5,w/d in unit,carport,1140,NA,monthly,NA,NA,True,True,True,NA,NA,True,NA,"['Welcome to The NOTL Village Apartments.', 'This newly built walk-up apartment with a vineyard view on both floors, tons of windows, and a wonderful landlord, is located within the historic Old Town Niagara-on-The-Lake.', 'This apt over two floors has all brand new appliances, hardwood floors, high ceilings, and multiple vineyard views from its many windows.', 'It has two massive bathrooms with tubs, another bathroom on the main floor.', 'It is also quiet, and has really nice neighbours, and pets are welcome!!', 'The Village is an award-winning master planned community.', 'Within the neighbourhood, you will find wonderfully walkable streets, a beautiful diversity of architecture, an array of small parks, and a mix of residential houses with commercial restaurants, stores, and gorgeous paths through the woods to a creek which then leads into the town of Niagara on the Lake.', 'Includes a parking space and visitor parking and a bike storage shed.', 'For more details on the property and a video walk through - <URL>']","['https://images.craigslist.org/00T0T_k0W5yLFNSdyz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00202_dRNVYg5R00iz_0CI0pN_600x450.jpg', 'https://images.craigslist.org/00F0F_bEk1qKdzPxoz_0CI0pL_600x450.jpg', 'https://images.craigslist.org/00Y0Y_krFdzjCKgSYz_0CI0pL_600x450.jpg', 'https://images.craigslist.org/00q0q_je3O5CFVrQSz_0zu0rq_600x450.jpg', 'https://images.craigslist.org/00t0t_czJad4Itv7Az_0zu0rq_600x450.jpg', 'https://images.craigslist.org/00n0n_aLFJDTwkMKcz_0CI0pP_600x450.jpg', 'https://images.craigslist.org/00b0b_hCIFU7Dw8sJz_0CI0pN_600x450.jpg', 'https://images.craigslist.org/00t0t_e2OjBrdQIoBz_0CI0pP_600x450.jpg', 'https://images.craigslist.org/00W0W_hcEiWxX0hHLz_0CI0pM_600x450.jpg', 'https://images.craigslist.org/00B0B_1bz2k2nfdciz_0CI0pM_600x450.jpg', 'https://images.craigslist.org/00m0m_gvbvtmCYFkcz_0CI0pM_600x450.jpg', 'https://images.craigslist.org/00707_gOLkGLidzuHz_0CI0pM_600x450.jpg', 'https://images.craigslist.org/00404_kNsb8MbXnGWz_0CI0pP_600x450.jpg', 'https://images.craigslist.org/00808_4X2qEfkxXAlz_0CI0pP_600x450.jpg', 'https://images.craigslist.org/00j0j_eNpnulec4hzz_0CI0pM_600x450.jpg', 'https://images.craigslist.org/00606_7ulxhrm8iADz_0CI0pM_600x450.jpg', 'https://images.craigslist.org/01515_58bZgSELxjvz_0CI0pM_600x450.jpg', 'https://images.craigslist.org/00U0U_9cfjXnPC4P6z_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00w0w_gN1ElrDRHtxz_0CI0pN_600x450.jpg']",https://niagara.craigslist.org/apa/d/virgil-sunny-and-spacious-bedroom-brand/7507488493.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7505918218,House for rent,2800,Niagara falls,NA,NA,43.0696,-79.0818,25,2022-07-07 14:13,NA,[],2022-08-01,house,4,2.0,laundry on site,attached garage,1025,NA,monthly,NA,NA,NA,NA,True,NA,NA,True,NA,"['Newly renovated 3 bedrooms with 3 piece washroom on main floor.', ' Finished basement with 1 bedroom and 1 - 3 piece room.', 'Beautiful deck in the backyard.', '5 min drive to the falls and casino Looking for a family with kids.']","['https://images.craigslist.org/00q0q_ezBdMb2mmIkz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/01111_9oWDLmZ6Htcz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00C0C_RdtrGznlZBz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00j0j_5Nw4wnJRbbnz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00Z0Z_7Du5VIIAKAGz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00e0e_a5LMTIKs9NVz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00E0E_3OtUnDvMd09z_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00q0q_i2QzIklNelKz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/01616_kZMBVaVfdlcz_0gw0b2_600x450.jpg', 'https://images.craigslist.org/01212_ieEh4CR9pNBz_0gw0b2_600x450.jpg', 'https://images.craigslist.org/00c0c_h9t17x87k44z_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00C0C_a5oAI5IvGTsz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00p0p_hU0Tzuyqwujz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00s0s_5chZMfn2dOjz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00V0V_ebN3Wrm9Hmpz_0gw0b0_600x450.jpg', 'https://images.craigslist.org/00z0z_6Lk61Ywjsg1z_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00O0O_4ljNvcciTapz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/01717_cZNtiPbxIkqz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00f0f_bd77jGrwMOxz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00q0q_hcaTeR1MAPqz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/01616_1FiI0P7kx4Tz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00q0q_aQdWVfBXI28z_0gw09i_600x450.jpg', 'https://images.craigslist.org/00A0A_5JsS1vw9Zaxz_0gw0bF_600x450.jpg', 'https://images.craigslist.org/00B0B_hy1yAgO8Nv8z_0gw0bF_600x450.jpg']",https://niagara.craigslist.org/apa/d/niagara-falls-southeast-house-for-rent/7505918218.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7513005321,2Bed & 1Bath house for rent,2000,Downtown Niagara Falls,4554 Jepson St,4554 Jepson St,43.100981,-79.068111,10,2022-07-24 22:49,NA,[],2022-08-01,house,2,1.0,w/d in unit,carport,800,NA,monthly,NA,NA,True,True,True,NA,NA,True,NA,"['This detached house offers 2 bedrooms, 1 full bathroom, large kitchen with NEW appliances (fridge, stove, dishwasher, stacked w/d), large open concept dining space living room.', 'Single dwelling property that is all yours!', 'Additional features include laundry, central air conditioning, backyard, and multi-car driveway.', 'Located in downtown Niagara Falls close to multiple parks, schools, shops, restaurants, all the amenities and steps away from highway access.', 'Short walk to Clifton hill, Queen street and Olympic torch run trail.', 'Attention: New photos coming soon as property is ungergoing some minor upgrades!', '*All applicants reach out via email only.', 'References, employment and credit check required.', '1st and last months rent due upon signing.', '(Monthly direct deposit preferred)']","['https://images.craigslist.org/00V0V_e8UrNCGSpD4z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00p0p_bYkm6NhkcYLz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00H0H_cyLeR4cBOY5z_0t20CI_600x450.jpg', 'https://images.craigslist.org/00R0R_71CCwIeLVG5z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00E0E_uGZJKnhyI4z_0t20CI_600x450.jpg', 'https://images.craigslist.org/00S0S_11NYdnxUwwxz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00R0R_85c2ZEjaqqrz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00N0N_5tZJ4eiWrS3z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00g0g_2GDdO2PcFPcz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00R0R_93eqVR3MSOnz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00101_iYpkLbUaaOLz_0CI0t2_600x450.jpg']",https://niagara.craigslist.org/apa/d/niagara-falls-2bed-1bath-house-for-rent/7513005321.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7517749743,Renovated Townhouse in Weiden Pines,2100,St Catharines,2 Weiden,2 Weiden,43.2052,-79.2158,99,2022-08-05 15:08,2022-08-05 15:10,[],2022-09-01,townhouse,3,1.0,w/d in unit,attached garage,910,NA,monthly,NA,NA,True,True,True,NA,NA,True,NA,"['Available Sept 1st 2022', '$2100/month plus Hydro And Gas', '36 - 2 Weiden St, St. Catharines', '2 Story- 3 Bedroom,1 Bathroom.', 'Freshly painted walls.', 'New carpet on staircases.', 'Finished Basement.', 'Single Driveway With Lots Of Visitor Parking.', 'Includes Cable TV, Water, Snow Removal, Stove, Fridge, Washing Machine And Dryer.', 'Forced Air And Gas Furnace.', 'Backs Onto Park.', 'Close to Bus Stop.', 'Walking Distance To Elementary/High school.', '910 Square Meters Plus Basement.', 'Renovated 2016', '- New Kitchen', '- Main Level Flooring', '- Open Concept Floor Layout', 'Renovated 2017', '- New Bathroom', '- New A/C', 'Require:', '- 1 year lease', '- First and last on signing', '- Proof of income', '- Reference check required', '- Rental application (Ontario Residential Property Application Form)', '<URL>', 'NO smoking - NO pets preferred', 'If interested please respond to the following questions :', '1) What is your name?', '2) What do you do for work?', '3) Why are you looking for a place to live?', '4) What is your net monthly income?', 'Please respond through this forum or text Mike at', 'show contact info']","['https://images.craigslist.org/00D0D_iAm6GefYcJTz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/01616_8OaG16m02GOz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00000_gCTCRfcrHZDz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00Q0Q_9nkGxpzyr54z_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00m0m_hLWJdGXtoHaz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00101_3brkrSbIA4Dz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00l0l_7F0UW6UTssIz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00P0P_6bWTMBBMWakz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00m0m_1AzQSYjmnkOz_0CI0pK_600x450.jpg', 'https://images.craigslist.org/00d0d_gJiRzgsN3Ilz_0CI0pK_600x450.jpg']",https://niagara.craigslist.org/apa/d/st-catharines-renovated-townhouse-in/7517749743.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7504309782,2Bdrm-1Bth Apt. - NiagaraFalls,1590,"Downtown Niagara Falls, ON",Bridge St. near 4th,Bridge St. ,43.108675,-79.061957,23,2022-07-03 13:35,2022-07-18 17:31,[],2022-08-01,apartment,2,1.0,laundry in bldg,off-street parking,750,NA,monthly,NA,NA,NA,NA,True,NA,NA,True,NA,"['Open concept apartment in downtown Niagara Falls, Ontario.', 'Retrofitted with central A/C; central heating.', ' Completely renovated.', '2nd floor walk up of 3 unit building.', 'Walkable to GO train station, Bus Terminal, Local buses at doorstep.', 'Walk to the Gale Center and to the Falls tourist areas.', 'In building laundry included', 'Parking included', 'Wifi included.', 'Long term lease preferred.', 'Good credit and application process', 'Non-smoking & no pets.', 'Monthly utilities are approximately $200']","['https://images.craigslist.org/00a0a_kdGry32pzQXz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/01616_jcmTqJEY9JOz_0ak07L_600x450.jpg', 'https://images.craigslist.org/00e0e_eIjQSXxyRK7z_0ak07L_600x450.jpg', 'https://images.craigslist.org/00a0a_dCZpAM8C96tz_0ak07L_600x450.jpg', 'https://images.craigslist.org/00I0I_2Unw9PpKeOXz_0ak07L_600x450.jpg', 'https://images.craigslist.org/00W0W_3fd0OVsFalBz_0ak07L_600x450.jpg', 'https://images.craigslist.org/00v0v_5fCgIkR5hiyz_0ak07L_600x450.jpg', 'https://images.craigslist.org/00D0D_d2dkzuWmryIz_0ak07L_600x450.jpg', 'https://images.craigslist.org/00g0g_exgKv0tWjZnz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00V0V_kHv8iglJAysz_06Y0co_600x450.jpg']",https://niagara.craigslist.org/apa/d/niagara-falls-2bdrm-1bth-apt/7504309782.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7508945438,"6117 Eaglewood Drive, Niagara Falls, Ontario L2G 0A7",2995,Niagara Falls,6117 Eaglewood Drive near Marineland Parkway and Stanley Avenue,6117 Eaglewood Drive ,43.0696,-79.0818,25,2022-07-14 22:17,2022-08-05 12:05,[],2022-08-15,house,4,2.5,w/d in unit,attached garage,2000,NA,monthly,NA,NA,NA,NA,True,NA,NA,NA,NA,"['4 Bedrooms | 2.5 Bathrooms, Upgraded Kitchen, Stainless Steel Appliances, Dishwasher, Ice Maker, Formica Countertops, Carpet Floors, Ensuite Laundry.', 'Note: The unit will be professionally cleaned by the owner prior to your occupancy.', 'Close to Queen Elizabeth Way, Drummond SW at Oldfield Bus Stop, Forestview Public School, MacBain Park, SmartCentres Niagara Falls, Thorold Stone Plaza,  Journey Behind the Falls, Niagara SkyWheel, Bird Kingdom, White Water Walk, Niagara Glen Nature Centre, Queen Victoria Park, Niagara Falls.', '6117 Eaglewood Drive, Niagara Falls, Ontario L2G 0A7', 'Marineland Parkway and Stanley Avenue', 'Ten Minutes Away From the Breathtaking Niagara Falls!!', 'Close to All Amenities!!', '$3,000 (Four Parking Spots Included)', 'Discounted Cable, Phone & Internet (Throughout the Term, at Additional Cost)', 'UNIT AMENITIES:', '*4 Bedrooms | 2.5 Bathrooms', '*This is a Newly Renovated Detached House', '*Upgraded Kitchen', '*Stainless Steel Appliances', '*Dishwasher', '*Ice Maker', '*Formica Countertops', '*Carpet Floors', '*Personal Thermostat', '*Walk-in Closet', '*California Shutters', '*9 Foot Ceiling', '*Ensuite Laundry', '*Upgraded Bathrooms', '*Full Bath in Primary and Jack & Jill in Multiple Rooms', '*Front Porch', '*Private Garage', '*Walk-out to Garage', '*Fenced Backyard', '*Tons of Natural Light', 'Available August 15th, 2022', 'Note: The unit will be professionally cleaned by the owner prior to your occupancy.']","['https://images.craigslist.org/00Q0Q_ixiJ3kaVONDz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00x0x_cG5EBJRSCzaz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00707_4z1ItCM9XYoz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00r0r_6FrjDzXmAV4z_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00F0F_jO8Rb7qwmuHz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00D0D_8wsX2n73uanz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00i0i_aDGUB2prYPdz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00d0d_5hDzx84TYNYz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00y0y_eBkZaaeiSRZz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00w0w_48jkNPl7dXz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00a0a_5khbPALRsn0z_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00k0k_8socW5vRALiz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00x0x_7CZkeZUzD9Cz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/01616_gTM7rDrjgPLz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00505_g2vyXvLN0n5z_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00j0j_d823Lr2d8eTz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00s0s_ho3kcwGqBsNz_0ww0oo_600x450.jpg', 'https://images.craigslist.org/00h0h_iDNX9QMU6nyz_0ww0oo_600x450.jpg']",https://niagara.craigslist.org/apa/d/niagara-falls-southeast-6117-eaglewood/7508945438.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7509183170,Apt for rent,900,Niagara Falls Ontario,Montrose rd near McLeod,Montrose rd ,43.077765,-79.173317,5,2022-07-15 14:23,2022-07-22 18:52,[],2022-07-18,apartment,1,1.0,laundry on site,off-street parking,800,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,['One bedroom large above ground basement apt - approx 800 sq ft - laundry facilities - Montrose and McLeod - private entrance - driveway parking - $900/ month - first and last month'],"['https://images.craigslist.org/00q0q_99CWvpN2bwrz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00000_2dGLqX5tLuQz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00F0F_5KDdhmmPB0bz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00303_a9ChWkBu4VYz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00303_hJQyAexyqVIz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00m0m_6wYOTQRHWoZz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00o0o_iWWnV0lkPy7z_0CI0t2_600x450.jpg']",https://niagara.craigslist.org/apa/d/niagara-falls-apt-for-rent/7509183170.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7513170181,Brand New House 3 Bedroom 2 Bath for Rent in Welland,2500,Welland,NA,NA,43.065777,-79.56774,5,2022-07-25 12:22,NA,[],2022-09-01,house,3,2.0,laundry on site,attached garage,1700,NA,monthly,NA,NA,NA,NA,True,NA,NA,True,NA,"['Brand New House With Lots of Natural Light of 3 Bedroom and 2 Bath for Rent, close to Niagara College and near to all the amenities.']","['https://images.craigslist.org/00g0g_6srmzroAX9qz_0gw0ga_600x450.jpg', 'https://images.craigslist.org/01414_dKr1GU7MGF7z_0gw0co_600x450.jpg']",https://niagara.craigslist.org/apa/d/smithville-brand-new-house-bedroom-bath/7513170181.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7517796264,Home For Rent_147 St Lawrence,2600,"147 ST.LAWRENCE Drive, Welland","147 ST.LAWRENCE Drive, Welland","147 ST.LAWRENCE Drive, Welland",42.9998,-79.2656,25,2022-08-05 16:46,NA,[],2022-09-15,house,2,2.0,laundry on site,attached garage,NA,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Available September 15, 2022.', 'Move In Ready!', 'Partially Furnished Beautiful Freehold End Unit Townhouse', 'In Sought After North Welland.', 'Bright Kitchen With Stainless Steel Appliances', 'And Patio Doors Leading To New Large Deck.', 'Large Master Bedroom With Double Closet.', 'Nicely Landscaped.', 'Fenced In Yard.', 'No Backyard Neighbors, Very Private And Peaceful!', 'Garage With Loft Storage Space.', 'Near Park, Walking Trails, Welland Canal, Seaway Mall, Zehrs, Restaurants, Medical Facilities.', '\tProperty Is Owner Occupied.', 'Need At Least 4Hrs Notice For Showings.', 'Available From September 15, 2022.', 'Extras: Fridge, Cooktop, Over-The-Range Microwave, Built-In Dishwasher, Washer & Dryer.', 'One Parking Spot.']","['https://images.craigslist.org/00b0b_gBm8R5koPA0z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00O0O_hFGIPm88EArz_0ak07K_600x450.jpg', 'https://images.craigslist.org/01717_4lQuem2UfVMz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00l0l_aBTPk7hKj4Jz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00S0S_imKQ0IZZno7z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00F0F_azctoW0wk7gz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00p0p_2TnVgZ1F4BBz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00D0D_aqf2DyF3atjz_0ak07K_600x450.jpg', 'https://images.craigslist.org/01212_dsBX2VuP18Dz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00I0I_7RaFYrQVte5z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00303_aTVNmYyC9TWz_0ak07K_600x450.jpg', 'https://images.craigslist.org/01717_3xa4W38QNUAz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00w0w_2ju6Nt8xprsz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00o0o_2KRIiWYip67z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00u0u_4bSKY7mkWdEz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00V0V_lqDCULeJiHjz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00O0O_aiWoV9PFCVFz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00S0S_g5kugcA2Ewxz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00I0I_3anAc4S38Q7z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00I0I_3anAc4S38Q7z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00q0q_7Jd7gEge47Cz_0ak07K_600x450.jpg']",https://niagara.craigslist.org/apa/d/welland-west-home-for-rent147-st/7517796264.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7517772154,Townhouse Grimsby on the Lake,2650,Grimsby,541 Winston Road,541 Winston Road,43.211922,-79.607478,10,2022-08-05 15:55,NA,[],2022-08-06,townhouse,2,1.5,w/d in unit,attached garage,NA,NA,monthly,NA,NA,NA,NA,True,NA,NA,NA,NA,"['Grimsby on the Lake townhouse for rent.', 'Available immediately.', 'UNFURNISHED.', 'Large bathtub, granite kitchen and bathroom counter tops.', 'Tons of storage space in basement.', 'Attached garage.', '4 floors.', '24-hr Grimsby gym 5 min walk or 2 min run away.', 'Grimsby on the Lake Wine Bar 5 minute walk.', 'Grimsby waterfront 6 minute walk.', 'Costco 7 minutes away.', 'Tons of amenities in the area.', 'Fantastic place to live.', 'Walk the Lake Ontario waterfront every night!', 'Multiple beaches in the area that you can walk to.', 'Great space for couple or someone who regularly works from home or is here on extended business.', 'Clean townhouse.', '1800 sq.', 'ft. 2 Parking spots plus very lenient visitor parking.', '$2650/month', 'Less than 1 year available.', 'References and credit check required.', '541 Winston Road Unit 15, Grimsby.', 'If interested send us a message with:', '1.', 'Your name', '2.', 'Who will occupy the townhouse', '3.', 'Pets?', '4.', 'Your job description']","['https://images.craigslist.org/00U0U_aiDJgUrdvYnz_0lM0CI_600x450.jpg', 'https://images.craigslist.org/00D0D_3P6Zam0sWKXz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00505_c0YaSA27vEaz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00G0G_fqX3g50uEQOz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00505_inZQVaHAxi7z_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00L0L_IshG8x19QQz_0lM0CI_600x450.jpg', 'https://images.craigslist.org/00x0x_59wFEXuwWQez_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00Q0Q_i4ESjYtmhsJz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00Z0Z_19c5yHaOfAVz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00I0I_fctvHo0ukSIz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00H0H_2lEwnwK1IVlz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00202_9x6ABUvDLlbz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00g0g_1F5S1kNzH1hz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00F0F_h4uubIt3KAkz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00O0O_gfff8wP6qZpz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00K0K_fJWzqrSSOAHz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/01212_jg8Wloei5STz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00404_dOcvu6BDWDuz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00A0A_cJrn3jCoEBnz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00T0T_luV9tohNpo2z_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00a0a_aCudbg91MKEz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00x0x_1uC6lZRZhzFz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00L0L_ciGymDMo18kz_0CI0lM_600x450.jpg', 'https://images.craigslist.org/00606_kbJqDMHkWqKz_0CI0lM_600x450.jpg']",https://niagara.craigslist.org/apa/d/grimsby-townhouse-grimsby-on-the-lake/7517772154.html,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
