documents,poverty,race,class
Included In Rent: -Trash -Water -Gas * Special Features: -Fitness Center -In building laundry -Secure Package Room -Gorgeous Rooftop -Complimentary Wired Internet Reach out to rent today! Natalie DeCero Leasing Agent BJB Properties 224-714-7477 Prices subject to change Pictures are for marketing purposes only and may not reflect actual unit'],nonpoor,aawhite,nonpoor_aawhite
"Unit Features: -New in unit A/C -In Unit Washer / Dryer -New Dishwasher -New Stainless Steel Appliances -New Microwave -Updated Modern Bathrooms with Ceramic Tiles -New Recessed Lighting -Oak Hardwood Floors -New Quartz Countertops -New Kitchen Cabinets -New Range -New Fridge! Assigned parking available for an additional $125.00 a month Easy Access to the Redline, only a short commute to Loyola University! Near Lakeview, Edgewater, Andersonville, Rogers Park, DePaul, Northeastern, Old Town, Lincoln Park, Downtown, South Loop, West Loop and River North! ***Second Month Rent Free + No Deposit for Qualified Applicants signing a 2+Year Lease*** Utility Package Additional $136 per month covers Heat, Water and Trash removal Visit our website at www.6200hoyne.com for more information and similar apartments.']",poor,aawhite,poor_aawhite
"Each apartment has large closets, and thermal pane windows. Heat, hot water, and cooking gas are FREE here making these apartments a great value.', ""Loyola University's main campus is within easy walking distance."", '1234 W. Loyola has a twenty-four hour laundry room and intercom entry. Public transportation is VERY convenient with the CTA Red Line being only one block away. Restaurants and shopping opportunities abound (including a new Target). You will find quaint coffee houses, a movie theatre, parks, and art museums all within the immediate neighborhood. **Special Promotion - First Time Residents Only - NO MOVE IN FEE - with Lease signed by  June 30, 2022** Studio Units.... Available Now ........................................... Rent Starting at $825.00/Monthly', ""These units won't last long so call to make your appointment today."", 'To make an appointment please call Ramo at 773-825-6367  or 773 989 8000 **Photos may not represent actual unit -- they are for advertising purposes only** RENTAL FEATURES - Walk-in closet - Ceiling fans - Intercom system - Controlled access COMMUNITY FEATURES - Laundry on-site - Off-street parking LEASE TERMS * 12 Month Lease **No Security Deposit Required ***$400.00 Administrative Fee (refundable ONLY if denied) ****$75.00 Credit/Criminal Background Check (per person over 18, including ) Managed By: Realty & Mortgage Co. 1509 W. Berwyn Ave., #200 Chicago, IL 60640 P: 773-989-8000 F: 773-989-6979 Equal Opportunity Housing']",poor,aawhite,poor_aawhite
"Weber Rd (Lakewood Falls Plainfield) © craigslist - Map data © OpenStreetMap 3BR / 2.5Ba 1765ft2 available jul 1 air conditioning duplex w/d in unit no smoking attached garage rent period: monthly $2,400 / 3br - 1765ft2 - Duplex ON THE GOLF COURSE Near I55 & Weber Rd (Lakewood Falls Plainfield) © craigslist - Map data © OpenStreetMap 3BR / 2.5Ba 1765ft2 available jul 1 Text James 7087172398 air conditioning duplex w/d in unit no smoking attached garage rent period: monthly $2,400 / 3br - 1765ft2 - 3 Bedroom, 2.5 bath duplex ON THE GOLF COURSE (Lakewood Falls Plainfield I55 & Webber Rd.) © craigslist - Map data © OpenStreetMap 14050 Edgwater Drive near I55 Weber Rd 3BR / 2.5Ba 1765ft2 available jul 1 duplex w/d in unit attached garage rent period: monthly 3 Bedroom, 2.5 bath duplex in Lakewood Falls ON THE GOLF COURSE Complex Plainfield Il.60544 ~ 1765 Aprox Sqft Single Family Duplex ~ On the GOlf Course with Patio ~ New carpeting New Paint ~ Easy Access to Weber/55 via frontage Rd. ~ Washer/Dryer Included in unit ~ No Animals allowed ~ Section 8 Welcome ~ All appliances included Home Owners Association requests back round check ,GREAT COMMUNITY, Fully-equipped kitchen with refrigerator, dishwasher, Central air conditioning Nearby shopping, dining, entertainment Text James 7087172398 for more info Dishwasher Over-the-Range Microwave Fridge Stove Washer/Dryer in Unit Large Walk-in-Closets One Car Garage, Drive Way Parking, & Off Street Parking Text James 7087172398 for more info']",nonpoor,aawhite,nonpoor_aawhite
"Apartment Features: -Quartz Countertops -Oak Cabinets -Hardwood Floors throughout -Ceramic Bathroom Building Features: -On-Site Laundry -On-Site Management and Maintenance This 1 bedroom apartment for rent in Edgewater is great for Loyola Students! Just around the corner from the Bryn Mawr Red/Purple stop, CTA Bus 36, 84, 136 and 147. Blocks away from the beach, parks, restaurants, grocery stores, shopping, coffee shops and banks. Easy access to Downtown Chicago, Loyola University, Uptown, Rogers Park and West Ridge! *2nd month rent free for qualified applicants signing a 2 year lease! Utility package additional $164 covers gas, heat, electricity, water, and trash. Visit our website at www.5633kenmore.com for more information and similar apartments.']",nonpoor,aawhite,nonpoor_aawhite
"2 bedrooms, 1.5 bathrooms. Completely remodeled. Kitchen with stainless steel appliances, granite counters and new cabinets. New bathrooms and flooring. Central air and heating. Lots of closet space. Indoor garage. Large balcony. Large storage unit. Two swimming pools. No pets. School district 214. All utilities included except electricity. Contact: 773.727.2920']",nonpoor,aawhite,nonpoor_aawhite
"Available August 1, my lease goes until April 30 and you can always resign lease $1125/month Huge main living space 15 feet by 14 feet with east facing windows - Hardwood floors throughout - big walk in closet (~4 by 6ft, I have a dresser, bar cart, and all my hanging clothes) - claw foot tub in bathroom - separate kitchen (~12 ft L shape, I have a ton of plants, a bookshelf, and a kitchen table in there) - private back deck (~9ft by 7ft, easily fits 2 chairs and a table) - heat included - window A/C unit that I would be happy to leave for you - other utilities (ComEd and Peoples Gas) usually go $50-55 a month depending on my A/C usage - coin laundry in the basement, directly below the unit ($1.75 a wash) - pet friendly! I truly love this apartment and am sad to be leaving, but have to move for my job. The landlord is really easygoing and the super/maintenance is incredibly responsive -- like within minutes lol The unit is so good for commuting: steps from the Logan Square blue line stop, the Diversey 76, the Milwaukee 56 and Kimball 82 busses all are right around the corner.', ""Walk to the Dill Pickle grocery store, so many good restaurants on Milwaukee Ave, farmer's market in the summer, the Logan Square movie theater, a great park that does lots of fun activities (free yoga on Sundays!), and tons of tree lined streets to walk around."", 'This is a really lovely space that I’ve enjoyed living in and will be sad to leave. Let me know if you have any questions!']",nonpoor,aawhite,nonpoor_aawhite
"ID: 301114388 Rent: $3,490 / Month Beds: 3 Bath: 3 Available Date: 08/01/2022 Pet: Pet Friendly Rent Includes:: Cable, Garbage, Internet, Water Parking: For Rent, Garage, $150 / Month, 1 Spaces Available 8/1! Luxury 3Br 3Ba in gorgeous Horner Park location. Gut Renovation with All New Electric, Plumbing, Insulation, Windows and Water Service plus ALL NEW High End Appliances and Finishes! STUNNING! Amenities Include: - Central AC and Heat. - Free In-Unit Laundry. - Free High Speed Internet! - Garage Parking, $150/space. - 5mins Walk to Francisco Brown Line CTA. - Private Deck is Double Sized!! - All New Top-Line High End Fixtures and Finishes! - Big Bedrooms, Queen Beds Recommended. - Modern Kitchen with Brand New Stainless Steel Appliances. - Quartz Countertops. - Nice common space for BBQ. - Pet Friendly, Dogs Negotiable! Measurements: Living/Dining Combo: 14 x 26 plus 2 bays Kitchen: 7.5 x 10 Bedroom1: 11 x 9 plus bath and closet Bedroom2: 12.5 x 10.5 plus bath and closet Bedroom3: 10.5 x 10 plus closet Plus Huge Double-size Private Deck! *Owner asks 700+ credit scores or cosigner may be needed to lease. The Apartment Source Call or text: 773.404.9900']",nonpoor,aawhite,nonpoor_aawhite
"ID: 299619010 Rent: $3,300 / Month Beds: 4 Bath: 2 Available Date: 07/01/2022 Pet: Pet Friendly Rent Includes:: Water Parking:: off-street parking Gorgeous four bedroom, two bathroom gut rehab featuring: * Hardwood floors * Central heat and air * Fully equipped and updated island kitchen * Granite countertops * Stainless steel appliances * Oversized fridge with ice/water dispenser * Gas oven/range * Built-in microwave * Dishwasher * Separate living and dining room with gas fireplace * Spacious bedrooms * Great closet/storage space * Upgraded bathrooms * Jacuzzi * In-unit laundry * Spacious deck * Great West Town location near shopping, nightlife, transportation, and more! CALL OR TEXT Patrick 708.902.2266 @markey_real_estate @apartmentsource The Apartment Source Call or text: 773.404.9900']",nonpoor,aawhite,nonpoor_aawhite
"Visit our website to view videos of our available apartments or call now to schedule a virtual tour! All you need is an internet connection."" Call 312-428-4861 today to schedule a tour! Now leasing 1 Bedroom $1075 (525 sqft) -Section 8 OK Location: near State and Torrence in Calumet City (60409) Rental includes: Balcony, Porch, Free Heat, Eat-In Kitchen and Dining Room The building offers: Parking (fee required) and On-site Laundry Facility', ""Here's a little info about your new neighborhood nearby Grocery Stores: City Food Market, All Foods, Burnham Pantry, and Sibley Discount."", 'Like what you see? We have plenty of units available in Chicago, Park Forest, Sauk Village, West Austin, Maywood, Broadview, and many more. **NOTE** If replying by email please remember to include your phone # and/or email address in your response so we can follow up with you directly. ***Please note that photos are a representation of a model apartment and may not be pictures of the actual unit. ""Pangea is an Equal Housing Opportunity provider"". Call 312-428-4861 to schedule a tour! “Pangea Real Estate practices on-going dynamic pricing for all operated units. Unit promotions, discounts, and monthly rent quotes are subject to change based on day of month, current inventory, and additional market factors.  As such, any promotions, discounts, or monthly rent quotes are valid only at the time presented to a prospective tenant and can expire anytime thereafter.” ID: c1677sta']",nonpoor,black,nonpoor_black
