post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,repost_dates,available,housing_type,bedrooms,bathrooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url
7501886240,"Eyeware at The Vantage, Intercoms, Sauna and Whirlpool Spa",2028,"27040 Cedar Road, Beachwood, OH",27040 Cedar Road,27040 Cedar Road,41.4701,-81.5232,5,2022-06-27 14:08,2022-07-27 01:31,[],2022-06-27,apartment,2,2.0,laundry on site,off-street parking,1095,NA,daily,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Life at The Vantage is like nothing else in northeastern Ohio!', 'Our resort-like apartment community is ideally located a short drive from downtown Cleveland and just off I-271, making it getting around the Cleveland area easy.', 'Convenience is key at The Vantage, with Beachwood Place shopping mall located directly across the street and the Cleveland Clinic just minutes away.', 'Property Amenities:', 'Gated Community with Controlled Access', 'Intercoms', 'Eyeware at The Vantage', 'Pilates Studio', 'Recreational Areas', 'Heated Underground Walkways', 'Sauna and Whirlpool Spa', 'Clubhouse and Monthly Resident Events', 'Swerve Grille', 'Anthea Spa', 'Indoor and Outdoor Pool', 'The Hair Loft', 'Call Us Today!', 'show contact info', 'For more information, visit us at: <URL>', '*Pricing and availability are subject to change daily.', 'Photos may not be of your exact home.', 'Please contact us today for the most up to date information!', 'Professionally managed by GoldOller Real Estate Investments, a provider of Fair Housing and Equal Opportunity.']","['https://images.craigslist.org/00F0F_hJMcHK0OTuTz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00y0y_lsXFUBq26oZz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00B0B_h1kJLwLNFAYz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00U0U_vaytE10qaLz_0hK0qC_600x450.jpg', 'https://images.craigslist.org/00505_KeQKPfUWlez_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00m0m_d5YjGxQaPanz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00J0J_dLn6M888qB1z_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00j0j_a08OlhknoKez_0hK0mb_600x450.jpg', 'https://images.craigslist.org/00G0G_5dM2XGrdT4pz_0bi074_600x450.jpg', 'https://images.craigslist.org/00H0H_5WXkD37WrESz_0oc0oj_600x450.jpg']",https://cleveland.craigslist.org/apa/d/beachwood-eyeware-at-the-vantage/7501886240.html
7511665344,2 bedroom 2 bathroom,1089,"2201 W. 93rd Street, Cleveland, OH",2201 W. 93rd Street,2201 W. 93rd Street,41.4735,-81.7398,5,2022-07-21 15:06,NA,[],2022-08-01,loft,2,2.0,w/d hookups,off-street parking,1063,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"[""Once Ohio's largest high school, now one of Cleveland's most innovative apartment communities, The Brick Lofts at Historic West Tech High is a must see."", 'It is a beautiful building with exceptional architecture and construction qualities, unique loft-style apartment floor plans, and superior amenities.', 'Come experience the new stylish, and sophisticated look of the former West Tech High School.', 'Beautifully planned suites with a variety of 1, 2 & 3 bedroom apartment floor plans are available for you to call home.', 'You will find yourself living a lifestyle that fits your needs.', 'Constructed in 1912, the $32 million conversion of the West Tech High School into the West Tech Lofts in 2003- 2004, preserved the architecture, charm and character of the school; even the lockers adorn the corridors.', 'Superior and modern amenities in both the common areas and the private residences, compliment this one of a kind renovation.', 'Outstanding community amenities include garage parking, an exceptional fitness center, spacious game room, laundry center, and a community room created from the original high school auditorium, and off-street or garage parking.', ""Just seconds from the I-90 freeway and just minutes from Downtown Cleveland, Lakewood, Ohio City and Tremont; The Brick Lofts at Historic West Tech High are centrally located in the heart of one of Cleveland's historic neighborhoods."", 'Let your home reflect your passion for design with a story.', 'See yourself in our Cudell Cleveland apartments.', '-Elevator', '-Courtyard', '-Ceiling Fan', '-Carpeting', '-Historic Building', '-Electronic Thermostat', '-BBQ/Picnic Area', '-Refrigerator', '-Cable Ready', '-Microwave', '-Fitness Center', '-Disposal', 'Call:', 'show contact info', 'Monday: 9AM-6PM', 'Tuesday: 9AM-6PM', 'Wednesday: 9AM-6PM', 'Thursday: 9AM-6PM', 'Friday: 10AM-3PM', '2201 W. 93rd Street, Cleveland, OH 44102', 'For more information, visit us at: <URL>', 'Equal Housing Opportunity.', 'Specials are based on availability and may expire or change at any time.', 'Specials and discounts may not be combined.', 'Rates are subject to change without advance notice.']","['https://images.craigslist.org/00F0F_cEGqS7gOeFez_0c2092_600x450.jpg', 'https://images.craigslist.org/00Q0Q_TYQ1sB2CbEz_0c2092_600x450.jpg', 'https://images.craigslist.org/00D0D_d2CYyIQIKtRz_0c2092_600x450.jpg', 'https://images.craigslist.org/00P0P_3KZ3z0AyRS6z_0c2092_600x450.jpg', 'https://images.craigslist.org/00w0w_gUq0csQXrkvz_0c2092_600x450.jpg', 'https://images.craigslist.org/00C0C_6R2GlTxGReRz_0cU09n_600x450.jpg', 'https://images.craigslist.org/00c0c_6s69dZngRvAz_0cT08f_600x450.jpg', 'https://images.craigslist.org/01313_l3nwkQ5V9imz_0cU08z_600x450.jpg', 'https://images.craigslist.org/00303_etpTo0yyZVmz_0cR08q_600x450.jpg', 'https://images.craigslist.org/00A0A_jN5huOPbwRcz_0cS08d_600x450.jpg', 'https://images.craigslist.org/00707_gbW2Dz07qIbz_0a507z_600x450.jpg', 'https://images.craigslist.org/00U0U_65wmdqgQNmRz_0cU08C_600x450.jpg']",https://cleveland.craigslist.org/apa/d/cleveland-bedroom-bathroom/7511665344.html
7383370957,Bellecliff - 1 Bedroom $900 - Pet Friendly,900,NA,NA,NA,41.4847,-81.8018,22,2022-08-01 13:27,NA,['2022-08-01 13:27'],NA,apartment,1,1.0,laundry in bldg,off-street parking,NA,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['The Bellecliff Building is located at 14530 Clifton Boulevard in Lakewood across the street from Lakewood Park.', 'Minutes from Downtown Lakewood, bars, and restaurants.', '15 minutes from Downtown Cleveland, Rock Hall, Browns Stadium, and Battery Park.', '1 Bedroom Info', 'https://youtu.be/2hh0UiU5uAI', 'Rent is $900', '* Photos/videos may be of other units in the building, not the available unit.', 'Features', 'Tenant responsible for electric', 'Landlord pays for heat, water, sewer, trash', 'Laundry in building', 'Air conditioning', 'Secure entry', 'Parking (first come) lot available', 'Parking garage subject to availability', 'Pet Policy: This location accepts cats & dogs, 25 pound weight limit.', '2 pets per unit, $25/pet/month, no pet deposit.', 'Application Process', 'The non refundable application fee is $35 for the first application and $5 for any additional applications, anyone 18 or over who intends to reside in the apartment must submit an application.', 'We accept cash, check, money order, and debit card.', ""Applications must be filled out in their entirety and submitted with photo ID and proof of income (last 4 weeks/last 2-4 pay stubs from current job, or if self employed last 3 months of bank statements showing deposits, or if receiving social security this year's letter)."", 'Please call', 'show contact info', 'to schedule a tour or for an application.', 'We have several properties in the neighborhood, at AIY Properties we are confident that we have an apartment that fits your budget and preferences.', 'Please contact us at', 'show contact info', 'or <URL>.']","['https://images.craigslist.org/00S0S_8yiAE6MFOhFz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00Q0Q_kRqa3Dcrd1vz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00S0S_8U7I8yVMx0cz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00z0z_jQAnJ4C3BAKz_0MM132_600x450.jpg', 'https://images.craigslist.org/00S0S_6rx3uSewKUNz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/00e0e_331h4d67VsXz_0gw0oK_600x450.jpg', 'https://images.craigslist.org/01414_kMjylsNmKawz_0MM132_600x450.jpg', 'https://images.craigslist.org/00F0F_1GHlhWfJckRz_0gw0bd_600x450.jpg']",https://cleveland.craigslist.org/apa/d/lakewood-bellecliff-bedroom-pet-friendly/7516024253.html
7514010435,"Detached Garages, Gas Range, Covered Parking",599,"5999 Bear Creek Drive, Bedford Heights, OH",5999 Bear Creek Drive,5999 Bear Creek Drive,41.3921,-81.5232,5,2022-07-27 12:06,NA,[],2022-07-27,apartment,1,1.0,laundry on site,carport,630,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['Columbus Park Apartments provides an affordable selection of Spacious 1, 2, & 3 bedroom apartments tucked away in Bedford Heights, Ohio.', 'Life at Columbus Park Apartments is carefree and convenient.', 'Our landscaped grounds offer plenty of options for you, your family, and your pets to enjoy the fresh air.', 'We offer several convenient parking options such as detached garages and covered parking.', 'We are proud to be one of the few, and best, pet-friendly apartments in the Bedford Heights area.', 'Take your furry friends to our fenced-in Bark Park so they can run around and socialize with other residents.', 'Having a safe and secure playground for your pets is just one of the many convenient amenities we offer.', 'View our full list of apartment amenities and see why our residents love living here.', 'Our community location is set back in a cul-de-sac near Tinker’s Creek.', 'You can also look forward to the many enjoyable attractions that make living at Columbus Park the place to be such as Bedford City School District, close proximity to the Bedford Reservation and Jack Thistledown Racino, as well as several shops and dining in Historic Downtown Bedford.', '-Private Balcony', '-Additional Storage', '-1, 2 & 3 Bedroom Apartments', '-Quiet Cul-De-Sac Location', '-Playground', '-Central Air Conditioning', '-On-Site Management', '-Dishwasher', '-Mini and Vertical Blinds', '-Flex Rent Payments', '-Covered Parking', '-Detached Garages', 'Call:', 'show contact info', 'Monday-Friday: 09:00 AM-06:00 PM', 'Saturday: 10:00 AM-03:00 PM', '5999 Bear Creek Drive, Bedford Heights, OH 44146', 'For more information, visit us at: <URL>', 'Equal Housing Opportunity.', 'Specials are based on availability and may expire or change at any time.', 'Specials and discounts may not be combined.', 'Rates are subject to change without advance notice.']","['https://images.craigslist.org/00b0b_drz1oUZkL1vz_0c2092_600x450.jpg', 'https://images.craigslist.org/00F0F_57JwV3RXwi7z_0c2092_600x450.jpg', 'https://images.craigslist.org/00K0K_54lT51kXOufz_0c2092_600x450.jpg', 'https://images.craigslist.org/00T0T_kJvd3zYFC9Uz_0c2092_600x450.jpg', 'https://images.craigslist.org/00101_fBTBMJPRPDlz_0c2092_600x450.jpg', 'https://images.craigslist.org/01717_lC32pkb1oTsz_0c2092_600x450.jpg', 'https://images.craigslist.org/00C0C_hwyp6eoevKez_0c2092_600x450.jpg', 'https://images.craigslist.org/00m0m_e7HUmxGmyqJz_0c2092_600x450.jpg', 'https://images.craigslist.org/00J0J_iaxnyafTjEiz_0cU0aU_600x450.jpg']",https://cleveland.craigslist.org/apa/d/bedford-detached-garages-gas-range/7514010435.html
7509918745,Beautiful Shaker Hts Upper,1300,Shaker Heights,NA,NA,41.4701,-81.5232,22,2022-07-17 12:55,2022-07-17 18:17,[],2022-08-01,apartment,3,2.0,laundry in bldg,detached garage,1800,NA,monthly,NA,NA,True,True,True,NA,NA,True,NA,"['Apartment living in a beautiful brick home!', '3 bedrooms and 2 full bathrooms.', 'Second floor has large living room with cove ceiling, dining room with built-in corner cabinets, family room leading to private porch, one bedroom/office, bathroom with cast iron tub/shower and large updated kitchen with granite counters, travertine backsplash, dishwasher, stove, fridge and pantry.', 'Third floor has two additional bedrooms, full bath with claw-footed tub and cedar storage closet.', 'Basement washer and dryer for each unit plus laundry shoot and ample storage rooms.', 'Two garage spaces with automatic openers.', 'Snow removal and lawn maintenance included.', 'Quiet neighborhood with great neighbors.', 'Close to Rapid and highways.', 'Credit report required with completed application.', 'One month security deposit.', 'No section 8.']","['https://images.craigslist.org/00J0J_6X56gBkpz5Sz_0cc0gg_600x450.jpg', 'https://images.craigslist.org/00s0s_46xqtxtJDLiz_0hC0bJ_600x450.jpg', 'https://images.craigslist.org/00r0r_bzVhd8JUUvIz_0d109L_600x450.jpg', 'https://images.craigslist.org/00B0B_gAE0TAXDvWFz_0bJ0hC_600x450.jpg', 'https://images.craigslist.org/00404_dbzqSFHVUPHz_0bJ0hC_600x450.jpg', 'https://images.craigslist.org/00u0u_9pDXnR5JXWPz_0ax07U_600x450.jpg', 'https://images.craigslist.org/00H0H_gYVhwE5wW1uz_0hC0bJ_600x450.jpg', 'https://images.craigslist.org/00505_8C71l0jp0Ppz_0hC0bJ_600x450.jpg', 'https://images.craigslist.org/01717_i16dl93onuIz_0d109L_600x450.jpg', 'https://images.craigslist.org/00H0H_b0IUJGqwr1gz_0cc0gg_600x450.jpg']",https://cleveland.craigslist.org/apa/d/beachwood-beautiful-shaker-hts-upper/7509918745.html
4798906469,1 Bedroom Apartments - Welcome Home :),695,"Old Brooklyn, Off of Broadview Rd",1907 Pleasantdale Rd,1907 Pleasantdale Rd,41.422375,-81.69509,10,2022-06-27 11:04,2022-07-05 12:30,['2022-06-27 11:04'],2022-08-31,apartment,1,1.0,laundry in bldg,off-street parking,500,NA,monthly,"$35 for the 1st app, $5 for additional",NA,True,NA,NA,True,NA,NA,NA,"['Broadview Gardens Apartments', '1907 Pleasantdale Rd #4', 'Cleveland, Ohio 44109', 'Welcome to Broadview Gardens Apartments, a place where you can call home.', 'Close to many freeway access points including I-176 & I-480!', ' There is ample free parking and we are also on the 51 bus line.', ' We provide secured entry and intercoms.', 'You will also find a reliable laundry facility and extra storage units in each building for your convenience.', 'Some of our many other features include:', '24 hour emergency maintenance', 'Sunny corner suites', 'Resident referral program', 'Convenient office hours', 'Playground', 'Park like setting', 'Picnic areas', 'Charcoal Grills', 'Newer double pane windows', 'Intercom system', 'Programmable thermostat', 'Free WiFi provided by the community of Old Brooklyn', 'Laundry room on 1st floor of every building', 'Storage lockers available on first floor of every building for additional fee of $10 a month', 'Tenant pays gas and electricity.', 'Landlord pays water/sewer, garbage removal and snow removal.', 'Specials & Discounts available:', '$100, or 1/2 Deposit possible!', '*Pending credit approval', 'Pet Policy:', 'We happily accept cats at this location.', 'Unfortunately, NO DOGS.', ' No security deposit!', 'Just a $25 monthly cat rent :)', 'Our Office Hours:', 'Monday-Friday: 8:00 am-5:00 pm', 'Saturday: 10:00 am - 4:00 pm', 'Sunday: Closed', 'Please contact us at', 'show contact info', 'at the leasing office for more information or to receive a virtual tour :)']","['https://images.craigslist.org/00D0D_bLYO9Dg79Njz_0fu0kE_600x450.jpg', 'https://images.craigslist.org/00e0e_9XuFOgqtH7az_0fu0kE_600x450.jpg', 'https://images.craigslist.org/00i0i_9x70o3fGSIIz_0fu0kE_600x450.jpg', 'https://images.craigslist.org/00G0G_9wCuvrO8Tdz_0fu0kE_600x450.jpg', 'https://images.craigslist.org/00E0E_6XOUneuY6d1z_0fu0kE_600x450.jpg']",https://cleveland.craigslist.org/apa/d/cleveland-bedroom-apartments-welcome/7501783313.html
7502037148,"The Hair Loft, Swerve Grille, Gated Community with Controlled Access",1873,"27040 Cedar Road, Beachwood, OH",27040 Cedar Road,27040 Cedar Road,41.4701,-81.5232,5,2022-06-27 19:20,2022-07-27 18:30,[],2022-06-27,apartment,2,2.0,laundry on site,off-street parking,1100,NA,daily,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Life at The Vantage is like nothing else in northeastern Ohio!', 'Our resort-like apartment community is ideally located a short drive from downtown Cleveland and just off I-271, making it getting around the Cleveland area easy.', 'Convenience is key at The Vantage, with Beachwood Place shopping mall located directly across the street and the Cleveland Clinic just minutes away.', 'Property Amenities:', 'Clubhouse and Monthly Resident Events', 'Sauna and Whirlpool Spa', 'Gated Community with Controlled Access', 'Swerve Grille', 'Eyeware at The Vantage', 'Anthea Spa', 'Recreational Areas', 'Indoor and Outdoor Pool', 'The Hair Loft', 'Public Transportation Available', 'Pilates Studio', 'Intercoms', 'Call Us Today!', 'show contact info', 'For more information, visit us at: <URL>', '*Pricing and availability are subject to change daily.', 'Photos may not be of your exact home.', 'Please contact us today for the most up to date information!', 'Professionally managed by GoldOller Real Estate Investments, a provider of Fair Housing and Equal Opportunity.']","['https://images.craigslist.org/00O0O_etFugKaPHXz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00F0F_TOTiBmHkbMz_0gw0b1_600x450.jpg', 'https://images.craigslist.org/01717_8eMRv57Ubqcz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00P0P_g22mfdO9Qozz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00g0g_1aWcSGcSZErz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00l0l_bAjuEQSCwf5z_0hK0bP_600x450.jpg', 'https://images.craigslist.org/01111_2bK5GHaE8Inz_0hK0bP_600x450.jpg', 'https://images.craigslist.org/00y0y_gWVI0KsHyqyz_0hK0mb_600x450.jpg', 'https://images.craigslist.org/00000_iL0KAf4gHzJz_0bi08u_600x450.jpg', 'https://images.craigslist.org/00t0t_3GHcBmyitZXz_0oc0oj_600x450.jpg']",https://cleveland.craigslist.org/apa/d/beachwood-the-hair-loft-swerve-grille/7502037148.html
7513074144,3 bedroom one bathroom apartment,800,NA,NA,NA,41.5157,-81.6405,22,2022-07-25 08:59,NA,[],NA,apartment,3,1.0,no laundry on site,off-street parking,NA,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['3 bedroom', '1 bathroom', 'Apartment on lower level', 'Recently updated', 'Must see not accepting vouchers at this time', 'show contact info']","['https://images.craigslist.org/00N0N_9rq1wBR0GVwz_0dq0t2_600x450.jpg', 'https://images.craigslist.org/00L0L_er56kVZGJQSz_0co0gw_600x450.jpg', 'https://images.craigslist.org/00N0N_BXp9hMmK6bz_0co0gw_600x450.jpg', 'https://images.craigslist.org/00n0n_8LUmtS07L8Lz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00B0B_fk9wqQH8OeDz_0co0gw_600x450.jpg', 'https://images.craigslist.org/00N0N_2zyEjXKSZGoz_0co0gw_600x450.jpg', 'https://images.craigslist.org/01515_lNhqcHliI6Dz_0co0gw_600x450.jpg', 'https://images.craigslist.org/00x0x_a8fHlqYaUHFz_0co0gw_600x450.jpg']",https://cleveland.craigslist.org/apa/d/cleveland-bedroom-one-bathroom-apartment/7513074144.html
7514772475,Spacious in Walking neighborhood near CCF and UH Hospitals,1195,Coventry Village of Cleveland Heights,Lancashire Rd near COVENTRY RD,Lancashire Rd ,41.509471,-81.580524,5,2022-07-29 10:05,2022-07-31 18:38,[],2022-08-01,apartment,2,1.0,laundry on site,off-street parking,NA,NA,monthly,NA,NA,True,True,NA,NA,NA,NA,NA,"['Perfect location for living, shopping, and working at the nearby hospitals or Universities.', 'Prime building in a prime location with old world charm found in a brownstone walk-up.', 'Spacious two bedroom suite has hardwood floors throughout with high ceilings.', 'Bath is marble from floor to ceiling.', 'Dining room has charming built-in corner cabinets.', 'Living room has decorative brick fireplace.', 'Eat-in kitchen has nice cabinetry, granite countertops, dishwasher, and disposal.', 'Charming archway between dining and living room provides open floor plan.', 'Ceiling fans in the living room, dining room, and bedroom provide for great circulation.', 'Living room and Dining rooms have great storage closets.', 'New windows for energy efficiency and sound barriers.', 'Conveniently located close to the common laundry facility on-site.', ' Off-street parking available.', 'Located in the Heart of Coventry Village -  a convenient walking neighborhood.', 'Literally a few second walk  to groceries, banks, library, coffee shop (free wi-fi), sports bars, sandwich shops, pizza shop, frozen yogurt parlor, video store, yoga studio, hair salon, drycleaners, bookstore, drug store, music store, nostalgic toy store, hardware store, clothing store, flower shop, sports bar, clubs with live music, 21 restaurants including outdoor dining, and the Peace Park.', 'Close to the Cleveland Clinic Foundation, Lerner College of Medicine, Case Medical School,  Case Dental School, Huron Road Hospital, VA Hospital, Metro General Hospital, Hillcrest Hospital, Ahuja Hospital and University Hospital.', ' On the loop of Case Western Reserve University, near Case Law School, Cleveland State University, and John Carroll University.', 'Call 216 536-64O5 (no random texts, please) for more information or to schedule an appointment.', 'If replying to this ad via email, please provide your name and phone number.', ' Thank you']","['https://images.craigslist.org/00N0N_1dUQXaFELS6z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00H0H_enOQEQxlsX5z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00000_hNBTpGuaZ3bz_0ak07K_600x450.jpg', 'https://images.craigslist.org/00Q0Q_7isTFRj8Hq7z_0t20CI_600x450.jpg', 'https://images.craigslist.org/00Z0Z_1FZv2dylGREz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00909_5LsGIMSN9cYz_0oc0i9_600x450.jpg', 'https://images.craigslist.org/00M0M_k7woKBWmtD2z_0ak07K_600x450.jpg', 'https://images.craigslist.org/00e0e_870UdaVHAidz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00P0P_fOy1yB24Rrlz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00Y0Y_8WJa3O2WhJaz_0ak07K_600x450.jpg']",https://cleveland.craigslist.org/apa/d/cleveland-spacious-in-walking/7514772475.html
7501210158,4Bd 3Ba Spacious home for rent!,1400,NA,NA,NA,41.5234,-81.5996,22,2022-06-25 17:15,2022-07-02 19:31,[],NA,house,4,3.0,w/d in unit,attached garage,NA,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['This stately home has 4 furnished bedrooms, 3 baths and well-appointed kitchen allow you to set up home from the day you move in.', 'The home boasts of a backyard paradise; a place where you can take all your parties in warmer weather.', 'Call or text', 'show contact info', 'us by clicking the reply button.', 'Please respond with your primary email and phone number.']",NA,https://cleveland.craigslist.org/apa/d/cleveland-4bd-3ba-spacious-home-for-rent/7501210158.html
