post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,repost_dates,available,housing_type,bedrooms,bathrooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url
7519307539,Beautiful 1 Bedroom In Stuyvesant Height No FEE,3499,Bedford Stuyvesant / Clinton Hill / Bushwick,NA,NA,40.68101,-73.92973,5,2022-08-09 13:55,NA,[],NA,condo,1,1.0,NA,NA,NA,NA,NA,NA,No-Fee Apartment,True,True,NA,NA,NA,NA,NA,"['Beautiful ONE BEDroom In Stuyvesant Height', 'No FEE', 'Listing ID #: 464301', 'Price: $3,499', 'Property Type: Condo', 'Bedrooms: 1.0', 'Bathrooms: 1.0', 'Pets: Pets OK', 'Apartment Amenities', 'Hardwood', 'Light', 'NO FEE', 'Renovated', 'Stainless Steel Appliances', 'Microwave', 'This converted schoolhouse, built in 1922 is a great blend of vintage character and modernism at it’s best.', 'Throughout the property you will find high ceilings, gorgeous hardwood floors, modern finishes, and streaming natural light.', 'To add to its allure, amenities in this well-maintained historical building include a library, fitness center, yoga room, sauna, parking lot, doorman, laundry room, outdoor spaces, and more.', 'Dishwasher -Open living room -10', 'Feet tall ceilings - Central AC/ Heating -Natural light Building features: -Pets Allowed -Package Room -Courtyard -Laundry', 'Room -Lounge -Sauna -Bike Room -Outdoor Area -Garage parking ($250 per month )', '-Fitness Center w/ Sauna room Steps from the A and C trains and in close proximity to CTown Supermarkets, Fulton Park, and some of the City’s best restaurants and boutique shops.', 'Call Or TXT Alex at 347-776-9788 pictures might not be of specific unit', 'To view, call or text Alexander Shakhmoroff at 347-776-9788']","['https://images.craigslist.org/00T0T_gSzc2scYmCz_0fp0bG_600x450.jpg', 'https://images.craigslist.org/00P0P_hkIuW9q0vmYz_0fn0bK_600x450.jpg', 'https://images.craigslist.org/00e0e_3wlOdeZeN73z_0fh0bA_600x450.jpg', 'https://images.craigslist.org/00s0s_h6WIXA6zMccz_0jm0ag_600x450.jpg', 'https://images.craigslist.org/00Y0Y_6hO9rtjcFBZz_0jm0az_600x450.jpg', 'https://images.craigslist.org/00d0d_lmcHCON5ubzz_0jm0ai_600x450.jpg', 'https://images.craigslist.org/00h0h_i296pN0543vz_0hi0bJ_600x450.jpg', 'https://images.craigslist.org/00505_3FfHtZbxTdzz_0hn0bB_600x450.jpg', 'https://images.craigslist.org/00h0h_9FbGAttGvgaz_0hf0bN_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-bedroom-in/7519307539.html
7514204153,BREATHTAKING APT IN PRIME CROWN HEIGHTS! 3 & 4 TRAIN. ST JOHNS PARK!!!,3100,NA,1300 Sterling pl near Troy Ave,1300 Sterling pl ,40.671728,-73.935553,10,2022-07-28 17:12,2022-08-01 13:48,['2022-07-28 17:12'],NA,apartment,3,1.0,no laundry on site,street parking,NA,NA,monthly,NA,NA,True,True,NA,NA,NA,True,NA,"['Spacious 3 bedroom apartment in prime Crown Heights!!', 'A MUST SEE!!', 'Virtual tour available.', 'Call/Text me to set up a showing', 'Shmuel #917-960-6536', 'Features:', '-Modern kitchen with all new stainless steel appliances including dishwasher', '-Hardwood floors', '-Lots of natural light', '-Virtual doorman', 'Location, Location, Location!!', 'Just half hour from the city with the 3 & 4 train.', ""Around the corner from St John's Park, Mozzarella, Jemz, Pj, New heights, Bouef & Bun, Utica Ave Convenient stores,"", 'Blink fitness and more!!', 'MUST HAVE GOOD CREDIT AND INCOME', 'Guarantors welcome', 'No broker fee', 'P.S.', ""If this apartment doesn't suit your needs, we have hundreds of more apartments to show you, don't hesitate to call!""]","['https://images.craigslist.org/00I0I_2es2gczE1Ycz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00A0A_eP2pubLrfOtz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00m0m_3NboU0SNM4tz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00F0F_18SYtnmEddKz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00j0j_rAw9MbEoEhz_0CI0t2_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-breathtaking-apt-in-prime/7514574670.html
7167335194,"🌼 Beautiful Luxury 1bd/1Bath 🌼Great price, Great location",2995,bedford-Stuyvesant,DeKalb Ave near Broadway,DeKalb Ave ,40.693752,-73.930189,5,2022-07-25 21:38,2022-08-03 23:23,['2022-07-25 21:38'],2022-08-03,apartment,1,1.0,w/d in unit,street parking,NA,NA,monthly,NA,NA,True,True,NA,NA,NA,True,NA,"['*Open House By Appointment Only*', '—-VIDEO TOUR AVAILABLE!!!', '——', '-- 1110 De Kalb Avenue, Brooklyn --', 'Video: <URL>', 'Located in the tree-lined Stuyvesant Heights historic district, distinguished by Its intimate small-town vibe, and neighborly hospitality.', 'Proudly presenting – 1110 De Kalb Avenue, is a brand-new luxury, modern, elevator 29-unit comprising generously proportioned one-bedroom/ Studio, most of which feature private outdoor space.', 'Each unit is configured with an open plan, beautiful tile flooring thought out, custom natural windows, recessed lighting, central heating, and air conditioning,', 'heated bathroom floor', 'The sun-splashed living room is large enough to accommodate separate living and dining areas, with room for a desk or peloton to enjoy your daily routine.', 'The open kitchen features glistening quartz countertops and backsplash, gorgeous custom shaker cabinetry, overhead, and additional shelving underneath, and mosaic-tiled lined floor', ', all perfectly juxtaposed with a full stainless steel appliance package along with a gooseneck faucet.', 'As a bonus, a washer and dryer in unit', 'Enjoy waking up to a picturesque neighborhood through the oversized windows from the bedrooms, generous closet space is a plus, and the bathrooms feature tasteful terrazzo flooring paired with white ceramic subway tiles and stunning brass fixtures.', 'Who wouldn’t like a common outdoor space at your doorstep?', 'The building also features a beautiful wrapped – around 360 degrees common roof deck that showcases charming Brooklyn and Manhattan views.', 'Among the city’s most well-preserved collections of 19th-century row houses, Stuyvesant Heights is one of the major stops on Brooklyn’s brownstone belt.', 'Dazzling architecture, neighborhood pride, and a thriving cultural scene.', 'Enjoying this peaceful city offers endless options from shopping to dining out, including but not limited to The Buren, Cup of Brooklyn, Howard Marketplace, Sunrise/Sunset, Wonderville, The Wilky, Bayou, BKLYN Blend, Santa Panza, Fat Doughnut, Familiars Vegan, Toad Style, The Broadway, L’Antagoniste, Trad Room, Casa Blanca, Chez Alex Bakery, BK Bagels, Mama Fox, Amayasana Yoga, Blink Fitness, Metro Cake, Boca Santa, & The Juice Box.', 'And, easy commuting via the J and Z trains is just minutes away.', '🔥Call/Text', 'Any time: (516)787-9128 Roi', '🔥Call/Text', 'Any time: (516)787-9128 Roi']","['https://images.craigslist.org/00Z0Z_gYKqbTjP9bhz_0x20m8_600x450.jpg', 'https://images.craigslist.org/00m0m_9xt1Zh3InyQz_0x20m3_600x450.jpg', 'https://images.craigslist.org/01313_jvxulIaCQ9pz_0x20m5_600x450.jpg', 'https://images.craigslist.org/00r0r_3AEfgIFwPKKz_0v70kM_600x450.jpg', 'https://images.craigslist.org/00L0L_a4gS21svcCmz_0v40kJ_600x450.jpg', 'https://images.craigslist.org/00j0j_1JW3wYtPGiwz_0x20m0_600x450.jpg', 'https://images.craigslist.org/00v0v_dW5OBP49rNez_0vc0kM_600x450.jpg', 'https://images.craigslist.org/00a0a_3TujGjZLqAXz_0v70kO_600x450.jpg', 'https://images.craigslist.org/00j0j_9oPpNTfsV4tz_0v60kQ_600x450.jpg', 'https://images.craigslist.org/00n0n_kEpC1izqtFUz_0v60kI_600x450.jpg', 'https://images.craigslist.org/00A0A_hJF5781GNB0z_0uY0kH_600x450.jpg', 'https://images.craigslist.org/01717_2MFFD5hx15rz_0mr0t2_600x450.jpg', 'https://images.craigslist.org/00303_8GYe2er8Jfvz_0v00kL_600x450.jpg', 'https://images.craigslist.org/00M0M_gADrzXlQayQz_0vd0kO_600x450.jpg', 'https://images.craigslist.org/00D0D_6fwpYgMDb2Vz_0vj0kY_600x450.jpg', 'https://images.craigslist.org/00c0c_wzru6fCZOWz_0v10kJ_600x450.jpg', 'https://images.craigslist.org/01515_hDRxpaeLZRbz_0v50kK_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-luxury-1bd-1bath/7513420733.html
7518613685,1 bedroom 1 bath plus office Staten Island lamberts lane,1550,Staten Island,Lamberts lane near Staten Island,Lamberts lane ,40.6039,-74.1472,22,2022-08-07 19:36,2022-08-07 19:36,[],NA,apartment,1,1.0,no laundry on site,street parking,800,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,['1 bedroom 1 bath fully renovated updated kitchen and appliances nice size room call for details 3475465688'],"['https://images.craigslist.org/00x0x_d4ECtpqZxYSz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00707_aWXwNCxnjSEz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00n0n_7alR8smOserz_0t20CI_600x450.jpg', 'https://images.craigslist.org/01212_62EfADGFgKUz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00a0a_4ZtgCjswPLzz_0t20CI_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/staten-island-bedroom-bath-plus-office/7518613685.html
7509126810,Stunning New Luxury 2 Bed in Prime Bushwick!,4300,Bushwick,Knickerbocker Ave. near Willoughby Ave.,Knickerbocker Ave. ,40.702388,-73.924636,15,2022-07-28 11:56,2022-08-03 11:09,['2022-07-28 11:56'],2022-09-01,apartment,2,1.0,laundry in bldg,off-street parking,NA,NA,monthly,$10 Application Fee,$2150,True,True,NA,NA,NA,True,NA,"['Available September 1st!', 'This 2 Bed/1 Bath boasts walls of windows an excellent layout.', 'Located in the heart of Bushwick, right across the street from Maria Herandez Park and near tons of restaurants, bars, cafes, and shopping.', 'Building features an elevator, gym, laundry, package room, bike storage, private parking and roof top with surreal views of Manhattan and Brooklyn.', 'AMENITIES:', '• Central A/C', '• High Ceilings', '• Hardwood Floors', '• Video Intercom', '• Elevator', '• Natural Light in Living Area', '• Laundry in building', '• Bike storage', '• Gym', '• Wheelchair Accessible', '• Private parking', '• Office space', '• Shared workspace', '• Outdoor Space', '• Common courtyard', '• Roof access', '• Stainless Steel Appliances', '• Dishwasher', '• Stone countertops', '• Skyline view']","['https://images.craigslist.org/01212_69Yn4nkPYlyz_0uY0hq_600x450.jpg', 'https://images.craigslist.org/01616_dn1jOQyINgLz_0uY0hq_600x450.jpg', 'https://images.craigslist.org/00y0y_2qkmxGzQlVYz_0uY0hq_600x450.jpg', 'https://images.craigslist.org/00J0J_304KzHgLfQsz_0uY0hq_600x450.jpg', 'https://images.craigslist.org/00w0w_9ZWpgHfwRLsz_0uY0hq_600x450.jpg', 'https://images.craigslist.org/00101_gfnGqCDx4siz_0uY0hq_600x450.jpg', 'https://images.craigslist.org/00y0y_bB9A8X2PTZyz_0uY0hq_600x450.jpg', 'https://images.craigslist.org/00S0S_7LSAaqFVg0Az_0uY0hq_600x450.jpg', 'https://images.craigslist.org/00B0B_8UwbydeMQo4z_0uY0hq_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-new-luxury-bed-in/7514420605.html
7519263062,**LUXURY 1 BED *** PET FRIENDLY ** 30 SEC TO TRAIN *** RENOVATED,2450,Astoria,31-72 31st Street,31-72 31st Street,40.762466,-73.92501,5,2022-08-09 12:29,NA,[],NA,apartment,1,1.0,NA,NA,NA,NA,NA,NA,Broker Fee Apartment,True,True,NA,NA,NA,NA,NA,"['**LUXURY 1 BED *** PET FRIENDLY ** 30 SEC TO TRAIN *** RENOVATED', 'Listing ID #: 213122', 'Address: 31-72 31st Street, #2E', 'Price: $2,450', 'Property Type: Apartment', 'Bedrooms: 1.0', 'Bathrooms: 1.0', 'Pets: Case By Case', 'Building Amenities', 'Elevator', 'Apartment Amenities', 'Dishwasher', 'Granite Kitchen', 'Hardwood', 'High Ceilings', 'Marble Bath', 'Renovated', 'Brand New Luxurious 1 Bedroom 1 Bathroom Apartment in the heart of Astoria.', 'Queen size bedroom, Kitchen is equipped with stainless steel appliances including dishwasher and microwave.', 'This is a prime location with everything you need just steps away, 30 seconds to N and W trains and 5 minutes away from midtown Manhattan.', 'Plenty of Restaurants, Grocery Stores to choose from.', 'Multiple gyms, lounges and coffee shops just around the corner for your convenience.', 'Heat and Hot water included.', 'Call or text to view today.', '917-355-4162', 'Mashud Ahmed', 'Phone: (917) 355-4162', 'Fax: (212) 402-7856', 'Email: <URL>', 'The Bouklis Group \xa0 (917) 355-4162 \xa0 FAX (212) 402-7856 \xa0 <URL>', 'POSTED BY REALTYMX™', 'To view, call or text Mashud Ahmed at (917) 355-4162']","['https://images.craigslist.org/00y0y_2BfKIcknZ16z_09i0co_600x450.jpg', 'https://images.craigslist.org/00o0o_jQQcyfPCEdpz_09i0co_600x450.jpg', 'https://images.craigslist.org/00x0x_7KML1VuPrrgz_09i0co_600x450.jpg']",https://newyork.craigslist.org/que/apa/d/astoria-luxury-bed-pet-friendly-30-sec/7519263062.html
7363341771,Studio Rentals,1250,E Yonkers,Two-Four Page Avenue near Yonkers Avenue,Two-Four Page Avenue ,40.9176,-73.8593,22,2022-07-27 17:13,2022-08-02 21:54,['2022-07-27 17:13'],2022-07-27,apartment,0,1.0,no laundry on site,off-street parking,500,NA,monthly,$20.00 per adult credit check,Broker Fee,NA,NA,NA,NA,NA,NA,NA,"['Studio Apartment in Superintendent Building.', 'Kitchen w/ Cabinets.', 'Appliances.', 'Dining Area.', 'Spacious Many Windows.', 'Hardwood Floors.', 'Closets.', 'Coin Operated Laundry Room on Premises.', 'Heat and Hot Water Included.', '\xa0Close to All.', 'Proof of Income W2 Paystubs Reference  Credit Check', '$43,750.00 (35 x monthly rent)', '1 month broker fee 1 month security 1 month rent', 'Call NYS Licensed Real Estate Broker', 'Grand Lux Realty Cerrone Realtors', 'Office   914-693-1600']","['https://images.craigslist.org/00707_fY1TsFi0HU6z_05r07g_600x450.jpg', 'https://images.craigslist.org/00g0g_8thkEwlZslpz_05r07g_600x450.jpg', 'https://images.craigslist.org/00O0O_9j3kj9WvACyz_07K0ak_600x450.jpg']",https://newyork.craigslist.org/wch/apa/d/yonkers-studio-rentals/7514167822.html
7510341317,WINDOWS IN THE LIVING ROOM * GYM * LAUNDRY * ROOFTOP *,3100,@J TRAIN,STUYVESANT AVE near lexington Ave,STUYVESANT AVE ,40.689694,-73.933393,15,2022-07-31 19:30,NA,['2022-07-31 19:30'],NA,apartment,3,1.0,laundry in bldg,street parking,NA,NA,monthly,NA,NA,True,True,NA,NA,NA,True,NA,"['large and Modern 3 bedroom apartment with windows in the living room!', '- Building with Gym / Fitness Facility, laundry and rooftop!', ""Located on Stuyvesant and Ave and Lexington Ave in Bed-Stuy, near the J train at Kosciusko St and tons of Cafe's, bars and all of your shopping needs!"", 'Modern kitchen with stainless steal kitchen appliances, windows in the living room, hardwood flooring, central air and heat!', 'Building with Gym / Fitness Facility, laundry and rooftop!', 'Text: 917-808-0442']","['https://images.craigslist.org/00o0o_5n5ZgafLrKwz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00404_c0uBe1C9tYRz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00o0o_liiEFlIgZGYz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00c0c_3Q2r6xh7rJ0z_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00Y0Y_4JRrZQGLQo7z_0jm0t2_600x450.jpg', 'https://images.craigslist.org/01010_1SCKcIfkt3mz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00n0n_8xFasUwYzaBz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00b0b_atQA5pt2XMLz_0CI0pO_600x450.jpg', 'https://images.craigslist.org/01212_e0OAGv8qNO3z_0CI0pO_600x450.jpg', 'https://images.craigslist.org/00C0C_jAcRaBCmdtkz_0CI0pQ_600x450.jpg', 'https://images.craigslist.org/00h0h_8ZPRco8ZSgBz_0CI0pQ_600x450.jpg', 'https://images.craigslist.org/01515_16yV64PvcPRz_0CI0pS_600x450.jpg', 'https://images.craigslist.org/00U0U_gGSg9mkgKovz_0CI0pP_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-windows-in-the-living-room-gym/7515773874.html
7513231289,MASSIVE 3 BEDROOM IN PRIME WILLIAMSBURG BY THE WATER,6500,williasburg,95 2nd St,95 2nd St,40.7099,-73.9529,99,2022-07-31 13:21,NA,['2022-07-31 13:21'],NA,apartment,3,1.0,laundry on site,street parking,NA,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Call/text Danny 206-472-5939i', 'SPRAWLING FLOOR-THROUGH APARTMENT W/UBER HIGH CEILINGS & SKYLIGHTS!', 'NO FEE', 'Enter into this perfect lay out and renovated apartment on one of South Williamsburg most charming streets!', 'Apartment features beamed ceilings, exposed brick, skylights and central heat/air!', 'Each QUEEN size bedroom has double closets + windows with great natural light!', 'Open living room that flows to the large kitchen with FULL SIZE APPLIANCES & ample room for a table and kitchen island!', 'Modern Bathroom with deep SUNKEN tub rounds off this HUGE apartment.', 'Conveniently located between the L @ Bedford & JMZ @ Marcy.', 'All your coffee, shopping and restaurant needs within seconds to this building!']","['https://images.craigslist.org/00g0g_9AEmDzcWMNtz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00000_hCozSjIpT4z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00W0W_3mmLxs9EPKVz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00a0a_KlwkzZ8byiz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01010_8mvQBlDu8jPz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00Q0Q_b3G6di3bHkPz_0CI0t2_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-massive-bedroom-in-prime/7515632031.html
7491292628,ROOM FOR RENT MOVE IN TODAY WASHINGTON AVE and 171 ST,850,BRONX,NA,NA,40.852,-73.9129,22,2022-07-26 10:42,2022-07-26 10:42,['2022-07-26 10:42'],NA,apartment,1,1.0,no laundry on site,no parking,450,NA,monthly,NA,1 MONTH,NA,NA,NA,NA,NA,NA,NA,"['ROOMS FOR RENT', 'MOVE IN TODAY', 'SPACIOUS', 'ALL UTILITIES INCLUDED', 'call now', '718-362-7164']",NA,https://newyork.craigslist.org/brx/apa/d/bronx-room-for-rent-move-in-today/7513550755.html
