post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,repost_dates,available,housing_type,bedrooms,bathrooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url
7516384986,HUGE STUDIO MODERN BUILDING BEWST LOCATION,1645,FLUSHING,FRANKLIN AVE near UNION,FRANKLIN AVE ,40.755966,-73.824005,5,2022-08-02 11:31,NA,[],2022-09-01,apartment,0,1.0,laundry in bldg,attached garage,NA,NA,monthly,NA,1 month,NA,NA,NA,NA,NA,True,NA,"['This is a HUGE studio apt in a new building.', 'it features hardwood floors ceramic tile bath modern kitchen with dishwasher , audio/visual intercom laundry facilities.', 'near all kinds of shops , plenty of diverse international restaurants walk to 7 train & LIRR minutes to nyc .', 'rent includes heat water & cooking gas.', 'a real gem that wont last.', 'call for a private showing']","['https://images.craigslist.org/00T0T_XanArf2dOMz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/00R0R_82op4zNRMJBz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/00f0f_6SyQFb0dtjFz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/00606_IhTAQYjLNkz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/00p0p_1HWBCDt5akpz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/01515_ddIiDhSmmVNz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/00F0F_lHO5PRkMTgrz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/00L0L_bux9F22bkyAz_0jm0cR_600x450.jpg', 'https://images.craigslist.org/00w0w_caeYN9qTfb1z_02A02A_600x450.jpg']",https://newyork.craigslist.org/que/apa/d/flushing-huge-studio-modern-building/7516384986.html
7514671223,3bedroom/2 bath,3700,"Kings Hwy , Brooklyn , NY",NA,NA,40.5979,-73.9743,22,2022-07-28 22:06,NA,[],2022-09-01,apartment,3,2.0,no laundry on site,no parking,1500,NA,monthly,NA,NA,NA,NA,True,NA,NA,True,NA,"['Fully Renovated.', 'near N and F trains, B82 and shopping large apartment available Sept 1st']","['https://images.craigslist.org/00I0I_48sHtaBUecdz_0gw0co_600x450.jpg', 'https://images.craigslist.org/00101_hGXTc1B0M9Dz_0co0gw_600x450.jpg', 'https://images.craigslist.org/00r0r_asFhZxDIGnYz_0co0gw_600x450.jpg', 'https://images.craigslist.org/00m0m_jZRdZ9drISFz_0gw0co_600x450.jpg', 'https://images.craigslist.org/00D0D_lHi7gToVzYiz_0gw0co_600x450.jpg', 'https://images.craigslist.org/00s0s_7da7CYywERNz_0gw0co_600x450.jpg', 'https://images.craigslist.org/00v0v_itUU8baIMsKz_0co0gw_600x450.jpg', 'https://images.craigslist.org/00t0t_9SanCSgIk1cz_0gw0co_600x450.jpg', 'https://images.craigslist.org/00707_bMWy3sYPWv1z_0gw0co_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-3bedroom-bath/7514671223.html
7516493673,LARGE 2 BR 2 BATHS-WASHER DRYER-NEAR COLUMBIA-MUST SEE,3200,Harlem / Morningside,258 near WEST 135,258 ,40.8183,-73.9426,22,2022-08-02 14:59,NA,[],NA,apartment,2,2.0,w/d in unit,street parking,NA,NA,monthly,NA,NEGOTIABLE,NA,NA,NA,NA,NA,NA,NA,"['LARGE LAYOUT TRUE 2 BR (DUPLEX)', '***WASHER AND DRYER IN UNIT***', '*** 2 FULL BATHROOMS  ***', 'ACCESS TO THE ROOF', 'SOUTHERN EXPOSURE (VERY SUNNY)', 'CENTRAL AIR', 'WELL MAINTAINED BUILDING (4TH floor WALK UP)', 'EXCELLENT LOCATION (WEST 135 ST. & FREDERIC DOUGLAS BLV.)', 'HARDWOOD FLOORS & HIGH CEILINGS', 'FULL SEPARATE KITCHEN WITH LOTS OF CABINET SPACE / DISHWASHER', 'QUEEN SIZE BEDROOMS', 'LOCATED NEAR C, B SUBWAY LINES', 'NEAR COLUMBIA', 'GUARANTOR ACCEPTED', 'CALL/TEXT /EMAIL', '(646) 421-4315']","['https://images.craigslist.org/00k0k_Dplya9qh6Rz_0db09A_600x450.jpg', 'https://images.craigslist.org/00U0U_jl7hzF4nMZZz_0ds09H_600x450.jpg', 'https://images.craigslist.org/00G0G_4JDBPHqLMoaz_07y09H_600x450.jpg', 'https://images.craigslist.org/00D0D_boXfsE19cwUz_07y09F_600x450.jpg', 'https://images.craigslist.org/00R0R_kgE16tgkZ5nz_07s09B_600x450.jpg', 'https://images.craigslist.org/00505_9f0hS0k40eUz_07m09I_600x450.jpg', 'https://images.craigslist.org/00l0l_kJR75o7ol0uz_0d509F_600x450.jpg', 'https://images.craigslist.org/01313_1cIXxxhQ7Khz_07K09I_600x450.jpg', 'https://images.craigslist.org/01212_kbkiZYwPaQuz_0de09K_600x450.jpg', 'https://images.craigslist.org/00S0S_54uTj4oaN1Bz_0e209S_600x450.jpg', 'https://images.craigslist.org/00h0h_6cpysZaxYpKz_06G09B_600x450.jpg']",https://newyork.craigslist.org/mnh/apa/d/new-york-large-br-baths-washer-dryer/7516493673.html
7508230616,Harrison 3 bedroom apartment for rent,3400,Harrison,NA,NA,40.9719,-73.7181,22,2022-07-30 09:27,NA,['2022-07-30 09:27'],NA,apartment,3,1.0,w/d in unit,street parking,1300,NA,monthly,NA,NA,NA,NA,True,NA,NA,NA,NA,"['3 bedroom 1 bath apartment in 2 family house in Harrison for rent in quiet area with excellent schools and public parks and pool.', 'Available August 1st.', '$3400.', 'Tenant pays gas and electric.', 'All new appliances including in unit washer and dryer.', 'Freshly painted.', 'Near train and shopping.', '1 month security.', 'No pets or smokers.', 'Serious inquiries only text request to 914-772-0369 Dave.']","['https://images.craigslist.org/00D0D_aHo3WTkkmdYz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00i0i_aQc6MbP2TzVz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00U0U_kx3f4hTRwmOz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00a0a_6pVD4IeFBQBz_0dl09v_600x450.jpg', 'https://images.craigslist.org/00R0R_kc2p1irCXH3z_0dl09r_600x450.jpg', 'https://images.craigslist.org/00707_kjGpbLoO40gz_0dl09t_600x450.jpg', 'https://images.craigslist.org/01616_7WIy46y8zWjz_0dl09G_600x450.jpg', 'https://images.craigslist.org/00h0h_b9FHHZIK722z_0dl09n_600x450.jpg', 'https://images.craigslist.org/00m0m_4rrzCmPwWytz_0dl09o_600x450.jpg', 'https://images.craigslist.org/00T0T_9iFd0zdWCNAz_0dl09j_600x450.jpg', 'https://images.craigslist.org/00404_893RRLa7DBaz_0dl09r_600x450.jpg', 'https://images.craigslist.org/00K0K_63eoUnzAcPIz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00i0i_slALRjYwVhz_0gw0bN_600x450.jpg']",https://newyork.craigslist.org/wch/apa/d/harrison-harrison-bedroom-apartment-for/7515172051.html
6983220096,"Mega Size ( 3 Bed ) *Pets Ok* Nice, Elevator/Laundry, By L.I.R.R",2850,Flushing / Auburndale / Bayside / Whitestone/ FreshMeadows,164th St near Crocheron Ave,164th St ,40.762703,-73.801781,15,2022-07-28 22:28,NA,['2022-07-28 22:28'],2022-07-28,apartment,3,1.0,laundry in bldg,street parking,NA,NA,monthly,NA,"1st Month, Security Deposit, Brokers Fee",True,True,True,NA,True,True,NA,"['1st Come, 1st Serve ( Good Things ALWAYS GO Fast )', 'So Dont Wait !!!', 'Building Amenities:', 'Elevator', 'Laundry', 'On-site Super', 'Street Parking', 'Includes:', 'Heat', 'Hot Water', 'Licensed Real Estate Agent:', 'Nicolas G.', '212-603-9914', 'Call / Text', 'King ( 3 Bed + 1 Bath ) apartment with BIG STAINLESS Kitchen + Dining Space and alot of big windows that illuminate the apartment completely, ON-SITE Super at all times, which is the most convenient thing any building can have, So many shopping centers down the street from the building Very Convenient, friendly / cozy location.', '90% of everything is walking distance.']","['https://images.craigslist.org/00202_7RdGi3dVR9Uz_0cU09U_600x450.jpg', 'https://images.craigslist.org/00909_8vxxaJQRhcDz_0hq09X_600x450.jpg', 'https://images.craigslist.org/00c0c_asK7IOSfVKYz_0g80c6_600x450.jpg', 'https://images.craigslist.org/00h0h_4LXDTfHhdoez_07g07g_600x450.jpg', 'https://images.craigslist.org/01313_kd1OlKBVlj8z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00d0d_9kJNFFCtL8iz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00505_hBHbnwFcq5Wz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00808_5xUR1MJaMw6z_0cU09U_600x450.jpg', 'https://images.craigslist.org/00t0t_HhDGoa3Benz_06W05k_600x450.jpg', 'https://images.craigslist.org/00303_3jxnkvlfJuoz_0cU09U_600x450.jpg', 'https://images.craigslist.org/00j0j_7OhLV5EtmqJz_0cU09U_600x450.jpg', 'https://images.craigslist.org/00b0b_kmmgTPKfDFBz_0cU09U_600x450.jpg', 'https://images.craigslist.org/01111_kzOBW2iQ2H9z_0cU09U_600x450.jpg', 'https://images.craigslist.org/00p0p_9syasm11DU9z_0cU09U_600x450.jpg', 'https://images.craigslist.org/00M0M_8ItfkfEeo3rz_0cU09U_600x450.jpg']",https://newyork.craigslist.org/que/apa/d/flushing-mega-size-bed-pets-ok-nice/7514676003.html
7514000638,Luxury 2Bed/1Bath + Private Balcony in prime Kensington!,3355,kensington,Ocean Parkway near 18th ave,Ocean Parkway ,40.633881,-73.97202,5,2022-07-27 11:47,NA,[],2022-08-15,apartment,2,2.0,w/d hookups,attached garage,NA,NA,monthly,$20 application fee,Brokers fee,True,NA,NA,NA,NA,NA,NA,"['Luxury 2Bed/1Bath + Private Balcony!', 'in a Beautiful building with tons of amenities in PRIME Kensington GREAT LOCATION!', 'Notes: Video available upon request!', 'APARTMENT FEATURES:', '- Beautiful breakfast bar Chefs kitchen with built-in appliances including a microwave,', 'dishwasher, and surround sound entertainment system!', '- 2 King size bedrooms (Master bedroom has ensuite)', '- 2 Gorgeous bathrooms', '- Large windows = TONS of sun to light', '- Hardwood floors', '- Laundry hook up + Laundry room', '- High ceilings', '- Heat and A/C units in each room', 'BUILDING AMENITIES:', '- Clean and lighted hallways', '- A GYM', '- Storage available', '- Onsite laundry', '- Virtual doorman', '- Parking garage.', '(based on availability)', 'For more info or to schedule a viewing Call/Text or Email Benny today!', 'Cell (646)-963-5926', 'Email Benny @zjamarealty .com']","['https://images.craigslist.org/00q0q_iDFBa8gYjHMz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00C0C_fk0xep6CTH5z_0he0cU_600x450.jpg', 'https://images.craigslist.org/00A0A_hfFveRIwoeNz_0k80cU_600x450.jpg', 'https://images.craigslist.org/00r0r_bPRYXuIXd1rz_0cU0hd_600x450.jpg', 'https://images.craigslist.org/00Y0Y_4qASvYM0UV7z_0hd0cU_600x450.jpg', 'https://images.craigslist.org/00v0v_f4Sj3sCSgFbz_0cU0hd_600x450.jpg', 'https://images.craigslist.org/01414_fhCgYa2j5tyz_0hd0cU_600x450.jpg', 'https://images.craigslist.org/00m0m_3Ldte0s1WdNz_0cU0hd_600x450.jpg', 'https://images.craigslist.org/00H0H_jyAM9VS6co2z_0hd0cU_600x450.jpg', 'https://images.craigslist.org/00000_7kiazHsVwVBz_0cU0hU_600x450.jpg', 'https://images.craigslist.org/00R0R_6n07ejv4UoOz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00C0C_4L4CBt4OA2Qz_0yR0t2_600x450.jpg', 'https://images.craigslist.org/00e0e_ha2UhRgsQfz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00r0r_eYcOGmGqIbjz_03K08y_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-luxury-2bed-1bath-private/7514000638.html
7516940611,Convenient Apartment,2600,East New York,NA,NA,40.6705,-73.894,22,2022-08-03 15:51,NA,[],2022-08-04,apartment,4,1.0,no laundry on site,street parking,1000,NA,monthly,NA,NA,NA,NA,True,NA,NA,NA,NA,"['3 1/2 bedroom apartment currently available for rent on 2nd floor for $2600.', 'Conveniently located near the A C J L and 3 trains with easy access to Manhattan and Gateway mall.', 'No pets allowed.', 'Smoke free apartment.', 'Call 7573385431 for more information']","['https://images.craigslist.org/00I0I_6v3YK04aIjGz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/01212_9daIjDy5r60z_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00Y0Y_25wtvSseWnUz_0x20oM_600x450.jpg', 'https://images.craigslist.org/00n0n_80oYqRB6TGz_0x20oM_600x450.jpg', 'https://images.craigslist.org/00K0K_lOhuEMlhmOez_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00q0q_7PdvDdvYhDPz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00N0N_3OrCLdbuYkvz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/01010_d2MoVW5twVAz_0x20oM_600x450.jpg', 'https://images.craigslist.org/00f0f_kSg7DM8yrUuz_0x20oM_600x450.jpg', 'https://images.craigslist.org/00i0i_axJM8R4Ti8Xz_0lM0t2_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-convenient-apartment/7516940611.html
7428189870,Studio Apartment,1200,Staten Island,42 Windsor Road,42 Windsor Road,40.612445,-74.114415,10,2022-07-31 11:12,2022-08-01 12:24,['2022-07-31 11:12'],NA,apartment,1,1.0,no laundry on site,street parking,360,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Beautiful and clean basement studio apartment.', '360 sq feet.', 'Gas, water, heat, electric - all included.', 'Location: Castleton Corners, SI Expressway Exit 12.', 'Single occupancy only.', 'Security deposit is 1 month rent.', 'When replying, please indicate current Credit Score and salary.']","['https://images.craigslist.org/00B0B_lOAiuSeAhTVz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00505_dCQuP3Ldxl2z_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00L0L_9cH3s8xj4XPz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00V0V_5LiBsgLm4TFz_0lf0t2_600x450.jpg', 'https://images.craigslist.org/00c0c_63fgV2FfbeOz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/01010_62L1ZzQ8dBfz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00l0l_fa1pJjZNXKuz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00i0i_SYm1UIS6lnz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00W0W_TfiqDh5whIz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00K0K_ci9d5J7mMvjz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00X0X_haZ5XEquXdTz_0dm0lQ_600x450.jpg']",https://newyork.craigslist.org/stn/apa/d/staten-island-studio-apartment/7515578123.html
7516039003,Dobbs Ferry,2600,NA,NA,NA,41.0118,-73.8665,22,2022-08-01 13:56,2022-08-01 13:56,[],NA,apartment,2,1.0,w/d in unit,street parking,NA,NA,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Dobbs Ferry', 'Two bedroom…Ardsley schools, washer/dryer, modern,beauty…$2600', 'Two bedroom…2 bath, laundry terrace, riverviews, walk to all…$3000', 'Two bedroom…driveway, garage, yard, laundry…$3000', 'Three bedroom…2 bath, modern, convenient …$3800', 'One bedroom… in village, charming & convenient…$1750', 'One bedroom…modern,sunny,walk to train & shops…$1850', 'One bedroom…modern,laundry, patio,walk to shops…$2600', 'Enjoy the views from the Dobbs Ferry waterfront park!', 'more available call:', 'MAIN SOURCE REALTY', '914-674-0646', '117 Main Street', 'Dobbs Ferry NY', '<URL>', '914-674-0646']","['https://images.craigslist.org/00n0n_1nOm92Cds7iz_0x20oM_600x450.jpg', 'https://images.craigslist.org/00202_5gWEdiz08JDz_0x20oM_600x450.jpg']",https://newyork.craigslist.org/wch/apa/d/dobbs-ferry-dobbs-ferry/7516039003.html
7513561588,"*NEW 1 BED 1 BATH IN WINGATE FOR A SWEET PRICE! ROOF, LAUNDRY, YARD!*",2300,Wingate,Maple St near Brooklyn Ave,Maple St ,40.661149,-73.945488,15,2022-07-27 21:11,NA,['2022-07-27 21:11'],NA,apartment,1,1.0,laundry in bldg,street parking,NA,NA,monthly,20 Dollar Application Fee Only,NA,True,True,NA,NA,NA,True,NA,"['Amazing new 1 bed 1 bath in Wingate for an awesome price!', 'Includes a shared yard, roof, and laundry access.', 'Act fast before it’s too late!', 'Trains:', '2 5 at Sterling St 0.34 miles', '2 5 at Winthrop St 0.37 miles', '2 5 at President St 0.57 miles', '3 at Kingston Av 0.59 miles', '3 at Nostrand Av 0.66 miles', 'For questions or showings call Isaac at (718)-306-8984', 'MUST HAVE GOOD CREDIT AND INCOME', '12 MONTH LEASE', 'GUARANTORS WELCOME', 'Video and FaceTime Walkthroughs Available']","['https://images.craigslist.org/00u0u_aSA7sXgesHWz_0kE0fu_600x450.jpg', 'https://images.craigslist.org/00000_8p241SWi3xgz_0kE0fu_600x450.jpg', 'https://images.craigslist.org/01212_bfyqZLynBjFz_0kE0fu_600x450.jpg', 'https://images.craigslist.org/00d0d_gRefnnYnjY3z_0kE0fu_600x450.jpg']",https://newyork.craigslist.org/brk/apa/d/brooklyn-new-bed-bath-in-wingate-for/7514255803.html
