name,self,other,referrals,rent,freq,references,ref_ratio
Grand Boulevard,0,13,0,1431.6153846153845,13,0,0
Printers Row,1,64,0,2275.153846153846,65,96,0.09375
United Center,3,6,0,1871.5555555555557,9,14,0.21428571428571427
Sheffield & DePaul,0,12,0,3159.8333333333335,12,0,0
Humboldt Park,7,45,2,1669.5192307692307,52,39,0.6666666666666666
Garfield Park,1,11,1,1442.5,12,9,0.4444444444444444
North Lawndale,0,7,0,1411.4285714285713,7,2,0.0
Little Village,2,10,1,1306.9166666666667,12,7,0.7142857142857143
Armour Square,0,24,0,1909.375,24,0,0
Avalon Park,0,0,1,0,0,3,0.0
Burnside,0,0,0,0,0,0,0
Hermosa,0,5,0,1407.0,5,8,0.125
Avondale,5,53,1,2134.7413793103447,58,23,0.6086956521739131
Logan Square,61,60,21,2442.2479338842977,121,220,0.29545454545454547
Calumet Heights,0,5,0,2047.0,5,0,0
East Side,0,0,2,0,0,111,0.0
West Pullman,0,2,0,1112.5,2,0,0
Garfield Ridge,0,1,0,1050.0,1,0,0
New City,0,2,0,1437.5,2,1,0.0
Englewood,1,8,0,1202.7777777777778,9,1,1.0
Grand Crossing,2,15,0,1266.1764705882354,17,3,0.6666666666666666
Ashburn,0,0,1,0,0,1,0.0
Mount Greenwood,0,0,0,0,0,0,0
Morgan Park,0,0,0,0,0,0,0
O'Hare,0,2,33,1172.5,2,43,0.0
Jackson Park,0,1,1,1325.0,1,5,0.2
Loop,7,82,42,2709.2022471910113,89,273,0.0695970695970696
Pullman,1,0,0,1750.0,1,2,0.5
Riverdale,1,0,2,1365.0,1,4,0.25
Hegewisch,0,1,0,1433.0,1,0,0
Greektown,0,0,1,0,0,8,0.0
Douglas,0,1,16,1800.0,1,9,0.0
Museum Campus,0,0,0,0,0,16,0.0
Edgewater,48,53,11,1478.2079207920792,101,192,0.359375
Lake View,7,197,13,2375.4926108374384,204,52,0.17307692307692307
Lincoln Park,77,35,43,2435.6875,112,257,0.29961089494163423
Magnificent Mile,0,1,1,2000.0,1,11,0.0
Lincoln Square,17,31,4,1681.276595744681,48,42,0.5
Oakland,0,1,0,2600.0,1,0,0
Grant Park,0,0,12,0,0,17,0.0
West Loop,17,65,16,2808.3414634146343,82,157,0.21019108280254778
Fuller Park,0,0,0,0,0,0,0
Andersonville,5,1,18,1916.6666666666667,6,54,0.1111111111111111
Woodlawn,2,15,10,1629.1176470588234,17,14,0.21428571428571427
Portage Park,4,10,0,1238.2142857142858,14,8,0.75
Rush & Division,0,26,0,1677.1538461538462,26,1,0.0
"Little Italy, UIC",0,77,0,2640.948051948052,77,2,0.0
Kenwood,0,5,2,1151.0,5,5,0.4
Rogers Park,56,48,15,1238.9903846153845,104,108,0.5740740740740741
Jefferson Park,3,5,4,1557.5,8,11,0.2727272727272727
"Sauganash,Forest Glen",0,1,0,1695.0,1,0,0
North Park,1,7,1,1303.75,8,4,0.25
Albany Park,37,13,0,1362.2,50,37,1.0
Irving Park,6,18,22,1582.0833333333333,24,36,0.25
Dunning,0,1,0,1350.0,1,0,0
West Ridge,2,21,3,1411.0434782608695,23,15,0.13333333333333333
Uptown,26,78,7,1454.9417475728155,104,138,0.2318840579710145
Norwood Park,1,1,0,1597.5,2,3,0.6666666666666666
Streeterville,11,64,9,2134.826666666667,75,119,0.15126050420168066
South Shore,30,19,0,1019.6122448979592,49,34,0.9705882352941176
Chatham,5,10,3,957.6666666666666,15,10,0.6
South Chicago,0,2,2,1590.0,2,3,0.0
Roseland,1,3,0,1337.5,4,2,1.0
North Center,4,33,1,2059.189189189189,37,7,0.7142857142857143
South Deering,0,0,11,0,0,0,0
Washington Park,1,1,2,1032.5,2,5,0.4
Millenium Park,0,0,1,0,0,4,0.0
Near South Side,0,21,0,2460.5238095238096,21,0,0
Chinatown,0,0,10,0,0,12,0.0
Chicago Lawn,3,2,0,1088.0,5,3,1.0
Auburn Gresham,1,14,0,1254.0,15,6,0.8333333333333334
Beverly,1,1,3,812.5,2,4,0.25
Washington Heights,0,1,0,1100.0,1,0,0
Edison Park,2,0,1,1500.0,2,3,0.6666666666666666
Hyde Park,6,2,12,2120.625,8,29,0.20689655172413793
Bucktown,19,14,39,1997.4242424242425,33,97,0.21649484536082475
Lower West Side,0,40,2,1637.871794871795,40,6,0.6666666666666666
Wrigleyville,15,21,31,1926.388888888889,36,54,0.2777777777777778
Archer Heights,0,0,0,0,0,0,0
Brighton Park,0,0,0,0,0,0,0
Mckinley Park,0,3,0,1218.3333333333333,3,1,1.0
East Village,1,9,0,2969.9,10,10,0.3
West Town,6,38,10,2165.659090909091,44,37,0.2702702702702703
Bridgeport,4,1,5,1366.0,5,10,0.4
West Elsdon,0,2,0,1250.0,2,1,1.0
Gage Park,1,0,0,950.0,1,1,1.0
Clearing,1,5,4,2180.0,6,1,1.0
West Lawn,0,0,0,0,0,0,0
Wicker Park,37,24,25,2565.967213114754,61,176,0.21022727272727273
Ukrainian Village,6,21,23,2597.962962962963,27,128,0.046875
Galewood,0,0,1,0,0,1,0.0
Montclare,0,0,0,0,0,0,0
Old Town,7,11,10,1996.3333333333333,18,136,0.08088235294117647
Belmont Cragin,6,8,1,1170.357142857143,14,7,0.8571428571428571
Austin,8,2,31,1025.0,10,39,0.20512820512820512
Gold Coast,12,5,22,1286.5294117647059,17,145,0.10344827586206896
Boystown,2,21,1,2030.2608695652175,23,3,0.6666666666666666
River North,54,127,105,2579.027624309392,181,161,0.33540372670807456
