OBJECTID *,mention,pri_neigh,FREQUENCY,COUNT_pri_neigh,COUNT_mention
1,Albany Park,Albany Park,37,37,37
2,Andersonville,Andersonville,5,5,5
3,Andersonville,Edgewater,5,5,5
4,Andersonville,Lake View,1,1,1
5,Andersonville,Lincoln Square,3,3,3
6,Andersonville,North Park,2,2,2
7,Andersonville,Uptown,7,7,7
8,Andersonville,West Ridge,1,1,1
9,Ashburn,<Null>,1,<Null>,1
10,Auburn Gresham,Auburn Gresham,1,1,1
11,Austin,<Null>,4,<Null>,4
12,Austin,Auburn Gresham,5,5,5
13,Austin,Austin,8,8,8
14,Austin,Belmont Cragin,1,1,1
15,Austin,Chatham,1,1,1
16,Austin,Garfield Park,3,3,3
17,Austin,Humboldt Park,3,3,3
18,Austin,Jefferson Park,1,1,1
19,Austin,Kenwood,2,2,2
20,Austin,Roseland,2,2,2
21,Austin,South Chicago,1,1,1
22,Austin,South Shore,6,6,6
23,Austin,Washington Park,1,1,1
24,Austin,Woodlawn,1,1,1
25,Avalon Park,Chatham,1,1,1
26,Avondale,Avondale,5,5,5
27,Avondale,Irving Park,1,1,1
28,Belmont Cragin,Belmont Cragin,6,6,6
29,Belmont Cragin,Portage Park,1,1,1
30,Beverly,<Null>,3,<Null>,3
31,Beverly,Beverly,1,1,1
32,Boystown,Boystown,2,2,2
33,Boystown,Lake View,1,1,1
34,Bridgeport,<Null>,1,<Null>,1
35,Bridgeport,Armour Square,1,1,1
36,Bridgeport,Bridgeport,5,5,5
37,Bridgeport,Kenwood,1,1,1
38,Bridgeport,Mckinley Park,1,1,1
39,Bridgeport,New City,1,1,1
40,Bucktown,<Null>,1,<Null>,1
41,Bucktown,Avondale,3,3,3
42,Bucktown,Bucktown,19,19,19
43,Bucktown,Humboldt Park,10,10,10
44,Bucktown,Logan Square,17,17,17
45,Bucktown,Wicker Park,8,8,8
46,Chatham,Auburn Gresham,2,2,2
47,Chatham,Chatham,5,5,5
48,Chatham,Grand Crossing,1,1,1
49,Chicago Lawn,Chicago Lawn,3,3,3
50,Chinatown,Armour Square,6,6,6
51,Chinatown,Douglas,1,1,1
52,Chinatown,Lower West Side,3,3,3
53,Clearing,<Null>,1,<Null>,1
54,Clearing,Chicago Lawn,1,1,1
55,Clearing,Clearing,1,1,1
56,Clearing,Garfield Ridge,1,1,1
57,Clearing,West Elsdon,1,1,1
58,Douglas,Grand Boulevard,11,11,11
59,Douglas,Little Village,3,3,3
60,Douglas,North Lawndale,2,2,2
61,East Side,Humboldt Park,1,1,1
62,East Side,Loop,1,1,1
63,East Village,East Village,1,1,1
64,Edgewater,Edgewater,48,48,48
65,Edgewater,Rogers Park,1,1,1
66,Edgewater,Uptown,6,6,6
67,Edgewater,West Ridge,4,4,4
68,Edison Park,Edison Park,2,2,2
69,Edison Park,Norwood Park,1,1,1
70,Englewood,Englewood,1,1,1
71,Gage Park,Gage Park,1,1,1
72,Galewood,Belmont Cragin,1,1,1
73,Garfield Park,Garfield Park,1,1,1
74,Garfield Park,Humboldt Park,1,1,1
75,Gold Coast,Edgewater,3,3,3
76,Gold Coast,Gold Coast,12,12,12
77,Gold Coast,Lake View,1,1,1
78,Gold Coast,Old Town,3,3,3
79,Gold Coast,River North,7,7,7
80,Gold Coast,Rush & Division,8,8,8
81,Gold Coast,Streeterville,5,5,5
82,Grand Crossing,Grand Crossing,2,2,2
