,prompt,completion,actual_completion
2657,"Call or text Dan at Apartment Guys at 773-490-0966 and ask for reference #2202681. This large one bedroom apartment features, BIG WINDOWS,  hardwood floors and good closet space. It also has heat included. common area laundry, One block to the lake, and BEACH. Blocks from shopping and restaurants. Prices are subject to change. ***Photos may be of a similar unit. * ** * For faster response best to call or text 773-490-0966 with reference #2202681 -=>", 1001-1500, 1001-
3162,"813 W Waveland Ave  Chicago, IL  60613 $1895.00 / Month --------------------------- Interested in this property? Reply to this listing for more information. --------------------------- Property Details: 2 BEDROOMS | 1 BATHROOMS Lovely 2 bedroom features hardwood floors, spacious living area, great closet space and laundry on site! Pet friendly building. Amazing location close to Whole Foods, Wrigley Field, the Lake, transportation, restaurants and more! - Presented by Fulton Grace, Chicago IL *Pictures, layout, and finishes may differ or be of a similar unit available within the building. ***Cats, Small Dogs, Large Dogs Allowed*** Property Type: Apartment Lease Terms: $1895.00/Month $395.00 Deposit Lease Length: One Year Available: 04/01/2023 Unit Amenities: Building Amenities: On Site Laundry --------------------------- Interested in this property? Reply to this listing for more information. -=>", 1501-2000, 1501-
270,"PROPERTY INFO ID: 268478862 Rent: $1,770 / Month Beds: 1 Bath: 1 Pet: Pet Friendly Brand new Convertible unit! 12-14 month lease! Pricing is net effective after specials! Move in date is 45 days from today. Contact today, going fast! Super close to the highway! Stunning location for centralized commuters! Parking is uncovered $175 and covered is $250. Additional Street parking or $125 uncovered across the street option! FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Fitness Center Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property New Property Pool-Outdoor Smoking-No Stove-Gas Dan Zager 847-308-8243 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 1501-2000, 1501-
3743,"2420 N. Kedzie Logan Square Excellent garden unit studio in Logan Square features cooking gas included, rehabbed kitchen with modern white cabinets, granite countertops, stainless steel appliances, dishwasher, microwave, open spacious living area, great closet space, rehabbed bathroom, laundry room in building, and pets are welcome! Close to Logan Square Blue Line, shops, restaurants, and nightlife! UA1701 Please Call Molly Parshall at 262/402-8414‬ to schedule an appointment to view this apartment and mention Apartment ID: 35555. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
2148,"Call Property Rocks at 773-837-2011 and refer to post id: 7560291346 Downtown Luxury Apartment Living in desirable Printers Row. With a Walk Score of 98 and a Transit Score of 100, this South Loop luxury apartment provides easy access to everything Chicago has to offer. Just steps from The Loop, the Central Business District, and even closer to educational institutions such as Columbia College, DePaul University, Roosevelt University and Harold Washington Public Library. With so many rail lines, bus lines, car shares and bike shares all close by, convenient transit options are endless! The South Loop has easy access to River North and the interstate as well. Apartment Features: Modern design with an urban feel, Ten-foot Ceilings with Exposed Concrete and Spiral Duct Work, Hardwood Floors, Stainless Steel Appliances, Quartz Counters, In-Home Washer and Dryer, Expansive Windows, Wired for SilverIP Gigabit Broadband Internet Building Features: A Resident Lounge with Fireplace and Billiards, Full Service Fitness Center, Yoga Studio, Outdoor Pool and BBQ Area, Roof Top Sundecks, Sports Court, Dog Run, Dog Wash and more! PR0PERTY R0CKS ***For faster response please call or text Joe at 773-837-2011 and include post id: 7560291346 -=>", 2501-3000, 1501-
2828,"4606 N. Beacon Uptown Comfortable studio in the heart of Uptown! Unit features heat and cooking gas included, newer kitchen and bathroom, high ceilings, hardwood floors throughout, laundry room in building, cats welcome, and easy street parking! Steps to shopping, nightlife, transportation, and more! Please Call Gabriela Cubero at 312/927-0788 to schedule an appointment to view this apartment and mention Apartment ID: 22382. Urban Abodes 312/927-0788 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 501-1000, 501-1000
4089,"635 W. Barry Lakeview Extraordinary studio in the heart of Lakeview! Unit features newer kitchen with breakfast bar, spacious living area with ceiling fan, gorgeous hardwood floors throughout, newer bathroom, laundry room in building, pets welcome, and more! Steps to shopping, nightlife, transportation, and more! UA1701 Please Call Timothy Weinert at 215.499.1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 25522. Urban Abodes 215.499.1336 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
1448,"Call/text Gregory with Apartment Guys at 773-899-5505 and ask for reference #2201673. Three levels of Living space! A newly updated, spacious 2 bedroom, 2.5 bathroom Tri-Plex (THREE FLOORS) in the heart of Lincoln Park! Nice, open living/ dining area attached to the kitchen. Hardwood floors, high ceilings, wood burning fireplace, stainless steel appliances, 2.5 newly renovated baths with marble, and a large storage room in-unit. Both bedrooms and 2 full baths on the upper floor. This condo is made for the host with a private entertainment room, including an 8-ft Brunswick pool table. Just one block to the brown line and 2 blocks to the red line. One FREE parking space is included in the rent. **Prices are subject to change** *****For faster response best to call or text 773-899-5505 with reference #2201673**** -=>", 3501-4000, 3501-
3954,"Beautiful 3BD/1BH unit in Pilsen. Apartment is very good size (apprx 1200 sf) It features Central AC, beautiful kitchen with stainless steel appliances and granite counter tops. Sizable rooms with good closet space, with nice hardwood floors throughout the unit. Laundry is in the unit! Parking available in the garage for extra per month. Locations is perfect, in the heart of Pilsen, close to California Pink line and both Cermak and Western bus stop. OWNER IS ASKING FOR A MOVE IN FEE - 35% of the rent. AVAILABLE NOVEMBER 1ST $45 Application fee (per person) No previous evictions or collections Must have 650+ Credit Tenants pay for gas, heat and electric. -=>", 1501-2000, 1501-
2735,"Recently updated 4 bedroom 2.5 bath California ranch home with fabulous floor plan, high vaulted ceilings, 3 skylights, huge living room, large family room, new luxury vinyl plank flooring. Decent backyard, patio and 2 car wide concrete paved driveway. French doors from family room lead to a leaving room. Unfinished basement with, tons of storage, and laundry. Close to school and shops. Choice of HP or Deerfield High School. Corporate clients are welcome Broker owned/interest All rental apps must include a credit report, LA will provide rental applicaton link upon request. No smoking inside of the house! 1 year lease minimum, last month rent to be paid upon lease signing. To qualify, annual rent must be 1/3 or less of the annual income. Maximum occupancy 4 persons, up to 2 cars will fit on the driveway. Tenant is responsible for utilities, house cleaning and waste disposal. (Installed large solar photovoltaic system significantly lowers electric bill) -=>", 3501-4000, 4501-
