,prompt,expected_completion,actual_completion
255,"Incredible num Bedroom with laundry in the unit ! Update open space apartment with natural light ! The kitchen features are stainless steel appliances , a granite countertop dishwasher , a fridge , microwave and stove , and large cabinets . Great location TIME TIME walking to the red - purple line train station , convenient public transportation across the street . Walking distance to groceries stores , restaurants , bars , boutiques , and the lakefront . Also , it has some great amenities : a fitness room , laundry room , ORG ORG ORG , bike storage , package receiver , elevator and dog washer area . Pictures may not be the actual unit . Prices are subject to change . Call and Text PERSON PERSON from ORG ORG ( CARDINAL ) CARDINAL - num . Reference number CARDINAL Is rent cheap, average, or expensive? <SEP>
", average, expensive
323,"Call Dan at Apartment Guys at CARDINAL - num - num and ask for reference # MONEY . Wonderfully updated CARDINAL bedroom featuring a stainless steel kitchen including a dishwasher and granite countertops ! This unit also has hardwood floors throughout , tons of sunlight , a spacious bedroom , ample closet space , and a great view ! The hi - rise building has an on site fitness facility , a doorman , and a lovely roof deck . Garage parking available . Prices are subject to change . * * * Photos may be of a similar unit . * * * * Is rent cheap, average, or expensive? <SEP>
", average, average
65,"num PERSON PERSON PERSON Park Classic CARDINAL bedroom , CARDINAL bathroom in FAC FAC courtyard building features heat included , updated eat - in kitchen with dishwasher , pantry , separate formal dining room , large bright living room , hardwood floors , queen size bedroom , great closet space , newer ceramic tiled bathroom , on - site laundry room and storage shed ! Cats OK ; no dogs , please . Please Call PERSON PERSON PERSON PERSON PERSON at num/num - num to schedule an appointment to view this apartment and mention Apartment ID : CARDINAL . Urban Abodes num.num.num < URL > num N. PLACE Avenue GPE , ORG ORG ORG ORG ORG Is rent cheap, average, or expensive? <SEP>
", average, average
111,"About the apartment : I am subletting my beautiful , bright , fully furnished CARDINAL apartment in FAC FAC for flexible DATE DATE DATE DATE starting DATE DATE . The apartment ’s interior is minimalist , modern and thoughtfully put together . It includes plenty of storage , a stationary home exercise bike , a porch , a TV and a standing desk . Hardwood floors throughout the apartment ( with an exception of the bathroom ) give it a cozy feel and make it easy to clean . All windows in the unit can be opened to allow for fresh air circulation . A shared porch allow for relaxing outdoor hangs alone or with friends . The DATE rent of $ MONEY includes water , gas , electricity and internet . Due to the high quality of furniture in the apartment a $ MONEY PLACE deposit will be due once the lease is signed . About the building : This well taken care of courtyard building features a gorgeous garden with a bench , communal storage spaces for bikes and boxes and a coin - operated laundry room with washers and dryers . Unfortunately pets are not allowed . About the location : The apartment is located in the heart of FAC FAC with easy and convenient access to grocery stores , cafes , restaurants , shops and public transportation . The blue line and GPE GPE with plenty of options for entertainment and shopping are TIME TIME TIME TIME walk away from the apartment . Every DATE there ’s a Farmer ’s Market at the Square ( about a numminute walk from the apartment ) . A park and playground are right outside the apartment . How to apply : Each tenant will have to pay $ MONEY for a background check ( required by the landlord ) Is this place right for you ? You appreciate plants and have a basic understanding of how to take care of them ? You appreciate a convenient location and easy access to public transportation and entertainment options ? You appreciate a minimalistic , design - save apartment ? If all of these apply to you , I ’m hoping to hear from you ! If you have questions , please do n’t hesitate to reach out . Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
268,"PROPERTY INFO ID : num Rent : $ MONEY / Month Beds : CARDINAL Bath : CARDINAL Available Date : num/num/num Pet : Pet Friendly Rent Includes : : Heat , Water Parking : : street parking FAC FAC FAC FAC FAC FAC FAC FAC , Tons of Light ! Hardwood Floors Throughout - Large Dining Area In Kitchen ! ! ' , "" Pet Friendly , Cosigner 's Welcome - $ MONEY App Fee | MONEY MONEY MONEY - in fee | MONEY MONEY Cat Fee | MONEY MONEY MONEY MONEY . "" , ' FEATURES Eat - In Kitchen Hardwood Floors Laundry in ORG ORG ORG ORG ORG Is rent cheap, average, or expensive? <SEP>
", average, cheap
553,"Good TIME ! I am currently looking for someone to sublet my current apartment CARDINAL - num/num . I am currently residing at FAC FAC FAC FAC FAC in a num bedroom convertible of CARDINAL sq ft . Rent is $ MONEY a month . Pets ( cats and medium sized dogs ) are allowed , but a pet deposit and pet fees are required . Parking is not included , but you can add garage parking for $ MONEY / month . Renter is responsible for internet and electric while the rest ( water , sewage , trash ) is covered . num/num door staff . FOB key access to towers and common areas . ' , "" For more on amenities , check out FAC FAC FAC website . "" , ' PERSON would need to complete sublease form along with rental application through Presidential Towers leasing office . Furniture in the pictures is not included . ' , "" If you 're interested in subletting , please feel free to respond here or email me directly . "" , ' Thanks in advance ! Is rent cheap, average, or expensive? <SEP>
", average, cheap
47,"ORG ORG ORG ORG ORG with Heat Included ! Original hardwood floors and details in this property ! Abundant light and views of the beautiful courtyard ! Great closets and storage ! Excellent location with access to ORG ORG ORG and ORG ORG ORG ! ' , "" Close to local shops , restaurants and Mariano's / ORG ORG . "" , ' CARDINAL ORG ORG in building , ORG ORG ORG ORG ORG , Cats welcome . ORG ORG . Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
458,"ORG ORG ORG , ORG ORG ORG ORG ORG ORG : MONEY MONEY MONEY per Month Vintage rehabbed CARDINAL bedroom , CARDINAL bathroom in heart of GPE features rehabbed kitchen with espresso cabinets , stainless steel appliances , dishwasher , open large combination living and dining rooms , spacious bedroom , amazing closet space , hardwood floors , rehabbed bathroom , laundry in building , and pets are welcome ! Close to el , FAC FAC , shops and nightlife ! PERSON PERSON PERSON PERSON No Air Conditioning : No Dishwasher : No Laundry : In Building Flooring : Hardwood Parking : Street Pets : Cats and Dogs OK Square Feet : CARDINAL Apartment ID : num Please call or text PERSON PERSON at num/num - num\unumc to schedule an appointment to view this apartment and mention Apartment ID above . Urban Abodes num.num.num < URL > num N. PLACE Avenue GPE , ORG ORG ORG ORG ORG Is rent cheap, average, or expensive? <SEP>
", cheap, average
347,"PROPERTY INFO ID : CARDINAL Rent : $ MONEY / Month Beds : CARDINAL Bath : CARDINAL Pet : Pet Friendly Parking : : attached garage When is your move date ? ( is it flexible , if so how far in either direction ) ? Any pets ( weight and breed ) ? Need parking ? Budget ( just rent ) ? What is your preferred neighborhood(s ) ? Have you toured any properties yet ? ' , "" ( so that I do n't double up on my research ) "" , ' When are you available for a showing ? Brand new in DATE , this luxury apartment complex in LOC LOC LOC is surrounded by amazing restaurants , a sprawling historic park , and several downtown businesses . Advanced levels of luxury and technology make this property stand out . In our post - pandemic world , health and wellness were incorporated in the overall plan with fresh , clean air , thanks to the ionization purification system . Also , the latch keyless entry system lets everyone come and go hands - free . Standard apartment finishes include white quartz countertops , an artistic ceramic backsplash , premium soft - close cabinetry and stainless steel ORG appliances . Throughout the units , you ’ll find wood plank flooring and custom built - in closets . And the bathrooms include spa - inspired glass walk - in showers . Nest thermostats come standard too . Incredible amenities are in abundance with a high - end fitness center with PERSON equipment , a rooftop deck with an outdoor pool , private cabanas , lounge seating , alfresco dining area with grills , an indoor entertaining lounge , and meditation room with private terrace . For remote workers , select apartments are outfitted with desk space , but there is also a dedicated co - working room with individual workstations and conference rooms . Then , they kicked it up a notch by adding a heated outdoor lounge . Cats and dogs are welcome with breed restrictions . There ’s an on - site dog run , but you ’ll also have the added pet perk of having QUANTITY QUANTITY QUANTITY of green space at the park right across the street . Garage parking is available with additional fees PRODUCT PRODUCT PRODUCT PRODUCT Units Central Air - Yes Dishwasher - All Dogs - No Weight Limit Fitness Center Flooring - Hardwood Only Laundry- W / D In Unit Luxury Property New Property Pool - Outdoor Smoking - No Stove - Gas Jacqueline Dingman num - num - num HotSpot Rentals Disclaimer : Photos may not be of exact unit available and may be of various model units and various vacant units . Apartment availability and lease terms may vary . Pricing , availability , and specials are subject to change at any time and without notice . Please note that the price may be net effective of a special or concession that the building is currently running . Information is believed to be accurate , however , is subject to errors and omissions . HotSpot Rentals services the following neighborhoods : South PLACE , PLACE , Near North , LOC LOC , LOC LOC , GPE GPE , GPE GPE GPE , LOC LOC LOC , The PLACE , GPE , GPE GPE , LOC LOC LOC , PLACE , ORG ORG , GPE GPE , Near North , GPE GPE , FAC FAC FAC , GPE , GPE , GPE GPE , GPE GPE , GPE , GPE , GPE , FAC FAC Is rent cheap, average, or expensive? <SEP>
", average, expensive
529,"Residences at GPE GPE : MONEY MONEY MONEY MONEY num / MONTH SIZE : QUANTITY QUANTITY QUANTITY BEDROOMS : CARDINAL BATHROOMS : CARDINAL LEASE TERMS : DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE ( CARDINAL ) CARDINAL CARDINAL CARDINAL UNIT FEATURES : ● Balcony or Patio ● Cable Ready ● Hardwood Flooring ( select units ) ● In - Home Washer / Dryer ● PERSON PERSON ( select units ) ● PERSON PERSON ( select units ) ● ORG ORG ORG ( select units ) ● Walk - in closets ( select units ) ● ORG ORG ● Balcony or Patio ● ORG ORG ● Hardwood Flooring * ● In - Home Washer / Dryer ● LOCATION Back ● Marble Countertops * ● PERSON PERSON * ● Stainless Steel Appliances * ● Walk - in closets * YES , WE ARE OPEN ! CALL NOW TO SCHEDULE AN IN - PERSON TOUR ! OR LET US SHOW YOU THROUGH FACETIME ! Discover the ideal apartment location when renting at Residences at GPE . Whether you are a graduate student at ORG ORG or an intern at ORG in Downtown GPE , the suburban beauty of GPE , GPE is your retreat . Located QUANTITY QUANTITY from GPE in a private neighborhood in GPE GPE GPE , experience a lovely community of renovated CARDINAL , CARDINAL , and CARDINAL - bedroom apartment homes . When you live here , getting around town is easy with ORG ORG ORG CARDINAL and CARDINAL TIME TIME away . Explore the neighborhood and see what else is nearby the FAC at GPE ! PROPERTY FEATURES : ● PLACE Games Room ● Bowling Alley ● Online Payments Available ● Onsite Maintenance ● Onsite Management ● Pet Park ● Soccer Field ● ORG ORG ● Building Elevator Access ● ORG ORG , Free Weights , Peloton Bike and more ! ● Coffee Bar ● New TIME TIME TIME State - of - the - Art Fitness Center ● Pet Friendly Bark Park ● Ping Pong Table and Pool Table ● Resort Style Heated Pool with Luxurious PERSON ( Coming Soon ) ● ORG ORG PET POLICY : Breed Restriction;We allow pets for a pet fee of $ MONEY per pet and rent of $ MONEY per pet per month . VISIT OR CALL GPE TODAY ! CARDINAL ORG ORG ORG , IL num ( CARDINAL ) CARDINAL CARDINAL CARDINAL Website : < URL>/ EQUAL HOUSING PLACE numCnumDEBFDnumDnum Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
