,prompt,expected_completion,actual_completion
255,"SUBLEASE PLACE ! num BEDROOM , Laundry in unit! Is rent cheap, average, or expensive? <SEP>
", average, average
323,"Do you want Stainless Steel? One block to Lakefront! Is rent cheap, average, or expensive? <SEP>
", average, average
65,"Rocking num Bedroom, num Bath in Horner Park, Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
111,"Beautiful, light filled, FURNISHED numBR with porch Is rent cheap, average, or expensive? <SEP>
", expensive, average
268,"num Bedroom - Heat Included - Tons of Light. Pets! Is rent cheap, average, or expensive? <SEP>
", average, cheap
553,"Apartment for rent num/num-num/num Is rent cheap, average, or expensive? <SEP>
", average, cheap
47,"Sunny and Spacious! Separate dining room! Brown Line! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
458,"Beautiful num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, average
347,"RARE Luxurious Convertible num Bedroom - Pool, W/D + num MONTH FREE! Is rent cheap, average, or expensive? <SEP>
", average, cheap
529,"Amazing num bed, num bath at Residences at PLACE  Washer/dryer included! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
421,"MUST SEE beautiful num bed with in-unit w/d & parking space avail Is rent cheap, average, or expensive? <SEP>
", average, expensive
345,"Noble num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
0,"Stunning! New Rehabs! Balcony! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
435,"Simply stunning! Luxurious num Bed / num Bath in PLACE  Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
250,"Snuggle up with FIDO in our charming num bd, num ba! We're pet-friendly! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
292,"Central A/C! Steps to the Lake! Is rent cheap, average, or expensive? <SEP>
", cheap, average
409,"Great num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
425,"Wonderful One Bed Apartment In South PLACE  Available Now! Is rent cheap, average, or expensive? <SEP>
", average, average
197,"Tons of Natural Light Luxury One Bed Doorstaff Gym W/D! Is rent cheap, average, or expensive? <SEP>
", average, expensive
41,"Large num Bed in Prime PLACE -- LOTS OF SPACE FREE HEAT! Is rent cheap, average, or expensive? <SEP>
", average, average
439,"The living is easy at Residences at PLACE  Comfortable num bed/num bath! Is rent cheap, average, or expensive? <SEP>
", average, average
306,"PLACE num Bed + Den - May numst Is rent cheap, average, or expensive? <SEP>
", average, expensive
