,prompt,expected_completion,actual_completion
588,"Call Now - show contact info x 56 OR Text 56 to show contact info to chat! This is a 1 Bedroom, 1 Bath, approximately 684 Sq. Ft. West Seattle’s newest apartment community offers a mix of studio, one- and two-bedroom apartments, plus two-bedroom townhomes and live/work units. To live at Aura West Seattle is to live locally inspired by West Seattle’s laid-back culture yet be actively connected to everything Seattle has to offer. Features: Custom Cabinetry with Soft-Close Doors and Drawers Offered in Two Color Schemes, Whirlpool® Stainless Steel Appliances, Custom Carpeted Bedrooms, Under-Mount ""Farm Style"" Sink, Wood-Style Flooring, Walk-In Closets*, Private Patios or Balconies*, In-Home Stacked Full-Size Washer/Dryer, Pendant Lighting Over Kitchen Bars/Islands, Soaring 10' Ceilings at Penthouse Level, 2"" Window Coverings Throughout, Kitchens Designed for the ""Foodie"", Danze® Spring Pull Down Faucet, Expansive Floor-to-Ceiling Windows in Living Spaces, Modern Urban Residences, Quartz Countertops, Modern Lighting Throughout Apartment, Amazing Seattle Skyline Views* * In select apartments Community Amenities: Bike Storage, WiFi in All Common Areas, 24-Hour Maintenance Emergency Service, Package Acceptance with 24-7 Parcel Package Lockers, Personal Gardening Spaces, Rooftop Pet Park, Access to West Seattle Hill Climb, Climate Controlled Interior Corridors, RapidRide Stop Right Outside Your Front Door. One-Stop (10 minutes) to Downtown Seattle, Uber-Chic Rooftop Deck, Social Gathering Spaces, Resident Lounge and Social Gathering Area with Coffee Bar, Onsite Bike and Pet Washing Station, Grilling Stations, Energizing Fitness Center with Cardio Theater and Free Weights, Multi-Size Storage Lockers Available, Multi-Level Parking Garage with Plenty of Parking for All Your Vehicles Need more information? Copy this link: <URL> We do not accept Comprehensive Reusable Tenant Screening Reports as defined by and pursuant to RCW 59.18. ul7vxP4vu Is rent cheap, average, or expensive? <SEP>
", cheap, average
3967,"1ST MONTH IS FREE!! Beautifully Newly Renovated Apartments Immediate Move In Property Address 7706 CIRQUE DR. W. B | UNIVERSITY PLACE, WA 98467 Available: 1/16/2022 Offered By Cirque West Apts. | show contact info Description Newly remodeled 1 bedroom apartments located in University Place. We are 5 minutes away from the Chambers Bay golf course in one direction and 5 minutes away from the University place Town Center in the other. We are near shopping, bus lines, parks, and the Beautiful Chambers Bay water front and walking trails. Please give us a call show contact info we would love to give you a tour. Details Beds/Baths: 1BD/1.0BA Square Feet: 530 Rental Terms Rent: PRICE Available: 1/16/2022 Application Fee: PRICE Security Deposit: PRICE Pet Policy Cats allowed Small dogs allowed Is rent cheap, average, or expensive? <SEP>
", cheap, average
10462,"Bedrooms: 1 Bathrooms: 1 Square Feet: 546 Date Available: 2022-12-14 Address: 19815 Scriber Lake Road Welcome to Reserve at Lynnwood 55+ Affordable LivingExperience stylish and affordable senior living at the Reserve at Lynnwood. A mixture of urban and suburban, Lynnwood has endless opportunities for shopping and entertainment. The Reserve at Lynnwood is located in the heart of the city just off of Highway 99, within walking distance of major supermarkets, wholesalers, and specialty stores. These new apartments are steps away from retail, dining, and entertainment and have a wide-array of features. Amenities Include: Energy Efficient Appliances Window Coverings High-Speed Internet Access Spacious Floorplans Close to Public Transportation Refrigerator Close to Freeway Online Payments Available Recreation Room High Speed Internet Night Patrol High Ceilings Call: show contact info For more information, visit us at: <URL> *Pricing, availability, and specials are subject to change without notice. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! Is rent cheap, average, or expensive? <SEP>
", cheap, average
9828,"1 BD | 1 BA | 710 SQFT Select your dream home from a diverse collection of thoughtfully designed studio, one and two bedroom apartment homes available at Beaumont Apartments, which include a variety of layouts. Enjoy the extra room of an expansion, open floor plan, no matter what one you pick! Apartment Features: Oversized walk-in closets-App-controlled smart home automation including smart plug, hub, voice assistant, and leak detector-Smart thermostat-Deep soaker style bathtubs-Kitchen island with pendant lighting-In-home washer and dryer-Ceiling fans in living areas and bedrooms-French doors leading to private balcony or patio-Wood-style plank flooring-Keyless smart lock technology Community Features: Private garage parking available-Terrace featuring barbecue pavilion and fire pit-24-hour fitness center with free weights and cardio machines-Smoke-free community-Relaxing resort-style pool with sundeck and spa-Easy access to  I-405 and Highway 522-Landscaped courtyard with outdoor seating-Professional onsite management-Virtual Moving Concierge: Complimentary address change, set up home services and digital moving announcements-Flexible lease terms available Call: show contact info For more information, visit us at: <URL> Equal Housing OpportunityPrices Change DailyFlexible Lease Terms Is rent cheap, average, or expensive? <SEP>
", average, average
8228,"Welcome To The Heart of Olympia Nestled on a quiet residential street just minutes from the State Capitol, Capitol Crossing offers well designed one and two bedroom flat and loft-style apartment homes. Living in the heart of Olympia offers close proximity to great restaurants, shops and recreational spots like the beautiful Capitol Lake. Our homes include large decks, washers and dryers, gas fireplaces and much more. Our unique lofts with spiral staircases, designer finishes and walkable location are just a few reasons why Capitol Crossing is an amazing community to come home to. Check Availability -Faux Wood Flooring -Dishwasher -Territorial views -Walking Distance To Downtown Olympia And Capitol Lake -Minutes Away From State Capitol -Reserved Parking -Night Patrol -Washer/Dryer -Walk-In Closet -Large Closets -Quiet, Residential Neighborhood -Patio/Balcony Call: show contact info For more information, visit us at: <URL> Equal Housing Opportunity. Pricing and availability are subject to change. Is rent cheap, average, or expensive? <SEP>
", average, average
10319,"The Essence of Exceptional Living Find your gorgeous riverfront home at Ethos Community, 2200 W. Meeker St. Suite Y103, Kent, WA, 98032. Live elegantly and style with access to a 24-hour fitness center, seasonal pool, community lounge, onsite retail, and so much more. Enjoy a pet-friendly community steps away from hiking and biking trails with beautiful mountain views. Ethos offers 1, 2, and 3-bedroom apartment homes; each includes wood-style plank flooring, quartz countertops, and stainless steel appliances. For more details, contact our office or use the online contact form to schedule an appointment to view your next home!” Call Now: show contact info x 11 OR Text 11 to show contact info to contact our leasing team. Want more info? See the link below: <URL> This is a 1 Bedroom, 1 Bath, Approximately 648 Sq. Ft. Features - Carpet - Kitchen - Mud Room - Refrigerator - Den - Double Pane Windows - Pantry - Ceiling Fans - High Speed Internet Access - Walk-In Closets - Air Conditioning - Cable Ready - Sunroom - Tub/Shower - Microwave - Handrails - In Unit Washer & Dryer - Wheelchair Accessible (Rooms) - Breakfast Nook - Linen Closet - Office - Freezer - Family Room - Vinyl Flooring - Range - Oven - Heating - Dishwasher - Trash Compactor - Disposal - Window Coverings - Wi-Fi - Instant Hot Water - Views - Island Kitchen - Satellite TV - Storage Units - Vaulted Ceiling - Kitchen Features & Appliances - Smoke Free - Recreation Room - Dining Room - Stainless Steel Appliances - Eat-in Kitchen - Sprinkler System - Hardwood Floors Community Amenities - Car Charging Station - Fitness Center - Maintenance on site - Golf Course - Waterfront - Lounge - Health Club Discount - Planned Social Activities - Pool - Cabana - Grill - Clubhouse - Gameroom - Renters Insurance Program - Online Services - Shared Community - Courtyard - Fitness & Recreation - On-Site Retail - Gated - Pet Play Area - Bike Storage - Controlled Access - Multi Use Room - Roof Terrace - Elevator - Community-Wide WiFi - Property Manager on Site - Media Center/Movie Theatre - Business Center - Key Fob Entry - Wi-Fi at Pool and Clubhouse - Video Patrol - Public Transportation - Pet Washing Station - Spa - Sundeck - Outdoor Features - Walking/Biking Trails - Picnic Area - Fenced Lot - 24 Hour Availability - Package Service - Recycling Pet Policy Dogs & Cats Allowed Pet Limit: 2 Weight limit: 55lb Pet deposit PRICE Monthly pet rent:PRICE One time Fee: PRICE Office Hours Monday-Friday: 9:00AM-6:00PM Saturday-Sunday: 10:00AM-5:00PM Ethos 2200 W Meeker St, Suite Y103, Kent, WA, 98032 We do not accept Comprehensive Reusable Tenant Screening Reports as defined by and pursuant to RCW 59.18. ucoO0LbIf Is rent cheap, average, or expensive? <SEP>
", expensive, average
4931,"Enjoy the lush landscape Call Now: show contact info Station Nine 16720 6th Ave W , Lynnwood, WA, 98037 Interested In This Unit? Use this link for more details: <URL> This is a 1 Bedroom, 1 Bath, Approximately 668 Sq. Ft. NEWLY Renovated homes.. GET EXCITED TO SHARE THE UNIQUE CHARM AND QUALITY of our apartment homes at an affordable price. Experience the beauty in hot air balloon country and SkyKomish River. Perfect location will ensure you a quick commute. You will be proud to call Station 9 your new home. Features - Full size washer/dryer - Storage - Open kitchens - Private decks/patios - Wood burning fireplaces with Mantel Community Amenities - Pool Side BBQ - Cable/Satellite - Club House - Wi-Fi - Outdoor Pool - 24-hr Fitness Center - Covered Outdoor Seating w/ Fireplace - Playground Pet Policy Qualified pets welcome Driving Directions From I-5, take the 164th St. S.W. exit (#183). Turn East onto 164th St. S.W. and drive about 3/4 of a mile to 6th Ave. W and turn right. Station 9 is ahead on the right. Office Hours Mon, Wed, Fri: 9:00am-6:00pm Tue, Thur: 10:00AM-6:00PM Saturday 10:00am-5:00pm Sunday - Closed Photos and/or floor plans shown are representational and may not depict the exact layout or features of the available unit. If currently occupied, the individual unit you've selected may not be available to tour. Please contact our leasing team with any questions. Vtpk7uKtJTG Is rent cheap, average, or expensive? <SEP>
", average, average
6086,"1 & 2 BEDROOM APARTMENT HOMES FOR 61+ Cedar Park is pleased to offer affordable senior living (income restrictions apply). Located in the North Seattle only 4 miles from Shoreline, WA Cedar Park apartments provides a unique blend of urban conveniences and a suburban sense of community. With Easy access to bus lines, I-5, Northgate, Mountlake Terrace, and Lynnwood you can experience Washington at its best while living in an affordable and active senior community. Thoughtful 1- and 2-bedroom floor plans offer the ideal space for entertaining or relaxing. Surround yourself with fresh energy, new friendships, and convenient amenities at Cedar Park. Call Now: show contact info More unit details at: <URL> This is a 1 Bedroom, 1 Bath, Approximately 547 Sq. Ft. Features - Full-size kitchens with modern appliances - Accessible homes available - Ample closet space - Courtyard views* - Private patio* - Carpeting in living rooms and bedrooms * Only available in select apartments Community Amenities - Elevator access - Conveniently located near public transit - Pet friendly - Puppies and kittens welcome (breed restrictions apply) - Fitness center - Professional onsite management - Minutes to shopping, dining and healthcare - Resident social lounges - Share the air: smoke-free community - Laundry rooms on every floor - Calendar of social activities - Easy access to I-5 and WA-99 - Controlled-entry access - Resident garden planters - Worry-free 24-hour onsite maintenance - Convenient resident parking Pet Policy Pet friendly - Puppies and kittens welcome (breed restrictions apply). Please visit our website for additional details. Income Requirements: Must make twice the rent amount Office Hours Monday, Tuesday, Thursday, Friday: 10:00AM-5:00PM Wednesday: 11:00AM–5:00PM Cedar Park 12740 30th Avenue NE, Seattle, WA, 98125 Photos on this ad may not reflect all floorplans. Advertised pricing and availability are subject to change without notice and cannot be guaranteed. Photos on this ad may not reflect all floorplans. Advertised pricing and availability are subject to change without notice and cannot be guaranteed. Fy6W2ENe3Law Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
6142,"Enjoy easy living in a sophisticated neighborhood close to Seattle’s best parks, restaurants and urban nightlife. Bus service to downtown is right outside your door, and the property has easy access to the 520 bridge. Step outside for a BBQ in the courtyard, grab some award winning cookies at Hello Robin, pop out for a drink at Cone & Steiner, or brunch at Bounty Kitchen. Just outside the buzz of Pike/Pine but close enough to reap the rewards. -On Bus Line -Floor-to-ceiling Windows -Gated Parking Garage -Walk-in Closets -Loft Style Homes -Stainless Steel Appliances -Package Lockers -Washer/Dryer -Award Winning Retail Including Hello Robin, Cone & Steiner & Bounty Kitchen -Concrete Flooring -24-Hour Service Line -Bike Storage & Maintenance Room Call: show contact info For more information, visit us at: <URL> Pricing and availability are subject to change. Is rent cheap, average, or expensive? <SEP>
", average, average
10826,"Terrace Station 24000 Van Ry Blvd, Mountlake Terrace, WA, 98043 Call Now - show contact info x 17 Want more info? See the link below: <URL> Modern apartment living in Mountlake Terrace 1 bedroom | 1 bath | 588 square feet Apartment Features: ✓  Subway tile kitchen backsplash ✓  Open one bedroom ✓  Built-in storage shelving and/or walk-in closets ✓  Light or dark kitchen cabinetry color schemes ✓  Air conditioning ports available ✓  Plentiful closet and storage space ✓  Balconies or courtyard-facing patios ✓  Stainless steel appliances ✓  Under-cabinet kitchen lighting and/or pendant lighting * ✓  Extra-high lofted ceilings with double the windows * * Only available in select units Community Features: ✓  Private conference rooms ✓  Fully equipped dog wash room (West Building) ✓  Beautiful wooded and/or golf course views ✓  Rooftop Sports Court (East Building) ✓  Outdoor courtyard with BBQs (West Building) ✓  Yoga Studio (East Building) ✓  Theater room (West Building) ✓  Light Rail access just across the street (coming 2024) ✓  Indoor/outdoor lounge, fireplace, TVs, full kitchen and bar ✓  24-hour fitness center with state-of-the-art equipment ✓  Self-service package lockers with text notifications ✓  Fire pit ✓  Co-working spaces Community Info: Envision life just north of the city, where you can relax with all the amenities your urban-dwelling friends enjoy (and then some). Days can start with a spin in the fitness center for you, and a romp in the dog run for your four-legged friend (with a stop at the dog wash station, depending on the weather). After that, head downtown or work remotely from the modern co-working spaces right here at home. Evenings and weekends can be spent in the theater, the game room or maybe the indoor/outdoor lounge that allows for entertaining in the chef’s kitchen or grilling and dining al fresco, all within just steps. It’s the perfect environment for hosting, but also the ideal place to kick back and enjoy some you-time. MLT (Mountlake Terrace) is a residential hideaway just north of Seattle that feels as connected as it does secluded. While being just minutes from work or play in Downtown Seattle, it’s soon to be home to its own Light Rail stop (right next door) but just as close to wooded walks and greenery. Smack in the middle of the vibrant north Puget Sound, MLT connects you to the water, the woods, the shops, the eats and the bright city lights. Pet Policy: We are a pet-friendly community! Please reach out to our leasing office for specific policies and related charges. Office Hours: Monday-Sunday: 10:00AM-5:00PM Photos and/or floor plans shown are representational and may not depict the exact layout or features of the available unit. If currently occupied, the individual unit you've selected may not be available to tour. Please contact our leasing team with any questions. Equal Housing Opportunity XO7z2zzq Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
